baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2M8	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0036833	9983.21170629652	7.24168824178427	0.179081977251213	1237.14140391416	5.17055930090888e-271	4.64988397930736e-267	895.19241050963	7.93810096464049	FBgn0036833		protein_coding	40069
FBgn0004427	57534.5447899551	13.7983873619113	0.401581958238773	780.530232108193	9.23005261554672e-172	4.15029315858058e-168	23394.3008142492	2.08158272776842	FBgn0004427	Lysozyme D	protein_coding	38127
FBgn0051683	467.917604531348	12.8263679752862	1.20448263216026	563.800525249888	1.25280046626162e-124	3.75547819769691e-121	29.3406256121904	0	FBgn0051683		protein_coding	261623
FBgn0004425	59774.5252650902	7.16185451424579	0.268673193283228	500.731546438883	6.5887159751952e-111	1.48130806912326e-107	22934.9958402738	223.320729797439	FBgn0004425	Lysozyme B	protein_coding	38125
FBgn0000473	438.635759260202	7.16050023171414	0.407791558188957	337.337328397643	2.42526787843468e-75	4.36208680615262e-72	29.7388698941523	0.308882588008034	FBgn0000473	Cytochrome P450 6a2	protein_coding	35587
FBgn0043471	956.606566096707	3.05534283142093	0.175273967252718	300.201298601956	2.977935131688e-67	4.46342843987836e-64	115.653804015586	19.7639550699077	FBgn0043471	kappaTry	protein_coding	36215
FBti0018869	868.077300391756	-4.48821670481683	0.247464652594312	278.223151860464	1.83149804424441e-62	2.35295170169857e-59	0.421581834001385	12.5795940553344	FBti0018869		transposable_element	NA
FBgn0034710	2916.30701344241	-7.33710723358121	0.362971357291702	271.623791979721	5.02359622611141e-61	5.64715010767749e-58	0.81301471569618	159.583851207882	FBgn0034710	Alkaline phosphatase 7	protein_coding	37538
FBti0102102	1615.15662194568	6.65591128876663	0.362229223365077	267.17133970787	4.69261859770804e-60	4.68896878324315e-57	12.8541189208701	0.141982785000166	FBti0102102		transposable_element	NA
FBgn0038098	2472.4362079965	2.86461148017092	0.17756238806449	255.897448257728	1.34524490150758e-57	1.20977873992577e-54	85.4947622176717	16.7752489241816	FBgn0038098		protein_coding	41589
FBgn0037975	1428.1771993532	-13.3724463600587	1.48657237329131	253.698542225344	4.05646091038686e-57	3.3163411788281e-54	0	120.7227193606	FBgn0037975		protein_coding	41454
FBgn0015568	2212.75030456676	2.70545045072184	0.170227193682592	250.417737419056	2.10556888447996e-56	1.57794841484402e-53	94.6616286743759	19.2799885971165	FBgn0015568	alpha-Esterase-1	protein_coding	40909
FBgn0038523	4788.87580006889	-3.591312802047	0.213693125332971	209.805897501747	1.51430570983578e-47	1.04755009604255e-44	80.5081623921825	1419.99415837952	FBgn0038523		protein_coding	42113
