gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000163286.9	1681.954108	-3.024906903	0.07888950324	1444.003718	0.00E-02	0.00E-02	-3.020646074	2642.324959	81.84029052	10.16420906
ENSG00000019582.17	1677.225195	3.273481801	0.09086952917	1245.342282	8.54E-273	6.37E-269	3.268557308	-2635.324116	18.3039748	170.1255245
ENSG00000163220.11	1497.946835	2.115000242	0.07727109214	733.950045	1.24E-161	6.17E-158	2.109501908	-1842.702727	110.1940901	489.9039832
ENSG00000073737.17	517.8890722	-3.292580864	0.1448481222	512.8543305	1.52E-113	5.66E-110	-3.279703241	829.8466498	42.75344371	4.882731793
ENSG00000147027.4	2764.441346	1.374885016	0.06158062802	489.6955786	1.66E-108	4.96E-105	1.369766128	-2484.50378	24.45456458	65.59945977
ENSG00000116251.11	4108.304219	1.529837593	0.06935568501	470.6388796	2.33E-104	5.79E-101	1.523782843	-3873.394769	164.0534734	478.1523379
ENSG00000117525.14	2107.24825	-1.52084205	0.07590297412	391.2124324	4.51E-87	9.61E-84	-1.513343167	2066.02013	98.92109781	35.11247812
ENSG00000118849.10	1761.556111	1.704052842	0.08728858275	369.3266126	2.62E-82	4.89E-79	1.695236099	-1906.931161	38.94510515	129.7303607
ENSG00000160185.15	149.1456153	5.867802473	0.4404956225	345.1980015	4.71E-77	7.81E-74	5.803133598	-290.2793394	0.1363879055	9.200405332
ENSG00000164659.15	279.5331173	-3.024174923	0.1717127978	326.299727	6.15E-73	8.34E-70	-3.004668288	436.4544249	12.61936488	1.599802768
ENSG00000165272.16	599.0687374	1.973954594	0.1111747836	312.6301919	5.84E-70	7.26E-67	1.961639994	-713.3959305	9.549319804	38.48198363
ENSG00000167779.9	1150.789696	-1.457447604	0.08234709727	309.0444186	3.53E-69	4.05E-66	-1.44835008	1063.983843	159.3842254	57.59412767
ENSG00000134954.14	1737.827965	-1.21619378	0.07435803059	263.7481035	2.62E-59	2.44E-56	-1.20741613	1350.033863	32.09425486	13.42788929
ENSG00000204287.14	670.9988749	1.708533366	0.1109336252	233.4960163	1.03E-52	7.69E-50	1.694492759	-732.5457865	19.37626167	65.38792649
ENSG00000163283.7	254.7106894	-2.531097697	0.1668734019	232.2667196	1.91E-52	1.36E-49	-2.508973761	353.3322657	11.22879885	1.910898409
ENSG00000107984.10	1376.125282	-1.239507441	0.0811643096	229.8831136	6.32E-52	4.29E-49	-1.228862961	1140.467062	98.83009326	41.07537267
ENSG00000122861.16	1723.709711	-1.206596738	0.07964061818	226.0293072	4.38E-51	2.84E-48	-1.196445941	1356.73423	72.33488275	30.8519965
ENSG00000272602.6	648.7987395	1.688234562	0.1117442228	224.1498549	1.13E-50	7.00E-48	1.673830799	-670.8378482	19.65784431	63.18886878
ENSG00000173175.16	1421.214047	1.414157999	0.09384975898	222.1256258	3.11E-50	1.86E-47	1.402131657	-1184.735836	9.896072334	25.49686326
ENSG00000231574.7	503.4620391	2.035432662	0.1380805231	211.9829601	5.07E-48	2.70E-45	2.017030922	-615.1275651	6.020894395	26.39108762
ENSG00000092929.13	1147.81226	-1.186255094	0.08338922425	200.4441619	1.67E-45	8.04E-43	-1.174960933	859.5266437	41.60335091	19.27036051
ENSG00000131771.14	3247.953843	1.050663487	0.07390333726	198.9611706	3.52E-45	1.59E-42	1.041036279	-2278.009147	90.7645215	191.4109946
ENSG00000109321.11	1015.597654	-1.450868656	0.1019954426	198.2207571	5.11E-45	2.24E-42	-1.436727477	882.6450378	90.35271756	34.32558828
ENSG00000114353.17	1674.916937	-1.071969981	0.07587298235	197.3653387	7.85E-45	3.35E-42	-1.061741996	1205.016548	76.95033218	37.67268634
ENSG00000175592.9	913.5158309	-1.33721608	0.09573465902	192.5203202	8.96E-44	3.61E-41	-1.323891126	832.66017	62.38508325	24.43091925
ENSG00000169248.13	1152.505918	-1.146057784	0.0838329116	185.0893014	3.75E-42	1.33E-39	-1.134274913	896.6686107	79.99568648	35.75873578
ENSG00000125999.11	521.4273023	1.518493907	0.1124260109	181.3808284	2.42E-41	8.40E-39	1.502333131	-485.5227283	11.96028438	34.65523208
ENSG00000008517.19	944.1761234	-1.206762869	0.09045712598	176.1600772	3.34E-40	1.13E-37	-1.193620404	764.1199392	128.0286557	57.62869974
ENSG00000105974.13	549.3944773	-1.455450439	0.1162202768	154.9384422	1.44E-35	4.07E-33	-1.437236311	524.877189	24.96483245	8.671025983
ENSG00000206075.14	1232.098474	-1.113723672	0.08895372864	154.8735343	1.49E-35	4.12E-33	-1.100169567	951.8439353	45.46315544	21.39922238
ENSG00000007306.15	279.9970525	2.13045968	0.1702360433	154.7242636	1.61E-35	4.37E-33	2.10363975	-374.022404	2.913725971	14.2300626
ENSG00000105519.18	207.2646302	2.18464026	0.1863491161	138.6242831	5.32E-32	1.26E-29	2.153196603	-251.6988496	4.17515944	18.44024344
ENSG00000196188.12	635.6130173	-1.273512242	0.1102432219	131.9908776	1.50E-30	3.16E-28	-1.254903794	527.8988069	36.48825633	14.93259124
ENSG00000168765.19	864.2791799	-1.032725088	0.08988953748	131.0983899	2.36E-30	4.82E-28	-1.017828553	581.1956377	63.18015922	31.32429461
ENSG00000130821.17	230.9267997	-1.994183292	0.1743841736	131.0520748	2.41E-30	4.87E-28	-1.96345627	264.805728	8.914852176	2.46719093
ENSG00000019186.10	407.0885431	1.938919202	0.1666418601	130.5022244	3.18E-30	6.33E-28	1.910566175	-421.1926881	8.893734628	31.22158999
ENSG00000143320.9	482.8604849	1.350107713	0.1187342816	128.3685547	9.32E-30	1.83E-27	1.329897187	-411.0976632	24.51297507	61.93447934
ENSG00000168685.15	269.944862	-1.912919537	0.1675359227	128.1547916	1.04E-29	2.01E-27	-1.88341825	304.5661713	7.123688905	1.988287908
ENSG00000167601.12	521.6784509	-1.362260017	0.1220167758	123.1451885	1.30E-28	2.33E-26	-1.340939622	472.8010564	12.3192193	5.059634518
ENSG00000171310.11	743.2100088	-1.13050763	0.1020628843	121.5282869	2.93E-28	5.08E-26	-1.11267582	557.1833911	16.76282042	8.027153824
ENSG00000047457.14	1214.146367	1.089522672	0.1008702182	115.1345343	7.35E-27	1.17E-24	1.071873505	-857.0282906	15.95188839	35.49069562
ENSG00000197632.9	90.58649505	-3.328084758	0.3209794926	111.4154926	4.80E-26	7.31E-24	-3.2649098	144.3836382	6.001516747	0.6985983346
ENSG00000189334.9	661.0110838	1.080931171	0.1023539757	110.8224605	6.47E-26	9.76E-24	1.062535909	-484.7363306	32.38184859	69.53871723
ENSG00000164761.9	391.7606892	-1.422765664	0.134575133	110.7786426	6.62E-26	9.88E-24	-1.397585505	364.8899655	20.69694877	7.61373666
ENSG00000170681.7	100.6792843	-2.976561208	0.2868289596	110.146841	9.10E-26	1.34E-23	-2.920677974	160.6986581	3.95334814	0.5196269687
ENSG00000100867.15	457.9703923	-1.22529517	0.1188869878	105.4701419	9.63E-25	1.36E-22	-1.202799004	378.9662523	26.76905781	11.43728971
ENSG00000125255.7	434.4430012	1.429212031	0.1385379799	105.1198609	1.15E-24	1.59E-22	1.403023523	-407.4228854	4.346605585	12.59004669
ENSG00000165757.9	384.4668617	-1.390248965	0.1350194205	104.8944169	1.29E-24	1.76E-22	-1.364356826	322.8904889	3.834571714	1.542456335
ENSG00000240583.14	353.7578981	1.426318365	0.1395700494	103.5906191	2.49E-24	3.38E-22	1.399692407	-308.4749422	4.90938852	13.41677402
ENSG00000129654.8	80.78205422	3.105053521	0.3170381389	101.3169818	7.84E-24	1.03E-21	3.04033395	-129.188692	0.4595491394	3.957806689
ENSG00000237988.6	254.5229011	-1.710128568	0.1715832487	97.91442584	4.37E-23	5.39E-21	-1.675638002	245.0836746	4.394912006	1.449508176
ENSG00000144824.21	320.701075	-1.484844487	0.1496106872	97.33250616	5.86E-23	7.17E-21	-1.454947505	302.5321425	7.122206192	2.406890504
