gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000000003.15	926.3847403	-0.2152344471	0.09804942446	4.819224398	0.02814400656	7.18E-02	-0.2012003714	-130.8837488	17.94208114	21.12515925
ENSG00000000419.14	3079.573174	0.1481866794	0.08383356478	3.123526368	0.07716961468	1.62E-01	0.1406287836	203.7586982	248.9063247	225.1005921
ENSG00000000457.14	373.6025993	-1.175180043	0.1343316786	75.99154738	2.85E-18	8.88E-17	-1.148372691	-280.5126552	4.80275664	10.72697208
ENSG00000000460.17	457.2872155	-0.6952196125	0.1380020145	25.24360518	5.05E-07	4.23E-06	-0.6576229406	-187.4118549	10.87800759	17.23300024
ENSG00000000971.17	483.1133148	0.2766189684	0.1388607079	3.963014757	0.04651033491	1.08E-01	0.2449249217	56.69237732	12.94680813	11.70249559
ENSG00000001036.14	1954.567331	0.05150139166	0.07051714635	0.5334014435	0.4651803221	6.18E-01	0.049640248	73.33628104	57.90309952	56.81202012
ENSG00000001084.13	1352.813363	1.07742007	0.09115994284	137.7941617	8.08E-32	6.18E-30	1.064600935	938.7861454	42.34038205	20.12519967
ENSG00000001167.15	506.1700624	-0.07390241197	0.1176871901	0.394547142	0.5299188626	6.77E-01	-0.06619537255	-20.65007271	8.520727008	9.148537804
ENSG00000001460.18	241.9212626	-0.1584372888	0.1582006986	1.00285003	0.3166218653	4.72E-01	-0.1321909733	-14.61402162	7.163338775	7.836382554
ENSG00000001461.17	916.5635818	0.2835054977	0.1083892867	6.834095643	0.008943396168	2.75E-02	0.2634579234	196.6822091	14.98520348	11.53090195
ENSG00000001497.18	875.4523797	0.3543951578	0.09797017227	13.06499742	0.0003008656187	1.42E-03	0.3361012413	181.304935	29.54362298	23.73492895
ENSG00000001561.7	854.4737746	-0.01417407581	0.1113265618	0.01623432383	0.8986127472	9.38E-01	-0.01271744451	9.742358881	11.89506924	11.78277836
ENSG00000001617.12	101.4934084	-0.9178300612	0.2496744913	13.47685889	0.0002415237907	1.17E-03	-0.8039745688	-62.09661992	1.687910072	3.290935307
ENSG00000001626.18	578.6147206	0.80229982	0.1347632861	35.13821974	3.07E-09	3.55E-08	0.7688757413	346.1958242	9.956718224	5.516562969
ENSG00000001629.10	3512.17641	-0.1059695877	0.06670527122	2.523016595	0.1121957727	2.18E-01	-0.102243052	-170.9534693	38.49056737	42.52779318
ENSG00000001630.18	10193.61715	-0.3411096604	0.05550308405	37.69251809	8.28E-10	1.04E-08	-0.3353218628	-2490.022223	225.1674644	296.1369157
ENSG00000001631.17	1275.169593	-0.3175087906	0.09448153166	11.27979233	0.0007835532102	3.35E-03	-0.3010263739	-253.4697894	23.35431927	29.83605522
ENSG00000002016.18	147.3824913	-0.27224684	0.3047257943	0.7961084106	0.3722594437	5.31E-01	-0.158865141	-29.34228272	5.164734564	6.698798447
ENSG00000002330.14	461.1847508	-0.1685763889	0.1200090694	1.972343554	0.1601993266	2.87E-01	-0.151659652	-49.71076422	40.03775923	46.3712923
ENSG00000002549.13	1229.698789	0.3521289959	0.08902768545	15.61718988	7.75E-05	4.21E-04	0.3370475326	303.7932823	49.66342796	39.86679371
ENSG00000002586.20	432.5689151	-0.2800466446	0.1334119502	4.399961332	0.03593974545	8.78E-02	-0.2501393943	-71.35174413	28.10831037	34.59987735
ENSG00000002587.10	821.1743359	1.344447564	0.380409217	12.07089629	0.0005121507248	2.30E-03	1.126536194	610.9561297	18.34613246	8.564024359
ENSG00000002726.21	413.7016813	0.2852436025	0.132525111	4.628175008	0.03145100086	7.87E-02	0.2557298642	100.1814062	12.25363957	9.456391077
ENSG00000002745.13	19.50494811	-0.1652680542	0.544046966	0.09508168367	0.7578136042	8.49E-01	-0.04698443136	-8.298246534	0.4484864613	0.7221265473
ENSG00000002746.15	42.62849738	2.405677158	0.4167626809	32.76792018	1.04E-08	1.12E-07	2.258218136	59.68719497	3.7372842	0.6403172869
ENSG00000002822.16	490.1603512	-0.2019323926	0.1285321681	2.465615565	0.1163621078	2.24E-01	-0.1799380127	-58.00514312	13.72495183	15.72600445
ENSG00000002834.18	15837.96826	0.6861264726	0.06317164901	116.9428555	2.95E-27	1.73E-25	0.6784313961	8004.689842	328.5006599	198.0006784
ENSG00000002919.15	1057.026133	0.182458616	0.1011029323	3.25465367	0.07122098106	1.53E-01	0.1696221898	134.7740586	40.21072391	35.96198318
ENSG00000002933.9	149.6924172	0.46005392	0.2189577439	4.401764086	0.0359017753	8.77E-02	0.3658372359	35.98598895	12.09965495	9.18589305
ENSG00000003056.8	2758.861859	0.3336246017	0.07361102582	20.50440967	5.95E-06	4.09E-05	0.3234581548	652.1292149	90.2520318	74.98732608
ENSG00000003096.15	59.73674007	-1.18911795	0.4047482303	8.331517365	0.003896309988	1.36E-02	-0.899082044	-53.83788243	0.5900172558	1.929069487
ENSG00000003137.9	307.8149037	0.2690809998	0.2053648263	1.713069785	0.1905875656	3.27E-01	0.2064118838	110.56893	7.1032938	5.137786088
ENSG00000003147.19	1293.6402	-0.7529015399	0.09192429698	66.63241579	3.27E-16	8.44E-15	-0.7368296405	-659.0254018	41.85301398	71.63112867
ENSG00000003249.15	1194.357291	-0.9340674119	0.1040039497	79.75651582	4.24E-19	1.40E-17	-0.9154295899	-670.754709	27.63012019	50.70118031
ENSG00000003393.16	1402.985252	0.3850879803	0.08981592998	18.33861337	1.85E-05	1.13E-04	0.3692382268	369.4252876	22.89447542	18.46877693
ENSG00000003400.16	513.9152261	0.4066577641	0.1179725609	11.86366349	0.000572398337	2.54E-03	0.3789886519	156.1368614	9.607841977	7.283951798
ENSG00000003402.21	2588.614102	0.8512727991	0.07516706813	126.9348321	1.92E-29	1.28E-27	0.841277818	1417.818876	106.913423	63.86454052
ENSG00000003436.16	2630.324888	-0.516661557	0.076198598	45.79279763	1.31E-11	2.10E-10	-0.5046611608	-833.7288587	67.07314634	97.4093402
ENSG00000003509.16	290.6494042	0.08704717775	0.1781945865	0.2386080378	0.6252132757	7.54E-01	0.06917537379	42.47182762	12.90755717	11.6346584
ENSG00000003756.17	1213.246066	-0.1382280043	0.1018241538	1.843849659	0.1745004131	3.06E-01	-0.1276864617	-122.6568449	36.8614412	42.62890534
ENSG00000003987.14	20.00685537	0.5371681564	0.5627228867	0.909375161	0.3402802613	4.97E-01	0.157068996	0.02515012724	0.2769524922	0.2806291648
ENSG00000003989.18	773.7707064	0.1658940532	0.1043924737	2.524386562	0.1120983666	2.18E-01	0.1532170797	73.49366171	7.007868872	6.695952226
ENSG00000004059.11	1666.061319	0.08304183894	0.08219926338	1.02064156	0.3123668777	4.68E-01	0.07877549328	115.6744543	154.7742728	148.4600906
ENSG00000004139.14	538.9844693	0.530694247	0.1403115652	14.25620226	0.0001595342049	8.07E-04	0.4902924189	162.6107915	11.54873504	8.887627654
ENSG00000004142.12	3876.839929	0.4865390234	0.07308486866	44.14451804	3.05E-11	4.62E-10	0.4756475099	1507.592621	130.3978499	91.00733964
ENSG00000004399.13	160.8428724	0.4729403283	0.3159617076	2.220519435	0.1361872332	2.53E-01	0.2914002362	59.26444036	4.688061773	3.393659949
ENSG00000004455.18	4746.909612	0.04509565864	0.06995638724	0.4154974084	0.5191923436	6.69E-01	0.04344090733	32.181139	269.4007063	267.9717884
ENSG00000004478.8	6560.048128	0.1286979053	0.06652422839	3.741372334	0.05308083234	1.21E-01	0.1243994232	743.0006108	126.5643938	116.7730396
ENSG00000004487.18	1885.169843	-0.2255662298	0.07351064463	9.410264491	0.002157740998	8.15E-03	-0.2172598494	-267.3706188	37.64641071	43.98720171
ENSG00000004534.15	1031.240477	-0.3737615554	0.09699833789	14.82162485	0.0001181726483	6.14E-04	-0.3551101353	-249.9988222	22.5140815	29.48456417
ENSG00000004660.15	85.81624274	0.2360456969	0.2769527237	0.7262768817	0.3940926645	5.52E-01	0.1487032612	10.77634103	1.695834873	1.544265051
ENSG00000004700.16	1105.997618	-0.1322154987	0.09678591824	1.865782336	0.1719589165	3.02E-01	-0.1229199293	-140.189234	27.7047976	32.66077685
ENSG00000004766.17	2147.783085	-0.1633614756	0.08508470498	3.685132162	0.05489962053	1.24E-01	-0.1547045702	-339.6569534	57.89610867	69.64988856
