median FE,median P,gene
-1.34525102004935,27.649529629061064,LOC105375322
-1.018304991247,24.320869577226205,LOC124904235
-1.31483172686642,22.214747512297286,LINC01265
-1.75340006531241,21.606871582876032,FSD2
-1.60255277522504,21.38986857749247,ATG16L1
-1.60255277522504,21.38986857749247,SCARNA5
-1.51454991097795,20.82553873099479,SMCO2
-1.30125861449345,19.480061706257388,TGIF1
-1.26351815706065,16.54495498037353,TACC2
-1.33500097424896,16.54495498037353,LINC02086
-1.40667389804966,16.437535918446855,DPF3
-1.10959410072457,16.357064024455724,COQ6
-1.68735505226633,16.342216025069163,KALRN
-1.31415418344599,16.13024150614062,MAX-AS1
-1.17297517828604,15.99516420228792,CASC19
-1.34607669538252,15.714785300752862,LOC107985474
-1.34607669538252,15.714785300752862,CYYR1-AS1
-1.30236967751307,15.594079425949722,LOC102724830
-1.54526542445924,15.536802490780207,LOC124901332
-1.61238818329893,15.242217720680017,LOC124900610
-1.67683215177881,15.070787032406793,LOC124904483
-1.57415325375799,14.986343142748982,MLANA
-1.62375984713897,14.931078630136735,TRIM27
-1.54753022120656,14.85075004964494,SNORD72
-1.54753022120656,14.85075004964494,RPL37
-1.64373898887132,14.76949484391535,OTOAP1
-1.77181380257017,14.705625574012856,LOC105375724
-1.54858365251388,14.616672786280166,CTSK
-1.02758254082176,14.420733975933858,CFB
-1.27695402262601,14.211311726640325,LOC102723791
-1.66846807402474,14.204921420426581,LINC00877
-1.30519745133182,14.103462640742208,CDCA2
-1.15638761044895,13.9022023629977,DPYSL2
-1.13945101794209,13.743624652246051,IL6ST-DT
-1.79763142110785,13.645153369162122,BMAL2
-1.45672166492922,13.53331703850211,KIAA1217
-1.24630116209828,13.360587968181537,LOC374443
-1.26961510082255,12.90211214844636,ERVFRD-1
-1.07212433898442,12.836715366797154,PTPRM
-1.02788757647377,12.620067756307968,LOC124902076
-1.01164821054643,12.413744793706671,LOC105370873
-1.18181928252689,12.140138265100314,ABHD17C
-1.38187809369269,11.998740473969388,MAP4K4
-1.48543767031188,11.943551975477545,LOC105372335
-1.44165653818338,11.786587392679403,TPM3
-1.1181271882235,11.581939661983677,GUCY2GP
-1.32764365816169,11.254130983313955,PYGL
-1.31549027645246,11.19603841284676,PCSK9
-1.25311267364521,11.128751633602546,GGCT
-1.113175920363135,11.018239387371096,WDR70
-1.17432672028277,10.957097439052227,ROR1-AS1
-1.02617162098922,10.711926319802854,PCBP3
-1.3819550271188,10.640832381644207,HTRA4
-1.16700118341907,10.530009253822987,SLC1A3
-1.04988457446104,10.382055325934886,ABLIM3
-1.15325082810127,10.192405679501174,MIR5002
-1.30765638153672,10.156469722964069,PDK1
-1.33793536685954,10.141831297310576,MIR5692C2
-1.21089100835537,10.063321788984819,LINC00520
-1.75808262334406,10.001726050138132,BNIP2
-1.09891457339373,9.941904307648722,LINC00184
-1.21361468317754,9.899462799443725,NBAS
-1.02517291859545,9.802423593565118,MYOSLID
-1.08202765209152,9.771106076948266,LINC01291
-1.19949145790391,9.588708702931568,KRTAP4-4
-1.50432100931957,9.534871696917778,CNGB3-AS1
-1.00493476820306,9.531983579409083,SMOC1
-1.44524499762497,9.40609770644572,RND3
-1.22685536676855,9.257646613577759,LINC02923
-1.05321134291422,9.183559228837872,CYP3A4
-1.5138116984581,9.180914626330992,PPARGC1A
-1.2369556625777,9.160364498349235,NEBL
-1.26569312780041,8.98699198831296,CCR3
-1.14068355431131,8.926778194739223,GAS6
-1.50754791690913,8.904463406720357,LINC02469
-1.26456540343507,8.883506902096551,RFPL3S
-1.21609492758651,8.718678895870132,LINC01505
-1.21609492758651,8.718678895870132,LOC107987108
-1.0268989035238,8.61522862225813,HECW2-AS1
-1.29314855014353,8.453732847858369,LINC02119
-1.34399098055106,8.312966621050903,LOC124903578
-1.11282159805609,8.225367971644488,CFAP61
-1.10972508823951,8.20303082023682,KRTAP2-4
-1.11275496532485,8.150818354907406,LOC105375924
-1.22875647322242,8.126408134272067,ZNF442
-1.07792198696728,8.114753311897719,LOC107984270
-1.21495409238919,8.075830879783403,LOC124900637
-1.01998283614221,8.066075785695459,SLC39A11
-1.23901345434093,8.005798129242732,LINC02459
-1.25212104127357,7.9705968736779305,SGPL1
-1.18477909351187,7.924260172424445,C2CD4D-AS1
-1.18477909351187,7.924260172424445,C2CD4D
-1.21031266244107,7.886370339296932,LOC112268048
-1.36228694117826,7.860667204706013,USP24
-1.14411752818764,7.8578733512257095,LINC02318
-1.07363913886934,7.8489192486357915,LOC107986091
-1.07363913886934,7.8489192486357915,DNASE1L3
-1.06545308278121,7.832418937435977,TUBA1C
-1.12505956610554,7.823331152749318,NHERF4
-1.61647025156802,7.761757798772759,BUB1
-1.14732292760227,7.74148092726792,SH2D4A
-1.10124476869885,7.719343462031292,CAP1
-1.06231957783787,7.716935825187445,SATL1
-1.25780133964972,7.586357076341319,SMARCAL1
-1.04533798982088,7.540282264886175,TSPYL2
-1.19478718381627,7.4978736782199915,LY96
-1.13028282991839,7.459157672149389,OR9A4
-1.43215408239809,7.434700271858036,LOC105374224
-1.01527736838522,7.41404396236093,PRSS38
-1.01946466715325,7.30795884067278,LOC107986668
-1.06602277582991,7.300526218262,PPP1CC
-1.21570650896465,7.297341137982745,PSMD1
-1.04239383595588,7.228512526509266,CASC18
-1.04239383595588,7.228512526509266,LOC105369959
-1.19130824175001,7.184223088320339,SPACA6
-1.09240673044585,7.164269754907887,OR1J2
-1.09240673044585,7.164269754907887,LOC124902264
-1.05792175829535,7.12167559486581,MYO5A
-1.09520841617182,7.110276358916866,LAMC1
-1.13958061301414,7.1098109314684015,LOC107984701
-1.25389282134066,7.105447591794323,INTS3
-1.00416593087155,7.076067861587814,LSAMP
-1.00416593087155,7.076067861587814,LINC03051
-1.10871027362013,7.074605655518747,PPY2P
-1.42739673489017,6.979851544668501,LINC02223
-1.70565395641323,6.8568898331504595,CNTN1
-1.25218410638479,6.809551344434218,C1QTNF3-AMACR
-1.03144236373397,6.778659640303541,DEFB134
-1.03144236373397,6.778659640303541,LOC105379245
-1.46846556998126,6.765741784791935,LINC01050
-1.18307830680683,6.746587260470643,CDON
-1.04392663097244,6.734400060768518,LINC02608
-1.15326019606953,6.732765279755771,PTDSS1
-1.13134034415774,6.719315404173981,MYH10
-1.13286475636469,6.619494624280444,PMEL
-1.10247095072356,6.575544662089274,LINC00113
-1.272991716152,6.565128223802686,CBY1
-1.52412197366788,6.524858951052918,HTN1
-1.14371895357477,6.441103509804505,LINC00332
-1.19392762715309,6.372443405540921,CCL18
-1.04981052041322,6.369085187080893,LOC105378345
-1.1270765968994,6.332707060117522,NBPF3
-1.04127680004292,6.330600917783075,CD109
-1.12537887140285,6.289452265394907,LOC105374107
-1.05639915678054,6.244755433307365,TNIP1
-1.40345679892761,6.12345722717564,TMEM161B
-1.0229148350204,6.062880183957305,RGSL1
-1.27469026223001,6.0575792053915825,RAPGEF4
-1.11648368885003,5.964422535961368,LOC124900835
-1.19949402421821,5.886413282188933,FNIP2
-1.1428892202339,5.84462140696683,SLC9B2
-1.04985247600635,5.804385142896187,KPRP
-1.01255256970856,5.747602779803492,LOC124902174
-1.2684651365893,5.736941646744099,EFCAB7
-1.10731925465206,5.58272487185581,SEMA4D
-1.03005695452573,5.563819103331193,SNX27
-1.03847622499946,5.543001659190647,LINC01871
-1.01735693971216,5.436751640532167,BAG1
-1.02752208427548,5.392715571445685,TMEM144
-1.161804754031,5.344927183168345,LINC01198
-1.03907729347323,5.2685850845009154,LINC02613
-1.15552913944766,5.110276337845815,LOC107985960
-1.00185150030313,5.06245099963915,GNAI1
-1.21033827661074,4.7222288363793865,AGBL1
-1.20617251595954,4.688852381916248,LINC00507
-1.01875895917309,4.68378580334177,MIR3133
-1.06934793609069,4.582336399150682,LOC107984364
-1.11348793587026,4.429259722670778,IGF2R
-1.1245296988945,4.369636010159384,LINC03019
-1.1245296988945,4.369636010159384,LINC00681
-1.16778434633454,4.331290204137073,ZFPL1
-1.06164603643146,4.3106571911409635,PGK1
-1.31761428107421,4.286715610837952,OR52E1
-1.00019092978443,3.9337739503362203,LOC105374947
-1.13391533517432,3.7912634298855203,TENM4
-1.09868513264269,3.691487274990266,NSMAF
-1.02554018205889,3.6288041425371476,LINC00431
-1.14000389821239,2.497756636251308,MCPH1-AS1
-1.08669821096375,2.352043628816042,PI15
-1.14629585752645,1.4121368588860177,COPS4
