Sample	Replicate	Time	Species
HRH88_CTRL1A	A	control	human
HRH88_CTRL2A	B	control	human
HRH88_CTRL3A	C	control	human
HRH88_60DHA1A	A	D60	human
HRH88_60DHA2A	B	D60	human
HRH88_60DHA3A	C	D60	human
HRH88_120DHA1A	A	D120	human
HRH88_120DHA2A	B	D120	human
HRH88_120DHA3A	C	D120	human
HRH88_240DHA1A	A	D240	human
HRH88_240DHA2A	B	D240	human
HRH88_240DHA3A	C	D240	human
HRH87_CTRL1A	A	control	dog
HRH87_CTRL2A	B	control	dog
HRH87_CTRL3A	C	control	dog
HRH87_60DHA1A	A	D60	dog
HRH87_60DHA2A	B	D60	dog
HRH87_60DHA3A	C	D60	dog
HRH87_120DHA1A	A	D120	dog
HRH87_120DHA2A	B	D120	dog
HRH87_120DHA3A	C	D120	dog
HRH87_240DHA1A	A	D240	dog
HRH87_240DHA2A	B	D240	dog
HRH87_240DHA3A	C	D240	dog
