baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh1M8	expressionko	ensembl	description	gene_biotype	entrezgene_id
FBgn0051683	795.017619203728	13.0881088193263	1.20189888752014	560.59340358137	6.24502104734052e-124	4.27846391953299e-120	58.077519695223	0	FBgn0051683		protein_coding	261623
FBti0019144	383.281122269565	8.62141798457635	0.63779467154145	426.778668105848	8.16613802379032e-95	2.79731058004938e-91	8.79214945023574	0.00549671081255158	FBti0019144		transposable_element	NA
FBgn0037975	857.96557635703	-13.1767219850138	1.21898337814914	374.236372522888	2.23778561230264e-83	5.1103564099618e-80	0	86.6001604097444	FBgn0037975		protein_coding	41454
FBgn0052581	175.097410219932	-10.8848850691284	1.20095681499711	362.498241683897	8.04644728691242e-81	1.37815525906592e-77	0	14.3830671911734	FBgn0052581	suppression of retinal degeneration disease 1 upon overexpression 2	protein_coding	318098
FBti0102102	2176.72908452324	7.06319557939884	0.315123381223958	353.416254068361	7.64208827755515e-79	1.04711893579061e-75	20.0678873420544	0.125425398046543	FBti0102102		transposable_element	NA
FBgn0013772	333.016932319442	6.37858866214955	0.379717363492176	331.66919935	4.16136919954049e-74	4.75159006434198e-71	21.5121784678109	0.223735981810968	FBgn0013772	Cytochrome P450 6a8	protein_coding	36666
FBgn0053503	799.423349147954	-13.0745353734488	1.22521564826173	329.139604833045	1.47973280985305e-73	1.44823564004332e-70	0	44.6103947803616	FBgn0053503	Cytochrome P450 12d1 distal	protein_coding	2768720
FBgn0004425	53058.3126015153	4.99049219725982	0.244768164050682	297.293736185428	1.28051265899343e-66	1.0965990283455e-63	20462.2901097069	542.602281667895	FBgn0004425	Lysozyme B	protein_coding	38125
FBgn0038144	121.986751331595	6.19541417233433	0.515625459014675	249.788938551423	2.88704168627563e-56	2.19768028807492e-53	9.1299279282907	0.109019911945263	FBgn0038144		protein_coding	41645
FBgn0003886	5205.67908326533	4.35297454394756	0.242563986012231	247.559492560755	8.8410237637381e-56	6.05698538053697e-53	353.662324753733	16.218326635606	FBgn0003886	alpha-Tubulin at 85E	protein_coding	41183
FBgn0037477	171.999482962194	6.54351521424643	0.513069254199632	242.715105463897	1.00624774068024e-54	6.26709388309119e-52	63.6408537295451	0.717538555440135	FBgn0037477		protein_coding	40856
FBgn0004622	269.56075665542	3.29319556540043	0.20977956043596	242.193739507657	1.30731808427311e-54	7.46369682946257e-52	9.80457432576814	0.868851073351327	FBgn0004622	Tachykinin-like receptor at 99D	protein_coding	43551
FBgn0261363	370.004668739398	4.78151864557774	0.295824691580885	234.630729445727	5.82774343708908e-53	3.07122079134595e-50	16.7581322950284	0.57923506879854	FBgn0261363	Prophenoloxidase 3	protein_coding	44513
FBgn0037386	3003.10339419493	5.40739700807056	0.298863501055183	232.783560396816	1.47336380166253e-52	7.21001100370714e-50	148.481393169066	2.59302899459937	FBgn0037386		protein_coding	40727
FBgn0034899	7565.72811819412	9.76363172124193	0.477176916128996	230.964453156913	3.6729355502936e-52	1.6775520970041e-49	2135.92077783071	1.95192078372408	FBgn0034899		protein_coding	37758
FBgn0034880	223.956788382636	4.8314026124613	0.324692347856329	222.956182320097	2.04919807634126e-50	8.77441001313372e-48	7.58600704303128	0.201556743813005	FBgn0034880	Integrin alphaPS5 subunit	protein_coding	37732
FBgn0037930	280.628966134089	3.98284839513671	0.260510215284943	221.009077110861	5.44854297630375e-50	2.19576281945041e-47	64.6945546519484	3.99396325767247	FBgn0037930		protein_coding	41403
FBgn0037853	1081.34631193983	3.59808197240088	0.223518283250869	219.889033965296	9.56286753308298e-50	3.63973363717508e-47	63.830229775956	4.82722458169396	FBgn0037853		protein_coding	41317
FBgn0052521	1876.33519816995	2.54148547457801	0.167870518961096	207.521036630525	4.77221841655112e-47	1.7207614932522e-44	100.156028198315	14.6591796493467	FBgn0052521	Membrane-bound Notch regulator	protein_coding	33098
FBgn0034761	485.588091641183	3.35056248007272	0.223019248256252	203.417257500708	3.75094388204624e-46	1.28488582679494e-43	127.167023701992	9.63252602235714	FBgn0034761		protein_coding	37599
FBgn0010357	27608.9005669834	-3.79688971767979	0.249810545236887	184.972076252419	3.98010005869046e-42	1.29846026200421e-39	321.89329848339	3831.37566237121	FBgn0010357	betaTrypsin	protein_coding	47901
FBgn0033327	9398.05861730292	-6.87025157507644	0.393740168660068	184.654235090335	4.66962316547845e-42	1.45416310484968e-39	11.6370935121058	1553.01301537509	FBgn0033327	Peptidoglycan recognition protein SC1b	protein_coding	35861
FBgn0260475	90.124785205637	7.50051506875721	0.884082556130326	183.950678987335	6.65085193548739e-42	1.98108637434887e-39	6.25912750541741	0	FBgn0260475		protein_coding	246425
FBgn0037069	648.268817555557	-3.63955289638806	0.253649071510664	176.556941522577	2.7366486074719e-40	7.81199150407917e-38	17.5904855990581	175.898762234014	FBgn0037069	Cuticular protein 78Cc	protein_coding	40355
FBgn0028533	8422.61088180403	5.19074471771946	0.335506443565902	169.046933393968	1.19489319597948e-38	3.27448531426217e-36	914.286417736899	23.8269730727096	FBgn0028533		protein_coding	34801
FBti0019364	396.948407363337	-12.0642543671493	1.27181126222485	162.212818974686	3.71701347253206e-37	9.79433050012197e-35	0	8.30985461775618	FBti0019364		transposable_element	NA
FBgn0035708	512.700846098876	2.43367023544358	0.185782580598261	160.763146671437	7.70747962839568e-37	1.95570159015329e-34	23.1346011912444	3.5072010155831	FBgn0035708	axundead	protein_coding	38741
FBgn0034441	395.604672037773	-7.61521321989583	0.593751977989507	153.631114383367	2.78833905442502e-35	6.82246816495207e-33	0.0728721634549515	15.7083440842697	FBgn0034441		protein_coding	37226
FBti0019129	370.357508519245	-2.8424010460542	0.227922622330897	143.657987060849	4.2205341203478e-33	9.03589976828211e-31	0.780113529492262	5.55722255898757	FBti0019129		transposable_element	NA
FBti0019307	370.357508519245	-2.8424010460542	0.227922622330897	143.657987060849	4.2205341203478e-33	9.03589976828211e-31	0.780113529492262	5.55722255898757	FBti0019307		transposable_element	NA
FBti0019387	370.357508519245	-2.8424010460542	0.227922622330897	143.657987060849	4.2205341203478e-33	9.03589976828211e-31	0.780113529492262	5.55722255898757	FBti0019387		transposable_element	NA
FBti0019467	370.357508519245	-2.8424010460542	0.227922622330897	143.657987060849	4.2205341203478e-33	9.03589976828211e-31	0.780113529492262	5.55722255898757	FBti0019467		transposable_element	NA
FBgn0052379	84.8735287939463	-7.9788489257112	1.08349354471067	141.952140910426	9.96198760141493e-33	2.06816900173617e-30	0.0453584621460506	6.59284007719302	FBgn0052379		protein_coding	326211
FBti0019588	85.6889392163778	6.20360266816185	0.642221662997576	138.918985165588	4.58789037297107e-32	9.2445991015367e-30	3.8831978770015	0.0507994147329676	FBti0019588		transposable_element	NA
FBgn0038730	187.663684331319	-10.0240672690206	1.26374333623365	138.830457216303	4.7970376889382e-32	9.38985863054731e-30	0	13.3206587456913	FBgn0038730	Acyl-CoA synthetase X1 L	protein_coding	42351
FBgn0039777	21159.48732209	-4.28804578509314	0.319371619647306	137.846066461666	7.87507108436672e-32	1.4986697777499e-29	149.555392914656	2563.54539608955	FBgn0039777	Jonah 99Fii	protein_coding	43621
FBgn0031141	413.953891949125	6.97857564223545	0.546555382219782	133.146926770823	8.3962240422383e-31	1.55466299765877e-28	48.0297472982824	0.452800073648955	FBgn0031141		protein_coding	33074
FBti0019609	101.165729103007	-10.0904018244901	1.25782510480283	128.927858360168	7.03286680941577e-30	1.26795185556072e-27	0	7.5651906831009	FBti0019609		transposable_element	NA
FBgn0036108	888.990556931535	-7.17110614613651	0.529877728782857	125.735750660416	3.51278384145828e-29	6.17079028149504e-27	1.78719103834706	233.86328376796	FBgn0036108	Cuticular protein 67Fa1	protein_coding	39223
FBgn0264895	1570.70926623201	1.87541114069118	0.163093812213672	124.962292253234	5.18710585096387e-29	8.88421554623837e-27	27.5999665139455	6.98034673842841	FBgn0264895	Rap GTPase activating protein 1	protein_coding	34032
FBgn0261238	2128.06388865726	1.72310076672762	0.153490755364509	119.915174230909	6.60244280701083e-28	1.10325208953247e-25	33.04669911903	8.76460259785079	FBgn0261238	Alhambra	protein_coding	40850
FBgn0034005	1100.36355803318	6.47986254965348	0.496017525422436	115.325397778421	6.67879582094008e-27	1.08943881355382e-24	32.8864711632497	0.274768431605835	FBgn0034005	Integrin alphaPS4 subunit	protein_coding	36693
FBti0062820	36.6163189470263	8.64732776438792	1.23185095235964	115.180456627429	7.18522338992797e-27	1.14478989405573e-24	3.04253845595169	0	FBti0062820		transposable_element	NA
FBgn0020270	323.96554181555	1.8405192363313	0.174158685744076	108.824974497788	1.77267789459612e-25	2.76014005815409e-23	14.2103896227851	3.33500827000118	FBgn0020270	meiotic recombination 11	protein_coding	34565
FBti0019666	42.7761980696887	-6.98852592821093	1.08128936405329	108.729636082233	1.86002711057986e-25	2.83178794101836e-23	0	4.68161354294087	FBti0019666		transposable_element	NA
FBgn0003748	1988.20147261843	1.32844032000381	0.126546093622294	107.097766939898	4.23741204133558e-25	6.31098041199784e-23	58.3284274125961	18.7008002892948	FBgn0003748	Trehalase	protein_coding	45368
FBgn0038508	159.276595875896	-4.23179833356334	0.39903007555834	102.272525576916	4.83856400555147e-24	7.05297914936875e-22	1.1537643802952	28.1530643704829	FBgn0038508		protein_coding	42097
FBgn0042106	39.4953223184839	5.97585444899281	0.804179548889987	101.863429721246	5.94846068406922e-24	8.4901883638663e-22	4.4366132002552	0.0499263795806564	FBgn0042106		protein_coding	59145
FBgn0030313	91.8996586824502	-3.01048744044844	0.306273630445592	98.7996357955444	2.79385847375655e-23	3.90627028647064e-21	1.68428813989401	10.2642167117359	FBgn0030313	Receptor accessory protein like 1	protein_coding	32103
FBgn0266671	737.305301734101	1.59068575227396	0.160904710140948	94.3310799702576	2.6692610181057e-22	3.65742144700842e-20	26.3725792046624	7.94413179878982	FBgn0266671	Secretory 6	protein_coding	37142
FBti0018968	949.383876570818	-2.75505362574543	0.268365095547089	93.7716115232422	3.54114470887107e-22	4.75693772558347e-20	2.5519649116404	13.6047735390709	FBti0018968		transposable_element	NA
FBgn0032049	574.264607222766	4.50064495635785	0.413724361960543	92.8258948917188	5.71031032763211e-22	7.5233338566553e-20	51.9308569096177	1.71643445575232	FBgn0032049	beta-site APP-cleaving enzyme	protein_coding	34182
FBti0020099	744.448208494628	-3.23843023505958	0.312681749426843	92.1983854882914	7.84087109037876e-22	1.01354354415443e-19	1.73204830094339	14.2545949659557	FBti0020099		transposable_element	NA
