baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0000008	583.196940945558	0.029263697277451	0.552143494099972	0.00280867994703726	0.957734313509347	0.983332567452192
FBgn0000014	1436.06974615301	-0.108363184036549	0.290699933231667	0.138925961774618	0.70935109467752	0.864255603282087
FBgn0000015	327.147442484266	-0.191215234216101	0.225297970908135	0.720608233821487	0.395944469895069	0.64168495792242
FBgn0000017	1867.94013693351	0.262609933845255	0.216213436669714	1.47324152245547	0.224834950097058	0.464448755717868
FBgn0000018	214.442412140715	-0.0130704700917986	0.185651888683412	0.00516156359154962	0.942726038301348	0.978396753264101
FBgn0000024	676.071471316541	-0.0470193347404832	0.178722711036666	0.0691998253209363	0.792505415328804	0.909040690606766
FBgn0000032	627.65985468022	-0.1359729419258	0.126080877434122	1.1639345078741	0.280651050157874	0.530127973244778
FBgn0000042	101312.142716687	0.4875597642011	0.273987426394603	3.15164824689583	0.0758503102731861	0.244884734190984
FBgn0000043	14992.5751345495	0.423058123413933	0.191228128414605	4.87704203630619	0.0272162208386943	0.124934335991345
FBgn0000046	10772.6910672898	-0.371114296109144	0.175264629952679	4.47135495599632	0.0344676481968542	0.146707599457646
FBgn0000052	4212.92043799958	0.0189098423975083	0.198262575022535	0.00909678384485346	0.924015335342273	0.969919591364743
FBgn0000053	6906.84496108819	-0.206878828278312	0.34514412415857	0.358977498262846	0.549074655852781	0.768637352691201
FBgn0000057	757.850531608632	-0.0520897313314928	0.176589897993707	0.0870748288740515	0.767929373081887	0.895297081552754
FBgn0000061	191.102579203675	-0.0703734862081942	0.218301496283493	0.103871924956088	0.747231737953069	0.883658173231478
FBgn0000063	103.633450903312	-0.193005325793007	0.215980516001621	0.801429732062083	0.370666246650684	0.620140990797279
FBgn0000071	4288.35942750504	-0.118554137223835	0.803476011727922	0.0217666974951385	0.882709431606183	0.95313172248734
FBgn0000077	145.407600032422	0.166109070807842	0.207993484759342	0.638122442365692	0.424391506824885	0.667744731535339
FBgn0000083	7180.80565791321	0.309086075331536	0.13833448594644	4.98296157198013	0.0255981262267723	0.120065135865562
FBgn0000084	1021.24358880056	-0.123067431344266	0.178171724532188	0.476929017258882	0.48981664834956	0.723905729287703
FBgn0000097	1334.65320591053	-0.206274506832876	0.441299809566942	0.218293116231294	0.64034356706486	0.827313397354717
FBgn0000100	27656.5634053264	0.435948552700535	0.189683903741737	5.26222100215074	0.0217931906169801	0.106517686513098
FBgn0000108	972.718826410778	-0.821308646817257	0.168180818668798	23.5871330366771	1.1938314828181e-06	2.31226308251084e-05
FBgn0000109	244.965857778794	0.0279101497188056	0.261666184671536	0.0114412976880303	0.914817538241206	0.965598999493368
FBgn0000114	803.833718502946	-0.150246608018579	0.213833825504031	0.493710913201269	0.482276604458594	0.719498649373604
FBgn0000115	666.909993420664	0.369176391955174	0.219297539598619	2.8269177366512	0.0926961108472726	0.278481706286701
FBgn0000117	7802.77361589328	-0.137127546708105	0.125984398019837	1.18429432295687	0.276483487579123	0.525465661020587
FBgn0000119	1664.40529736961	-0.112070288732629	0.148410967119741	0.570043387573207	0.450241675832814	0.691679014939462
FBgn0000139	497.963183428819	-0.0752594698195582	0.175222902965122	0.184377856638136	0.667637663797033	0.840477721965364
FBgn0000140	497.183431886355	-0.264386812391211	0.204370222933208	1.67256214659956	0.195915707226671	0.429148692020326
FBgn0000147	152.279648371344	-0.319058346725347	0.302802129182717	1.11044744076396	0.291984705534511	0.54231586155911
FBgn0000150	7980.72827853341	0.360443114673717	0.263390619038426	1.86789020950006	0.171716912145818	0.400334791016836
FBgn0000152	662.787712258996	0.176581415830928	0.131666219469355	1.79827062246157	0.179921708876748	0.411757816390013
FBgn0000153	2538.58821221282	-0.0659267471882611	1.39895452252292	0.00222137010547385	0.962408491076471	0.984935317866442
FBgn0000157	331.768072407469	-0.359053381312372	0.171628235247155	4.37517854875713	0.036466009726981	0.153511819784888
FBgn0000163	1152.44976986909	0.134101179303827	0.207191729635007	0.418722660111911	0.517575101095144	0.746042189692012
FBgn0000173	2953.17155857329	-0.170489024166864	0.196858557308694	0.749593045345421	0.386605105610173	0.632967820341557
FBgn0000179	383.277549500238	-0.189474289850934	0.240507926537815	0.620241725830113	0.430957473328659	0.674263313452386
FBgn0000180	513.097951188994	-0.675863025235916	0.250085039677098	7.24766977447236	0.00709930803961986	0.0452062643157337
FBgn0000182	149.058584052485	-0.779564956963305	0.398934118415245	3.78761515052244	0.0516331659627564	0.19430086143292
FBgn0000183	1077.80489315847	-0.162179241269978	0.142017379229314	1.30337473944994	0.25359770757133	0.500002520259417
FBgn0000212	2609.06919229008	-0.189832567251195	0.11689616144835	2.63546938016313	0.104501173108149	0.297535254961693
FBgn0000221	146.034835781994	-0.0429781048406577	0.304936195374506	0.0198616637963198	0.887924124064083	0.955321842059185
FBgn0000228	840.496296945483	-0.0214710411640086	0.155820233433585	0.018993907265795	0.890383953823788	0.955321842059185
FBgn0000229	411.780652519327	0.0364744612882173	0.203934433792893	0.0320021623166014	0.858022911311609	0.942962105821362
FBgn0000239	1810.33911475934	-0.220038805363715	0.112306573328252	3.83605586402761	0.0501613878672126	0.190568950000928
FBgn0000244	1431.9677951572	0.393636466466124	0.159883184673257	6.0445172823083	0.0139495464202592	0.0766805850148264
FBgn0000247	1167.687552078	0.236327004164145	0.109155694479731	4.68429375159079	0.0304395740018076	0.13502878833951
FBgn0000250	2410.63616243597	0.0061644855441928	0.234137916379333	0.000693620838248421	0.9789887967505	0.993337302219725
FBgn0000251	709.776307868761	0.109727488091775	0.210504885943653	0.271637035899175	0.602235742916287	0.80519353813811
FBgn0000253	5203.82004907637	0.602282985162427	0.142787439732692	17.6681617150967	2.62992003970012e-05	0.000372832324087183
FBgn0000256	1565.5508115759	0.286980236236497	0.131843674438917	4.73218198589549	0.0296033068951309	0.132182207531747
FBgn0000257	518.046147732757	0.27936736774142	0.17820013322843	2.45462847450551	0.117178891409596	0.317851341808829
FBgn0000259	1167.12455730468	0.0326230600373233	0.126447250271625	0.0665936585517528	0.79636255304785	0.910427155845438
FBgn0000261	13997.0839954241	-0.300210618766165	0.175256749075709	2.92901579495904	0.0870005154576445	0.267358577773805
FBgn0000273	2143.60948731319	0.28566784190778	0.169561353161254	2.83398298754985	0.0922892125556548	0.277811290147083
FBgn0000274	62.844018768584	-0.588516339852673	0.524870832910685	1.25345944390455	0.262892769412789	0.510525272527211
FBgn0000283	1619.78914503051	-0.121478979111084	0.101666696239496	1.42785014764159	0.232115616172368	0.474792535037767
FBgn0000286	1111.32440753319	0.0119770635173127	0.152905754678134	0.00613602295987903	0.937563350321187	0.975318444033536
FBgn0000287	364.519282521393	-0.479861713550202	0.19022902823682	6.3494344282595	0.0117418725880081	0.0675157673810465
FBgn0000289	2239.68545914423	0.0222451138269983	0.161120616065446	0.0190625728308902	0.890187247644616	0.955321842059185
FBgn0000307	1003.86545859119	-0.251544662317892	0.186481848120105	1.81810998986488	0.177538414625076	0.408977380795167
FBgn0000308	15659.8800951784	0.0986761077309269	0.162242804500923	0.369834326118038	0.543094588441443	0.765131824073189
FBgn0000316	466.392558647182	-0.148352777980533	0.154704612122013	0.920004819360386	0.337473706862851	0.588133860698867
FBgn0000317	1041.75995182028	-0.0433167580603975	0.132460792674805	0.106935519763383	0.743660345280607	0.881704456846002
FBgn0000318	1565.41037525076	0.362717314897734	0.180990932634501	4.00648983543915	0.0453254224451004	0.178313644113642
FBgn0000319	16113.3400959862	-0.0180219474005657	0.216492060926949	0.00692993091766425	0.933655772640471	0.973911203639052
FBgn0000320	410.252278666458	-0.293524665885507	0.20481387064409	2.05204070282483	0.152002330037354	0.371879384734046
FBgn0000326	429.984702140408	0.631571024156074	0.221353046910018	8.08728677196494	0.0044576847842979	0.0309271579064565
FBgn0000330	461.516228305246	0.232701617494521	0.176313365230575	1.74044134307989	0.187082915374308	0.418637981478727
