baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2F14	expressionko	ensembl	description	gene_biotype	entrezgene_id
FBti0019898	1035.62126080156	13.4047265317392	1.21538049152563	416.902146899863	1.1527536490187e-92	8.88888338758316e-89	17.166293932015	0	FBti0019898		transposable_element	NA
FBgn0034899	2060.55813857292	7.83126778374404	0.389039940125174	282.135374814944	2.57197752442791e-63	9.91625934543181e-60	580.084842806876	1.95192078372408	FBgn0034899		protein_coding	37758
FBgn0037975	899.08828865963	-13.3096071780665	1.23810769677119	280.002373385305	7.50030521143363e-63	1.92782844951216e-59	0	86.6001604097444	FBgn0037975		protein_coding	41454
FBgn0034365	289.477484752449	11.5634066575371	1.2243769134495	258.374482957818	3.88011175306201e-58	7.47988543196529e-55	29.8298447806067	0	FBgn0034365		protein_coding	37140
FBgn0015714	329.071291228921	8.31146211752401	0.670935101202052	247.559448194554	8.84122067319549e-56	1.36349305222021e-52	26.3711009435161	0.0661190118638131	FBgn0015714	Cytochrome P450 6a17	protein_coding	45556
FBgn0053503	839.98378865706	-13.2113446226203	1.24769152711896	244.44907317195	4.21352193625681e-55	5.41507794174604e-52	0	44.6103947803616	FBgn0053503	Cytochrome P450 12d1 distal	protein_coding	2768720
FBti0019430	1108.95771585596	-10.8380831690705	0.824499254518624	233.391504240218	1.08576304946895e-52	1.19604555349358e-49	0	23.4542010400618	FBti0019430		transposable_element	NA
FBgn0085362	919.709789711631	13.2336237047099	1.25892126547404	216.516054137727	5.2041289697012e-49	5.01612981067075e-46	70.1568554650328	0	FBgn0085362	Vitelline membrane-like	protein_coding	5740271
FBgn0036108	907.077271899217	-9.59965531155069	0.681915013020354	189.459065058535	4.17259581121191e-43	3.57498736669501e-40	0.386489778956516	233.86328376796	FBgn0036108	Cuticular protein 67Fa1	protein_coding	39223
FBgn0033292	701.341154798782	-2.77523314843207	0.195484494221896	183.375582814233	8.88035976271977e-42	6.84764541303321e-39	6.65086341270138	36.6887633462361	FBgn0033292	Cytochrome P450 4ad1	protein_coding	35821
FBgn0028533	9924.13682961723	5.37733327886733	0.34976996231645	163.894295666965	1.59534067894638e-37	1.11833381594141e-34	1230.19104193412	23.8269730727096	FBgn0028533		protein_coding	34801
FBgn0038241	115.743010757228	-6.49056456713312	0.6034147587461	151.191656092635	9.51697030214464e-35	6.11544649998644e-32	0.64159974765327	41.4336592340606	FBgn0038241		protein_coding	41764
