baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0000008	502.293910379101	-0.628077868035817	0.535357623911852	1.36608958000998	0.242484885838678	0.790474391228958
FBgn0000014	1539.189837365	-0.0720039676826732	0.268283245592478	0.072038039949561	0.788392185154737	0.956759612099516
FBgn0000015	356.182132064757	-0.090864791732837	0.209811478742054	0.188839773576284	0.663884023134644	0.927023786961361
FBgn0000017	1690.96377672636	-0.379252216542666	0.428541985907217	0.781158708613162	0.376786999635037	0.865701388774403
FBgn0000018	216.4146135854	-0.163413022034561	0.201185598886844	0.658359269104608	0.417139781212458	0.87970959129473
FBgn0000024	690.458290213903	-0.373357203729447	0.31422388266689	1.40903171386529	0.235217200751525	0.781081606355019
FBgn0000032	740.520448501516	0.172420470528458	0.13797970922124	1.56107654680532	0.211507662723191	0.76320755582898
FBgn0000042	87954.3269697327	-0.117382238377601	0.362738331789131	0.104690493904997	0.746271853797514	0.948987319166172
FBgn0000043	12655.0053972748	-0.199610164504286	0.198790446404131	1.00746063061611	0.315511962822938	0.834612066592375
FBgn0000044	129660.466554215	0.719470108485245	0.508638064700003	1.98041626309086	0.159346561193915	0.703012504782371
FBgn0000046	12543.0958373961	-0.0696007689321936	0.377481926708314	0.0339950496374684	0.853717346991992	0.970989387484193
FBgn0000052	4193.58350959834	-0.161532287846295	0.253662889293786	0.405417242281075	0.52430474518647	0.90223474301381
FBgn0000053	10424.5863834466	0.78873286795638	0.368174527528884	4.53359521747514	0.0332357248797386	0.322232841730322
FBgn0000055	16315.5720282229	-0.0816893431235655	0.401938747108822	0.0413008868092959	0.838958238460412	0.967778591818814
FBgn0000057	758.932698925258	-0.21749195576487	0.231121266215691	0.886361369804717	0.346465250612761	0.849623623739745
FBgn0000061	205.303109645466	-0.0189799571058722	0.209243442178551	0.00823378789738882	0.927699009873067	0.983026071820471
FBgn0000063	112.626458133849	-0.131100782257074	0.235167718449104	0.31073635247504	0.577228681212056	0.90865959686355
FBgn0000064	22683.232778923	0.522495562637954	0.544552746773315	0.915637498124084	0.338623036008011	0.844975856087411
FBgn0000071	4377.0294870144	-0.214286557031052	0.571355989087716	0.140533335300375	0.707751379516501	0.937717577401336
FBgn0000075	63.2087402107756	0.549767378521312	0.350046603495224	2.4645586706739	0.116440403667604	0.62999679363914
FBgn0000077	158.775942256218	0.208821936820993	0.314086313879226	0.442759319595815	0.505793647284231	0.895295388353976
FBgn0000083	6766.46641435554	-0.0317522383853399	0.103948610018053	0.0933188809186163	0.759999540047835	0.951947965569036
FBgn0000084	1208.62697507705	0.202327226747402	0.216329085054495	0.873876396479105	0.349884388903388	0.851467182456711
FBgn0000097	1278.96865374164	-0.598448257118816	0.429636625917649	1.92712669021741	0.165073142515259	0.710633110232189
FBgn0000100	26523.6331016485	0.185073046862705	0.159005977245235	1.35380798263529	0.244613501791875	0.792429197916752
FBgn0000108	1234.4024420961	-0.23628689175574	0.319634607908566	0.546293528851095	0.459836123568671	0.888270226363548
FBgn0000109	279.108227569032	0.231654638082967	0.215384122524158	1.15712863193551	0.282061833826349	0.820106636437887
FBgn0000114	842.362419387514	-0.251305906111605	0.22680315139686	1.22603645921868	0.268179239405492	0.810256083869186
FBgn0000115	663.161307922174	0.216787073305452	0.176816043157472	1.5016638504342	0.220415528748321	0.771559114930207
