baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2F14	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBti0019430	1123.69287178811	-10.7182469961504	0.751680679404598	630.372125469664	4.14846570669442e-139	3.48637057990599e-135	0	26.4859577710744	FBti0019430		transposable_element	NA
FBgn0004427	24759.8558318112	12.232092227718	0.484665083700529	326.034908834603	7.02109931788962e-73	2.95026593337722e-69	9753.22987413785	2.08158272776842	FBgn0004427	Lysozyme D	protein_coding	38127
FBgn0037975	1232.23079298439	-13.5744037897758	1.2327126193791	313.701311930174	3.41141039436864e-70	9.55649765142469e-67	0	120.7227193606	FBgn0037975		protein_coding	41454
FBgn0033395	544.672369874646	10.81048952735	1.07646311995953	285.930769086919	3.83024171274627e-64	8.04733783847991e-61	27.8183302193353	0.0282951487484123	FBgn0033395	Cytochrome P450 4p2	protein_coding	35946
FBgn0015714	377.514434864906	8.6860203618239	0.668139181467623	275.387363612151	7.59974274000313e-62	1.27736475973973e-58	26.3711009435161	0.0767286882527824	FBgn0015714	Cytochrome P450 6a17	protein_coding	45556
FBgn0050104	992.073814972854	2.62723806861449	0.154034297389837	267.1771174521	4.67903156380951e-60	6.55376354370919e-57	41.7040185526336	8.34250596313951	FBgn0050104	Ecto-5'-nucleotidase 2	protein_coding	246458
FBgn0034710	2528.41080155545	-8.50516459763431	0.44582209055402	245.473387642346	2.51951793500375e-55	3.02486124653879e-52	0.520286505263546	159.583851207882	FBgn0034710	Alkaline phosphatase 7	protein_coding	37538
FBgn0033836	275.685690800441	-7.0010475045048	0.506655848873989	235.843363880167	3.17007938737838e-53	3.33016839644099e-50	0.131489641465473	18.3374117547892	FBgn0033836		protein_coding	36487
FBgn0085362	1055.72183781945	13.6225611218025	1.26330613677298	217.847296552701	2.66657241583632e-49	2.48998606474316e-46	70.1568554650328	0	FBgn0085362	Vitelline membrane-like	protein_coding	5740271
FBgn0050489	891.639171899111	2.86939960946816	0.18744430222794	210.559488383695	1.03705563289954e-47	8.71541553888776e-45	47.7471765793774	7.76631633908605	FBgn0050489	Cytochrome P450 12d1 proximal	protein_coding	246648
FBgn0004425	30921.3269709266	5.85890174369686	0.329308658363843	208.738332804505	2.58898590971334e-47	1.97798523502099e-44	12510.1415874197	223.320729797439	FBgn0004425	Lysozyme B	protein_coding	38125
FBti0019466	275.244618972452	5.44563585451238	0.366756121309203	204.62136457491	2.04834314655546e-46	1.43452298363767e-43	3.55242830702596	0.0797117223779791	FBti0019466		transposable_element	NA
FBgn0033593	682.05092067605	-2.8304554195836	0.20142823609437	179.501403617619	6.22708725812744e-41	4.02557240902331e-38	38.8708061941706	290.166649229948	FBgn0033593	Listericin	protein_coding	36183
FBgn0036108	122.04141197158	-6.50614024725513	0.610630256200299	161.259334548514	6.00489530352532e-37	3.60465286648763e-34	0.386489778956516	40.0411785750551	FBgn0036108	Cuticular protein 67Fa1	protein_coding	39223
FBti0020111	85.2935968708098	9.9965169206245	1.23748270432135	155.882160171118	8.98293267173578e-36	5.0328377448845e-33	2.54397418446574	0	FBti0020111		transposable_element	NA
FBgn0026602	903.162722743738	-1.77435552514895	0.142093959910861	149.858670895456	1.86144841164524e-34	9.77725778216664e-32	9.56997184371638	37.7347162205543	FBgn0026602	Adenosine kinase 3	protein_coding	44750
FBgn0050360	2151.21865721166	-3.41169260389468	0.255654560586439	149.527898544417	2.19862379967919e-34	1.086896141912e-31	9.91000134709485	129.938161076894	FBgn0050360	Maltase A6	protein_coding	246565
FBgn0283432	187.28275109189	11.1229742256484	1.27689081612684	133.702286112624	6.34743838198122e-31	2.9635484534539e-28	6.94925013420661	0	FBgn0283432	Sperm-specific dynein intermediate chain A	protein_coding	26067074
FBgn0033520	459.02827357106	4.96730551240374	0.382608664714182	133.176367006283	8.27263455676004e-31	3.6591168850006e-28	69.7869132493892	2.26827878163626	FBgn0033520	Peroxiredoxin 2540-1	protein_coding	246663
FBgn0036833	5659.24405703804	6.04020989297759	0.430041820857608	129.213473193386	6.09029846705852e-30	2.55914341585799e-27	465.769846895067	7.93810096464049	FBgn0036833		protein_coding	40069
FBgn0036766	2071.91243423562	2.92780492605997	0.24227756284718	127.366969673502	1.54411728136432e-29	6.1794103012313e-27	373.948710739383	56.9276769015496	FBgn0036766		protein_coding	39992
FBgn0029710	451.289233500745	2.82324740295476	0.241896302379968	123.590944757345	1.03530545954882e-28	3.9548668554765e-26	23.8098485282738	4.30759012628757	FBgn0029710		protein_coding	31383
FBgn0000079	2208.20476237184	2.30707766296967	0.203097597815941	117.999867464416	1.73399596639532e-27	6.33587047895053e-25	121.512853168649	28.1287921140398	FBgn0000079	Amylase proximal	protein_coding	47764
FBgn0000078	5995.0874177864	2.60751530621156	0.227182585529061	117.243960910889	2.53842212857269e-27	8.88870815355203e-25	340.675274104015	57.3910380848982	FBgn0000078	Amylase distal	protein_coding	36932
FBgn0000640	49263.857614084	-5.59005990449696	0.42707735680206	115.618939752688	5.75988082573151e-27	1.9362415383779e-24	107.257301354483	8671.64235013361	FBgn0000640	Fat body protein 2	protein_coding	34259
FBgn0052581	46.8551738085247	9.12685094326319	1.25140413896289	109.282983057803	1.40694965327389e-25	4.54769418696683e-23	3.64333903641619	0	FBgn0052581	suppression of retinal degeneration disease 1 upon overexpression 2	protein_coding	318098
FBgn0027073	311.330226270443	2.96779865044795	0.273106084016215	107.093213823512	4.24715841519841e-25	1.32196738227139e-22	18.1228025307322	2.3086100516199	FBgn0027073	UDP-glycosyltransferase family 49 member B1	protein_coding	37420
FBgn0039779	111.005765286134	3.93996064797867	0.39555937289571	93.7846847385622	3.51783288164933e-22	1.05585241204932e-19	5.75739406761951	0.555214653891221	FBgn0039779	prolyl-4-hydroxylase-alpha SG2	protein_coding	43623
FBgn0033820	1370.7686629393	5.81599369001098	0.501916115726279	91.891473491408	9.15626844854269e-22	2.65342344970872e-19	191.936523662689	4.08921737889434	FBgn0033820		protein_coding	36471
FBgn0039309	705.08134707627	3.61453691640733	0.344500883094582	91.6336707059551	1.0430307716501e-21	2.92187686831583e-19	43.8243927882569	4.13030991844282	FBgn0039309		protein_coding	3772439
FBgn0033304	638.267358144626	-1.64227614017697	0.169981075122379	90.0648325329571	2.30482296640904e-21	6.24830071280697e-19	10.0041703912456	35.4499387756462	FBgn0033304	Cytochrome P450 6a13	protein_coding	35837
FBgn0035343	568.260010107107	-1.3809170862269	0.146916869601846	86.6485067478003	1.29628411836449e-20	3.40436616585473e-18	20.7394014070608	65.3617882259074	FBgn0035343		protein_coding	38310
FBgn0034335	354.683059603283	2.91083381306516	0.301244688331958	83.6649251851873	5.86160393065252e-20	1.49275513433951e-17	46.8534099626173	7.66793032215118	FBgn0034335	Glutathione S transferase E1	protein_coding	37106
FBgn0034756	585.01761100733	3.1968792407945	0.325345190655502	83.4206366721736	6.6325975503457e-20	1.63942205332663e-17	27.6881355326436	3.61721221425064	FBgn0034756	Cytochrome P450 6d2	protein_coding	37594
FBgn0034715	148.731851855336	-4.03124096051106	0.427314009818172	80.9436469653492	2.32246988019493e-19	5.57658196375950e-17	0.414431561617425	7.60728250029379	FBgn0034715	Organic anion transporting polypeptide 58Db	protein_coding	37544
FBgn0033292	493.20385883571	-1.93211211591809	0.210553690981955	80.1340933573863	3.49843675525517e-19	8.16690624754569e-17	6.65086341270138	26.4318321433646	FBgn0033292	Cytochrome P450 4ad1	protein_coding	35821
FBgn0085244	333.721228639028	3.51792441778734	0.365277432414179	79.4506260693345	4.94428073881043e-19	1.12301987375575e-16	151.290699214693	11.9548826477799	FBgn0085244		protein_coding	5740170
FBgn0031678	201.773876598179	3.16734891738532	0.33822707542082	79.1068625543323	5.88395878538274e-19	1.30128393769359e-16	8.24166517972206	0.912497846490265	FBgn0031678	Neprilysin-like 3	protein_coding	326172
FBgn0039778	37251.5434023063	3.32829938333727	0.343041830771007	78.5958325250166	7.62100210515567e-19	1.64222824850585e-16	4379.25913874573	463.065032581881	FBgn0039778	Jonah 99Fi	protein_coding	43622
FBgn0033205	553.893999984892	3.39328898019279	0.355830412813362	77.2965229672587	1.47124810779562e-18	3.0910922744786e-16	46.5115780260344	5.92170910170899	FBgn0033205	Retinol dehydrogenase 1	protein_coding	35708
FBgn0038241	164.593965242715	-6.82528697064599	0.748646944237541	77.027186675064	1.68620754916325e-18	3.45631420565071e-16	0.64159974765327	81.12852303009	FBgn0038241		protein_coding	41764
RR48348_transposable_element	2306.14898988934	4.49508911310897	0.448927590412125	75.7238242388548	3.26247426773209e-18	6.52805565381441e-16	48.5997403349136	1.74936198580687	RR48348_transposable_element		transposable_element	NA
FBgn0037930	389.136386671157	3.75329509744422	0.401453186188056	72.8206981286788	1.41979995843294e-17	2.77488345364428e-15	67.7684591522813	6.79974012541299	FBgn0037930		protein_coding	41403
FBgn0030187	55.499832853276	6.00687698448793	0.765811636838991	71.9524104680607	2.20450316092963e-17	4.21060103737559e-15	4.56342413795695	0.0370234308059772	FBgn0030187		protein_coding	31954
FBgn0015035	63.2278899318688	4.0311760725889	0.483044837343793	69.2232376336734	8.79259621089304e-17	1.642066190141e-14	3.03202329957117	0.251688121774087	FBgn0015035	Cytochrome P450 4e3	protein_coding	34291
FBgn0037304	80.5614401047402	4.10446689153237	0.482581282429326	68.1303925174746	1.53033649710984e-16	2.79585824385024e-14	4.70732557775316	0.265805640217375	FBgn0037304		protein_coding	40629
FBgn0039519	123.046161137313	4.90363226174471	0.555403977768365	67.5162805073366	2.08954505255243e-16	3.73628438758524e-14	6.3312751642809	0.132147133631083	FBgn0039519	Cytochrome P450 6a18	protein_coding	43304
FBgn0038783	775.0190659223	1.38811195622169	0.167061035457786	67.082784382119	2.60341956279683e-16	4.55815375119679e-14	85.3785585158675	36.5467502130668	FBgn0038783		protein_coding	42409
FBgn0051262	63.7771844814214	4.87544048135112	0.597255388337424	66.721393145343	3.12722811163898e-16	5.3635153163702e-14	2.86559566810238	0.084543667197019	FBgn0051262		protein_coding	318649
FBgn0028920	19528.9528144788	1.27193967625538	0.155172019487551	65.1421293315266	6.96862201300116e-16	1.17128598794524e-13	1931.64245186824	926.664958742925	FBgn0028920		protein_coding	34799
FBgn0013278	477.758650686402	3.89664549965571	0.444990799672259	62.4923813964173	2.67477361235684e-15	4.32284566120132e-13	18.6650962330283	1.14254662600579	FBgn0013278	Heat shock protein 70 Bb	protein_coding	48582
FBgn0262983	72.4318846651453	4.04246058697577	0.485502430544577	62.4996141321728	2.66496848315313e-15	4.32284566120132e-13	5.21177936302722	0.325173313177095	FBgn0262983		protein_coding	12797901
FBgn0053926	1609.77855850736	-1.9766100526515	0.242009701407294	62.3798978280566	2.83199252629851e-15	4.49057833792692e-13	53.2696623858989	228.638344188688	FBgn0053926		protein_coding	39092
FBti0019129	346.490228152384	3.03655410235466	0.363707990086117	61.366897887267	4.73708182259153e-15	6.98428695387004e-13	4.99062102471756	0.706364910327039	FBti0019129		transposable_element	NA
