baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0000008	309.028200186696	-0.37786469966657	0.478576279015626	0.621891000176717	0.430345445364538	0.698608440130595
FBgn0000014	984.633198020285	-1.03816173791438	0.43528462855956	5.5715789837396	0.018254292498987	0.121861351461981
FBgn0000015	241.967580227207	-0.721700606697428	0.398406225035485	3.25442333033085	0.0712309884525782	0.267686561586913
FBgn0000017	1152.09152448569	-0.398509348700888	0.503958938649266	0.623423720669649	0.429777848136405	0.697955259718637
FBgn0000024	511.981429736272	-0.16826069164182	0.414914969822411	0.164404010361267	0.685133797323089	0.858361955929389
FBgn0000032	602.052537893013	-0.469996798368634	0.269487299246241	3.02994207578392	0.0817409346355967	0.288281247398089
FBgn0000042	73689.1111036888	-0.0486653696925295	0.445727892942651	0.0119208923432836	0.913057471383238	0.967473187300888
FBgn0000043	8977.94119324994	-0.492662922472452	0.269732643068381	3.32003092196082	0.068440541757891	0.262811680350301
FBgn0000044	177926.919644103	0.580180050441734	0.586446889133607	0.972208010607972	0.324130124133841	0.607105381026645
FBgn0000046	11358.6383152858	0.130797217513585	0.489589512315613	0.0713465639082784	0.789386180795402	0.912307897808884
FBgn0000055	21430.9024525281	1.07748793632947	0.42389919968239	6.31631022533466	0.0119632311299875	0.0942774035318414
FBgn0000057	653.333709797076	0.12605428474973	0.350498975596731	0.129420552166224	0.719033588292114	0.878056628200604
FBgn0000061	155.345558357306	-0.487390201054587	0.435978187696518	1.24496399930358	0.264516510390298	0.543574672774809
FBgn0000064	32739.1324405438	0.836653475708738	0.554050325463985	2.2490472913419	0.133696692536075	0.378762460947272
FBgn0000078	7200.94201065893	-0.807128783481045	0.577835330653561	1.92626937283958	0.165167172791877	0.424371130092999
FBgn0000079	2604.04807144883	-0.743188434792265	0.640768147864726	1.33074432958743	0.248672843952581	0.525829232019863
FBgn0000083	6417.82352143197	0.21556051568369	0.344835591879985	0.390407517341643	0.532085271117643	0.767957173550086
FBgn0000084	964.441789480349	-0.570095112609661	0.321653612555848	3.12223611752989	0.0772307343899742	0.280252748474506
FBgn0000097	716.030353004797	-0.784555174114345	0.459661102147395	2.87886014038436	0.0897495326140505	0.305604212625352
FBgn0000100	27655.2032588964	0.266892188579234	0.237655975268943	1.2593717300397	0.261770047020624	0.54042848417161
FBgn0000108	717.596759848099	-1.24548406844789	0.446904559429758	7.54619518354595	0.00601369204360317	0.0615802065264964
FBgn0000109	231.423844974768	-0.477759596390147	0.32944432295247	2.0930253135375	0.147972789146725	0.397986030790045
FBgn0000114	925.142129743181	0.739933095739366	0.337022466931583	4.77088254898618	0.0289449840684085	0.159821715954193
FBgn0000115	712.873056085667	0.314577192306622	0.341214965911458	0.848267447619818	0.357042930884867	0.634475952906048
FBgn0000116	61013.3298770124	0.417000792724773	0.400527808536104	1.08019271676321	0.298654447946306	0.58147793875326
