baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2M8	expressionh2F14	ensembl	description	gene_biotype	entrezgene_id
FBgn0051683	458.945615061039	12.3192492183173	1.23801078171938	241.848546982433	1.55469814502019e-54	1.31340899291306e-50	0	25.9444565877078	FBgn0051683		protein_coding	261623
FBti0019430	609.036597531332	9.93693658029532	0.83398724467824	187.552966856942	1.08763533183354e-42	4.59417164166486e-39	0	13.7690878950508	FBti0019430		transposable_element	NA
FBgn0043575	24074.5622173854	5.31353949099251	0.327489438991115	182.845542336709	1.15917569786005e-41	3.26423876517391e-38	118.884383595064	4629.17025863568	FBgn0043575	Peptidoglycan recognition protein SC2	protein_coding	35862
FBgn0015714	334.680331048249	-8.62141561175639	0.767115760575827	168.525896469339	1.55286401774104e-38	3.27964880546908e-35	26.3711009435161	0.0426587156615321	FBgn0015714	Cytochrome P450 6a17	protein_coding	45556
FBgn0085362	917.220882818441	-10.0202930364446	0.805414540867005	160.328857932513	9.58952922404681e-37	1.62024685769495e-33	70.1568554650328	0.052464140430942	FBgn0085362	Vitelline membrane-like	protein_coding	5740271
FBgn0052475	158.724494243521	-10.7162767903603	1.26080792740798	142.409367345662	7.91355685884789e-33	1.11422880572578e-29	4.97688039911023	0	FBgn0052475	methuselah-like 8	protein_coding	38013
FBgn0038241	177.644284854332	7.0828371292605	0.656230181164598	126.617985610955	2.25206745941053e-29	2.71792369958574e-26	0.64159974765327	58.3440300815863	FBgn0038241		protein_coding	41764
FBti0019898	1074.37987934703	-5.68997993094011	0.435689314336424	121.11736884257	3.6018017457908e-28	3.80350264355509e-25	17.166293932015	0.221213450859329	FBti0019898		transposable_element	NA
FBti0102102	1789.7035389004	4.62328914327185	0.365945382419227	120.681074282796	4.48777563610686e-28	4.21252539709231e-25	0.497935481661912	11.7047880983966	FBti0102102		transposable_element	NA
FBgn0034317	118.285097490152	-10.296535860625	1.27157154288758	119.759854960672	7.14017288195709e-28	6.03201805067735e-25	21.3231214280796	0	FBgn0034317		protein_coding	37086
FBgn0283432	166.23782088029	-10.7818562364655	1.28994280468418	114.138426229398	1.21521954808742e-26	9.33288612931141e-24	6.94925013420661	0	FBgn0283432	Sperm-specific dynein intermediate chain A	protein_coding	26067074
FBgn0039309	634.970530970869	-4.36853297110107	0.373601230820678	108.420294622771	2.17420099402492e-25	1.53063749979355e-22	43.8243927882569	1.99007632583502	FBgn0039309		protein_coding	3772439
FBti0019588	95.7817247192467	10.0566494171956	1.27849739980503	108.216814874923	2.40926997132712e-25	1.56565482444396e-22	0	3.31288392040658	FBti0019588		transposable_element	NA
FBgn0033520	418.219786741693	-4.21699559313548	0.389397502172533	95.8473297904578	1.24093274965904e-22	7.48814276365682e-20	69.7869132493892	3.0007625884482	FBgn0033520	Peroxiredoxin 2540-1	protein_coding	246663
FBgn0014368	1893.63779256979	5.49948810559985	0.470307241393875	95.6159906660957	1.39475270678692e-22	7.85524724462392e-20	14.2506955500622	386.79551876401	FBgn0014368	no optic lobe	protein_coding	64867
FBti0018993	134.400396113873	-8.06482395026949	0.988341059527443	93.3998977896255	4.27272810602799e-22	2.25600043998278e-19	4.62141845000066	3.74359081771183e-06	FBti0018993		transposable_element	NA
FBgn0038242	298.396873918772	7.96960425036842	0.775788590310241	92.9326480014487	5.41045874411736e-22	2.68867973354726e-19	0.22160337100307	78.1361197539425	FBgn0038242		protein_coding	41765
FBti0018869	623.876830859468	-4.79360078406257	0.44350556046304	89.5330340933855	3.01560839053094e-21	1.41532553795586e-18	10.4099169785978	0.29998046714302	FBti0018869		transposable_element	NA
FBgn0038144	164.458596167309	6.9219192587669	0.714838962553369	89.3276771491786	3.34545885494711e-21	1.48749665297859e-18	0.0579553937300339	8.85949644988454	FBgn0038144		protein_coding	41645
FBgn0033297	1244.30014470558	-3.56036757756724	0.351439170024197	85.0678439200118	2.88301214253853e-20	1.21778432900828e-17	83.7230550148304	5.87885428573893	FBgn0033297	Maltase A8	protein_coding	35830
FBti0020111	76.6084908218722	-7.78647183466134	1.12732792483489	84.7974693852953	3.3054715815512e-20	1.32974399623545e-17	2.54397418446574	0	FBti0020111		transposable_element	NA
FBti0215286	52.8246669181849	-9.13844341395454	1.2925615935429	80.6736259895794	2.66252109354176e-19	1.02240809992004e-16	2.58404968160311	0.00242435129070802	FBti0215286		transposable_element	NA
FBgn0259818	1033.68767300879	4.70846196762615	0.48550059151158	70.7699908174907	4.01396486234861e-17	1.47434674596179e-14	0.833398361153499	12.7560087479029	FBgn0259818		protein_coding	33176
FBgn0052751	631.803189362202	4.86668744298392	0.506899651852999	69.3993754437061	8.04141258342998e-17	2.83057722936735e-14	1.24906289691313	40.455395133129	FBgn0052751		protein_coding	318189
FBgn0052581	41.5509060017435	-8.78489062577554	1.30493326739808	69.0192011370315	9.75094595657499e-17	3.29503965764582e-14	3.64333903641619	0	FBgn0052581	suppression of retinal degeneration disease 1 upon overexpression 2	protein_coding	318098
FBgn0033327	2299.55761739694	-6.31444755129644	0.607881698626066	68.8741964864004	1.04949028546835e-16	3.41003612755255e-14	424.74389708547	4.24315216370115	FBgn0033327	Peptidoglycan recognition protein SC1b	protein_coding	35861
FBgn0031649	210.764537252889	-4.06305101170437	0.455943364998171	67.0911213024669	2.59243329210685e-16	8.11143572285878e-14	8.54554432864154	0.484697453422216	FBgn0031649	hoepel2	protein_coding	33700
FBti0019147	39.6517002817493	8.78514338954182	1.3114961888568	66.6939041187345	3.17114214056999e-16	9.56778885840546e-14	0	2.80555855072847	FBti0019147		transposable_element	NA
FBgn0039473	224.078842324337	-5.31430560799653	0.581304021264012	66.1735081805742	4.12925316411676e-16	1.16279769101528e-13	29.4829881959418	0.488939434272847	FBgn0039473		protein_coding	43249
FBgn0052379	54.7745627870045	-6.31186979538537	0.885732401432843	66.1903004426598	4.09422373715016e-16	1.16279769101528e-13	5.42877202653848	0.0557684614887051	FBgn0052379		protein_coding	326211
FBgn0050489	824.292873909574	-2.82165232305335	0.328195187727895	65.2610107775517	6.56065972893204e-16	1.78788559322638e-13	47.7471765793774	5.9241800828814	FBgn0050489	Cytochrome P450 12d1 proximal	protein_coding	246648
FBgn0036194	1268.40977211051	-2.13118625218057	0.256468937046109	63.9349035020107	1.28598980586777e-15	3.39501308749092e-13	70.9889902693955	14.3072358737968	FBgn0036194	Diphthamide biosynthesis 1	protein_coding	39317
FBgn0259998	25877.247613415	2.50173121637231	0.296803668751074	63.6237491653505	1.50602551714973e-15	3.85542532390331e-13	517.041175577973	2736.89572256053	FBgn0259998		protein_coding	35409
FBgn0039321	1008.03063986733	3.61544004993684	0.417254728716681	61.9009507267786	3.61175125073437e-15	8.97413957829528e-13	6.04266466290848	70.7319936300613	FBgn0039321		protein_coding	43061
FBti0019469	2904.42579076258	-7.42825225778645	0.729096618353802	60.9944583036036	5.72356945914932e-15	1.38150613688267e-12	55.510491952082	0.120456760641358	FBti0019469		transposable_element	NA
FBgn0042173	439.964418441506	4.13993061917094	0.4758031345298	60.6162586499834	6.93587786666211e-15	1.62761933937671e-12	2.60251445504307	38.1619786071071	FBgn0042173		protein_coding	246511
FBgn0004431	1845.33887861587	-5.44289836341256	0.587477719284352	59.6844473594004	1.11353049203539e-14	2.54246097208512e-12	583.04811438038	8.48220510856288	FBgn0004431	Lysozyme X	protein_coding	38122
FBgn0038873	739.917373754143	3.99866994062897	0.465767957697643	59.006196459792	1.57176223687963e-14	3.49427562556819e-12	1.78625872382326	30.2866103118327	FBgn0038873		protein_coding	42522
FBgn0035780	520.857917383922	2.57546584580036	0.334550955275329	53.5614712146755	2.50626719639479e-13	5.42896032695979e-11	6.37132853568446	33.7936778563705	FBgn0035780		protein_coding	38829
FBgn0033292	669.77083654823	2.66828927964179	0.350407209916017	51.8139117922264	6.10179365455893e-13	1.28869881984285e-10	6.65086341270138	39.850666778856	FBgn0033292	Cytochrome P450 4ad1	protein_coding	35821
FBgn0028864	150.371727985423	-3.39982846087654	0.455274462637527	49.0760423441238	2.46229315381916e-12	4.95272680082482e-10	10.6307690714664	0.947729847005291	FBgn0028864		protein_coding	34922
FBgn0051780	150.371727985423	-3.39982846087654	0.455274462637527	49.0760423441238	2.46229315381916e-12	4.95272680082482e-10	10.6307690714664	0.947729847005291	FBgn0051780		protein_coding	318937
FBti0019144	436.106003704885	6.85910850933464	0.804638537199331	48.8595347854466	2.74965470888087e-12	5.40211232107573e-10	0.0406397209798957	5.57804741284281	FBti0019144		transposable_element	NA
FBgn0040251	52.0454856641464	-4.09093394618003	0.585567792797186	48.1915731091333	3.86545991908663e-12	7.42168304464633e-10	3.34441316986511	0.166641830681453	FBgn0040251	UDP-glycosyltransferase family 302 member K1	protein_coding	53502
FBgn0035667	33641.0025942142	1.89118722714113	0.266854001437838	47.0014194914982	7.09353100024676e-12	1.33169221977966e-09	1158.36329105909	3406.22903500013	FBgn0035667	Jonah 65Ai	protein_coding	38685
FBgn0002533	56487.0427030902	2.78405904141937	0.384585993317354	45.8572981045519	1.27188405186338e-11	2.33584271090039e-09	1951.49615799616	13765.7482040288	FBgn0002533	Larval cuticle protein 2	protein_coding	35818
FBgn0043576	8386.63869101872	4.8335095275333	0.613401156071661	45.0868462966841	1.88487199193424e-11	3.38795714635328e-09	104.159184765858	2592.70695517057	FBgn0043576	Peptidoglycan recognition protein SC1a	protein_coding	35859
FBgn0033978	3943.46105088344	4.17170961721499	0.547613178857344	44.9353988411807	2.03643023678421e-11	3.51097196741898e-09	9.86777268182995	188.613946293798	FBgn0033978	Cytochrome P450 6a23	protein_coding	36661
FBgn0050054	31.5981938953297	5.43880003339286	0.878971096752957	44.940699138658	2.03092558330541e-11	3.51097196741898e-09	0.108791779733203	3.21543344988771	FBgn0050054		protein_coding	246420
FBgn0035875	48.977669609076	-4.384427206813	0.648326757390525	44.4646304650217	2.58994234197827e-11	4.37596658100648e-09	6.96437844691713	0.272730417320953	FBgn0035875	Cuticular protein 66Cb	protein_coding	38940
FBgn0039801	264.968604795486	2.31671944572228	0.344357834821123	41.9473041980668	9.37665664553507e-11	1.55321559493099e-08	13.3811438273018	61.2735546486793	FBgn0039801	Niemann-Pick type C-2h	protein_coding	43649
FBgn0033836	75.1509370355529	5.28123567241814	0.764499908165495	41.7420620296467	1.04144216343141e-10	1.6919429608978e-08	0.131489641465473	5.72474265629549	FBgn0033836		protein_coding	36487
