baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2M8	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0004427	58741.8118770588	13.5511221331964	0.447144060419602	459.682369818503	5.63654697240504e-102	4.77415528562707e-98	19841.5471242251	2.08158272776842	FBgn0004427	Lysozyme D	protein_coding	38127
FBgn0004425	68392.4607850136	7.08709007897741	0.271875433287048	401.165782050458	3.07014910387264e-89	1.30020814549006e-85	19497.0700873664	223.320729797439	FBgn0004425	Lysozyme B	protein_coding	38125
FBgn0051683	519.085379056897	12.6802548450818	1.2176033711734	355.613472474226	2.53953252838326e-79	7.16994683846873e-76	25.9444565877078	0	FBgn0051683		protein_coding	261623
FBgn0037975	1168.6190922216	-13.4154871373316	1.2336440970901	302.652589844756	8.70702349893728e-68	1.84371222589997e-64	0	120.7227193606	FBgn0037975		protein_coding	41454
FBgn0036833	10085.537097321	6.96628709040733	0.331346470159589	268.934722449199	1.93679439874633e-60	3.28092971147629e-57	871.426664489705	7.93810096464049	FBgn0036833		protein_coding	40069
FBti0102102	1973.57926935838	6.6574628404203	0.341580769985177	256.467687996713	1.01040554258729e-57	1.42635582428573e-54	11.7047880983966	0.141982785000166	FBti0102102		transposable_element	NA
FBgn0034710	2384.00177923993	-7.70392611757308	0.422365685445374	218.468449259306	1.95190669054725e-49	2.36180709556218e-46	0.680125718763385	159.583851207882	FBgn0034710	Alkaline phosphatase 7	protein_coding	37538
FBgn0052475	162.628711878859	-10.5707952514872	1.22681856526148	202.696180085851	5.38870288286368e-46	5.70528917723192e-43	0	6.22966124986724	FBgn0052475	methuselah-like 8	protein_coding	38013
FBgn0000473	452.727552695199	6.91765719033247	0.457761336997052	193.29795735973	6.06024089650321e-44	5.70336004370913e-41	27.4164710944229	0.308882588008034	FBgn0000473	Cytochrome P450 6a2	protein_coding	35587
FBgn0086611	113.211614965388	6.44390701859462	0.589184233980942	159.548035405303	1.42035859348126e-36	1.20304372867863e-33	27.1986407058474	0.394194357652035	FBgn0086611	Larval cuticle protein	protein_coding	59159
FBgn0043471	1189.56593381268	3.16815921339928	0.244598703285534	144.685622355337	2.51589324890635e-33	1.7758013181864e-30	123.623333324707	19.7639550699077	FBgn0043471	kappaTry	protein_coding	36215
FBgn0053127	1450.92807590816	3.36542352069682	0.257176267130888	144.761642911802	2.42143054675096e-33	1.7758013181864e-30	130.367523952712	19.568375526491	FBgn0053127		protein_coding	318893
FBgn0015568	2516.0074721785	2.68815376343106	0.211058575488951	144.120384166946	3.34403428366115e-33	2.17876695250845e-30	92.698792660431	19.2799885971165	FBgn0015568	alpha-Esterase-1	protein_coding	40909
FBti0019373	99.2050471651577	-9.85656440749157	1.2461550463722	136.664443041002	1.42785422555816e-31	8.63851806462688e-29	0	2.72826199315295	FBti0019373		transposable_element	NA
FBti0018869	714.190330234342	-4.81407090362275	0.366656420481708	135.300016829341	2.83865865883207e-31	1.60289592268718e-28	0.29998046714302	12.5795940553344	FBti0018869		transposable_element	NA
FBti0019588	108.975258519358	8.55888479291894	1.10050603257011	134.551051549754	4.13939675545851e-31	2.19129315742085e-28	3.31288392040658	0	FBti0019588		transposable_element	NA
FBgn0063495	199.687580440558	5.32650591270226	0.443656823593532	126.440080962227	2.46327880870806e-29	1.22729244175043e-26	29.9530232548194	1.08526629092971	FBgn0063495	Glutathione S transferase E5	protein_coding	37110
FBti0019115	317.159600357444	5.42710641313157	0.435456285355999	124.520193489892	6.48161697931582e-29	3.04996087860028e-26	3.16178647500788	0.0835186210609573	FBti0019115		transposable_element	NA
FBgn0261847	54.6122722997015	8.20932485581563	0.954798379538084	119.281840623147	9.08579067613056e-28	4.05034984351715e-25	48.9675225353976	0.177684499422411	FBgn0261847		protein_coding	10178912
FBgn0020643	228.000107072921	11.4824812005591	1.30118879770568	118.740016332743	1.19396345635098e-27	5.05643523764638e-25	106.009832711308	2.08209919371245e-06	FBgn0020643	Lcp65Ab2	protein_coding	48381
FBgn0033820	1706.44965070492	6.23082158754345	0.469734546008635	116.611286213995	3.49223185909937e-27	1.40853351650341e-24	281.005972296717	4.08921737889434	FBgn0033820		protein_coding	36471
FBgn0034335	591.609262679994	3.80947691123434	0.327573992479181	112.09311207892	3.40917271695255e-26	1.31253149602673e-23	69.017744444785	7.66793032215118	FBgn0034335	Glutathione S transferase E1	protein_coding	37106
FBgn0260475	111.135076119029	10.4548017582412	1.28560295952451	111.128069020838	5.54690579987505e-26	2.04270835325833e-23	6.90370671588537	0	FBgn0260475		protein_coding	246425
FBgn0037715	493.962041434799	2.83818297416693	0.260216779891473	106.603680860644	5.43721193691506e-25	1.7712763502181e-22	40.5997834835556	8.1373830035179	FBgn0037715		protein_coding	41157
FBgn0043470	722.802189436555	4.66531477929495	0.395650202011063	106.722657054207	5.12038996138632e-25	1.7712763502181e-22	75.8462298596937	3.96189510656273	FBgn0043470	lambdaTry	protein_coding	36214
FBgn0043575	29107.2180024541	3.39760187389159	0.29971599878267	106.652922755539	5.30377434085378e-25	1.7712763502181e-22	4629.17025863568	499.955652797599	FBgn0043575	Peptidoglycan recognition protein SC2	protein_coding	35862
FBgn0038098	2606.54904215711	2.71339236594306	0.249779387164929	104.395714933347	1.65688510001232e-24	5.19770992485345e-22	85.2630939301077	16.7752489241816	FBgn0038098		protein_coding	41589
FBgn0014368	2154.94664738039	5.28675832690936	0.435203544607506	104.311287315497	1.72901230603589e-24	5.23026222575856e-22	386.79551876401	13.2739975939472	FBgn0014368	no optic lobe	protein_coding	64867
FBgn0039769	2730.42801070995	6.96778305178578	0.541601694200907	101.688120097855	6.49889651241415e-24	1.89812598138441e-21	107.089286340962	0.870849561670041	FBgn0039769		protein_coding	43613
FBgn0012036	10407.9090212029	2.74516103459768	0.257481839862805	99.9023294913152	1.60100842094462e-23	4.5201804418003e-21	419.194274193616	84.4191125188847	FBgn0012036	Aldehyde dehydrogenase	protein_coding	34256
FBgn0051086	3266.96516881914	2.45745892997646	0.236800153648853	97.0860375753616	6.63793375843197e-23	1.81365480431996e-20	780.342795480132	180.728553394073	FBgn0051086		protein_coding	43179
FBgn0259818	1175.53047047608	4.50177220795779	0.400817241732519	96.4212782825332	9.28637353211579e-23	2.4579869942819e-20	12.7560087479029	1.05119892463282	FBgn0259818		protein_coding	33176
FBgn0038144	190.142258187227	6.13710119198336	0.577654376647671	95.8591600356976	1.23353953389183e-22	3.1660848036557e-20	8.85949644988454	0.24212256358717	FBgn0038144		protein_coding	41645
FBgn0002533	60096.3201101121	3.46283515833922	0.326579149214551	92.725873694673	6.00631836943274e-22	1.48634952430538e-19	13765.7482040288	1557.91246809688	FBgn0002533	Larval cuticle protein 2	protein_coding	35818
FBgn0051281	101.96771269525	6.16460524672515	0.650155905167195	92.6816831975448	6.14194018308009e-22	1.48634952430538e-19	6.25663559482071	0.0801245865693241	FBgn0051281	Transition protein-like 94D	protein_coding	318658
FBgn0035298	1088.71756719646	2.06499856721	0.207655248128533	92.2743819343216	7.54547640329145e-22	1.77528292044107e-19	45.5844065111024	15.4257432929965	FBgn0035298	Succinyl-CoA:3-ketoacid CoA transferase	protein_coding	38261
FBgn0038482	294.954802883353	3.18916083278721	0.31293381530881	92.0297617636908	8.53826840605222e-22	1.95457117295303e-19	29.6807190382667	4.29223301051165	FBgn0038482		protein_coding	42070
FBgn0037930	333.010812562162	3.59410953215429	0.348183759200646	91.1477669987689	1.3333381665397e-21	2.97194059752403e-19	51.1604016592247	6.79974012541299	FBgn0037930		protein_coding	41403
