baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionko	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0036833	11051.2810935643	7.09924539668572	0.252348710717764	485.043727608773	1.70707114237403e-107	1.50631957603084e-103	776.521030274379	7.93810096464049	FBgn0036833		protein_coding	40069
FBgn0052581	204.62972900172	11.3339563396583	1.2006838698104	409.240446098752	5.36367204822829e-91	2.36645210767832e-87	14.3830671911734	0	FBgn0052581	suppression of retinal degeneration disease 1 upon overexpression 2	protein_coding	318098
FBgn0034365	270.512591697304	-11.3084486350792	1.20056055739256	406.169751739057	2.49966945603438e-90	7.35236109334913e-87	0	28.6870653440948	FBgn0034365		protein_coding	37140
FBgn0053503	938.116755742968	13.5297717504391	1.22598846131341	347.419063118423	1.54589872728853e-77	3.41025259239849e-74	44.6103947803616	0	FBgn0053503	Cytochrome P450 12d1 distal	protein_coding	2768720
FBgn0004427	9930.8773823464	10.9969457038392	0.470439612577573	308.324130428652	5.06179718852164e-69	8.93305967830299e-66	2422.97151235231	2.08158272776842	FBgn0004427	Lysozyme D	protein_coding	38127
FBgn0034366	333.641560644489	-11.6104437139641	1.222839172745	266.968454994669	5.19558985802554e-60	7.64098081786956e-57	0	15.3937518867408	FBgn0034366	Autophagy-related 7	protein_coding	37141
FBgn0003082	422.346061059443	-2.8859814408866	0.18294440010344	238.457383483198	8.53236077326508e-54	9.41119393291138e-51	2.57170044939876	27.2691437616657	FBgn0003082	photorepair	protein_coding	35735
FBgn0025814	2204.23732038992	2.95940816862284	0.179194931083711	238.720973174917	7.47469549867035e-54	9.41119393291138e-51	403.522180870705	64.8134006155838	FBgn0025814	Microsomal glutathione S-transferase-like	protein_coding	44110
FBti0019898	499.722529700197	-12.1934442317278	1.23757554001931	238.125311939744	1.00803995882605e-53	9.88327177409005e-51	0	8.28959096698767	FBti0019898		transposable_element	NA
FBgn0033327	7242.85798049327	6.44627561972387	0.333482914099239	237.86360450402	1.14959168240602e-53	1.01439970055507e-50	1553.01301537509	25.9725370972291	FBgn0033327	Peptidoglycan recognition protein SC1b	protein_coding	35861
FBgn0030593	4445.4767631449	3.92469918573563	0.243484931062002	207.23922941191	5.49801945891306e-47	4.04287697545407e-44	150.217840341944	16.464362528645	FBgn0030593		protein_coding	32419
FBgn0034335	736.556475695148	4.14624307742717	0.261498854366014	207.249155755689	5.47066966738316e-47	4.04287697545407e-44	95.5503291190211	7.66793032215118	FBgn0034335	Glutathione S transferase E1	protein_coding	37106
FBgn0052521	1905.83621624747	-2.30861232185446	0.157041050260103	199.141299162254	3.21530079627168e-45	2.18244724817703e-42	14.6591796493467	108.825825574649	FBgn0052521	Membrane-bound Notch regulator	protein_coding	33098
FBgn0034899	1551.17882231112	-7.25706225821303	0.429487065205286	198.140703017047	5.31595594127674e-45	3.350571087559e-42	1.95192078372408	455.237200702025	FBgn0034899		protein_coding	37758
