	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_id	gene_name	biotype	description2	medianTPM_WT	medianTPM_HET
ENSMUSG00000034459	861.337482431816	2.557691747714	0.228476038227983	121.377074850351	3.15985835596995e-28	3.68945061643051e-24	ENSMUSG00000034459	Ifit1	protein_coding	interferon-induced protein with tetratricopeptide repeats 1	4.49331125823559	26.602872546615
ENSMUSG00000030107	408.423061245897	2.69189636270908	0.281840225519306	88.1476105342167	6.07477161155366e-21	3.54645166682502e-17	ENSMUSG00000030107	Usp18	protein_coding	ubiquitin specific peptidase 18	3.39115320377305	20.7566425299863
ENSMUSG00000029561	2163.5032977826	1.83917478894481	0.196920861454812	86.8624397111509	1.1633796557439e-20	4.52787362015528e-17	ENSMUSG00000029561	Oasl2	protein_coding	2'-5' oligoadenylate synthetase-like 2	25.5361423978708	95.8614406393501
ENSMUSG00000027514	533.584875230496	2.27276184190115	0.244791458954932	84.8053444014153	3.29233238709458e-20	9.61031823792908e-17	ENSMUSG00000027514	Zbp1	protein_coding	Z-DNA binding protein 1	7.42416255034362	39.7410897161218
ENSMUSG00000022510	235.78089031757	3.86064735971963	0.427510248404848	74.4220442406936	6.30806671252309e-18	1.47305973870839e-14	ENSMUSG00000022510	Trp63	protein_coding	transformation related protein 63	0.599321294892949	6.02211566518149
ENSMUSG00000033355	976.773717944063	2.08850978848557	0.256113133143186	65.6488715326315	5.38858200998999e-16	9.51991467313342e-13	ENSMUSG00000033355	Rtp4	protein_coding	receptor transporter protein 4	17.4339927437581	72.4390419934036
ENSMUSG00000060802	19700.0366851531	1.05774352766855	0.131495390508248	65.5355928854902	5.707382897562e-16	9.51991467313342e-13	ENSMUSG00000060802	B2m	protein_coding	beta-2 microglobulin	795.812054854722	1713.57552147937
ENSMUSG00000064356	16331.8109193842	1.74615607637294	0.226759396770583	59.1717094490859	1.44496373565924e-14	1.87459961972859e-11	ENSMUSG00000064356	mt-Atp8	protein_coding	mitochondrially encoded ATP synthase 8	5080.155143225	14824.4334666832
ENSMUSG00000046718	2507.59697076212	1.49409945558609	0.195180897207878	58.9429084800225	1.6231377729161e-14	1.89517566365684e-11	ENSMUSG00000046718	Bst2	protein_coding	bone marrow stromal cell antigen 2	91.3742130107303	287.865627854085
ENSMUSG00000061232	11480.8235212301	1.14999004999448	0.158594568510087	53.2006210823473	3.01163560852558e-13	3.05232537858758e-10	ENSMUSG00000061232	H2-K1	protein_coding	histocompatibility 2, K1, K region	384.181468416903	866.800871542177
ENSMUSG00000091345	1769.41963619234	-1.56423247625006	0.205343052008074	53.1204931713845	3.13702505507459e-13	3.05232537858758e-10	ENSMUSG00000091345	Col6a5	protein_coding	collagen, type VI, alpha 5	15.9920120875378	5.84828957783935
ENSMUSG00000070327	4235.55188000885	1.33327201931894	0.1846499192265	52.6106321777337	4.06681628055926e-13	3.65262668398538e-10	ENSMUSG00000070327	Rnf213	protein_coding	ring finger protein 213	21.7435416852485	54.0427896699254
ENSMUSG00000047139	538.303171507683	1.60924135850687	0.225505586486364	51.1820671321417	8.41841769227735e-13	7.02096035535931e-10	ENSMUSG00000047139	Cd24a	protein_coding	CD24a antigen	7.79092222360138	19.8254481575344
