Particular to HOM	Particular to VGA	Particular to both
H19	Slfn4	Klf4
Ccnd2	Tspan32	Emb
Itgb2	Cdh1	Vdr
Clec10a	Ckmt1	Trp63
Peg3	Mx1	Serinc2
Plin4	Cd52	Slc16a3
Dio2	Oas1c	Urah
Cd163	Lsr	Slc40a1
Retn	Irx2	Ptprc
Prrt1	Rapsn	Pkp1
Vtn	Ly9	Selp
Scrn1	Mapk13	Spint1
Pdk4	Hspb1	Siglec1
Kera	Nectin4	Plbd1
Pcbd1	Rab25	Cidec
Adcy1	Tbx1	Hp
Krt19	Cybb	Trim29
Plcd3	Cd48	Dpyd
Ogn	Fcgr1	Asprv1
Drd1	Wnt11	Ly6d
Npr3	Cd274	Vax2
Lypd2	Tns4	Lars2
Cd200r1	Dhx58	Krt80
Adipoq	Perp	Tcfl5
Grik1	Crybg1	Igfbp2
Igfbp6	Stc2	Mreg
Cd4	Myo1g	Saa3
Cacna1h	Lratd1	Apoc1
Syt4	Cmpk2	Ppp1r13l
C2	Rsad2	S100a14
Spink1	Coch	Ifi209
Rab27b	Plek2	Zfp758
Lox	F2rl1	Krt14
Ms4a6b	Rnase6	Ccr2
Ms4a6d	Gpr65	Sorl1
Msr1	Anxa8	Fam110d
Cyp2e1	Epsti1	Sprr1a
Cdk15	Hr	Lgals7
Rgs16	Endou	Krt16
Ccdc3	Mx2	Pkp3
Myoc	C3	Dsp
Lhx6	Ltb	Krt6a
Pck1	Cd74	C1qtnf3
Kcnq5	Ms4a4c	Dmkn
Depdc1a	Aldh1a7	mt-Atp8
Tacr1	Col17a1	Zfp991
Slc6a13	Padi4	Col6a5
Plin1	Irf7	Rmrp
Dgat2	Eps8l2	Gm7072
Itgam	Myo5b	
Vegfd	Ifih1	
Cd209d	Zbp1	
Slit2	Ptpn22	
Col12a1	Lef1	
Apol6	Ifi44	
Lif	Efna3	
Cd300a	Gbp3	
Plvap	Aqp3	
Igsf6	Pla2g2f	
Arhgap5	Casz1	
Mid1	Plch2	
Krt17	Plac8	
Marchf1	Oasl2	
Itih2	Oas1b	
Tmc3	Gpnmb	
Ccdc68	Tgfa	
Orm1	Usp18	
Gpr176	Tuba8	
Cacng5	Klrk1	
Tlr8	Klrd1	
Dlk1	Klk7	
Ramp3	Itgax	
Dnah7b	Trim30a	
Syt15	St14	
Rgs8	Barx2	
Nmnat2	Elovl4	
Fam25c	Zic1	
Adig	Oas3	
Chrm3	Oas2	
Stxbp6	Rtp4	
Ticrr	Lgals3bp	
Nr1h4	Fhod3	
Igf2	Gbp8	
Fam167b	Ifit1	
Vwc2	Art3	
Wfdc21	Cxcl10	
Lrrc15	Ccl5	
Cysltr1	Fam167a	
Gas1	Egln3	
Cyp2f2	Slfn8	
Dpep2	Cdcp1	
Krt15	Isg15	
Stfa3	H2-Aa	
Synpr	Ifi206	
Krtap7-1	Ddx60	
Cfi	Wnk2	
9630013D21Rik	Rapgefl1	
Ifitm6	Rnf144b	
Pde1a	Atg9b	
Krtap8-1	Rassf7	
0610040J01Rik	Ctss	
Krt79	Gimap3	
Krt5	Ppl	
Cfd	Maob	
Ftl1-ps1	Xaf1	
Gm49339	C3ar1	
Sox11	Klc3	
Cnfn	Shtn1	
Fxyd6	Lad1	
Serpinb5	Oasl1	
Pi15	Gjb3	
Sprr2a2	Fam83g	
Cd300ld4	Psapl1	
Ccnd1	Mdga1	
Ccnb1ip1	Phf11a	
Cstdc5	Epcam	
Krtdap	Gvin1	
Zfp808	Sbsn	
F630028O10Rik	Bst2	
Zfp965	Cd24a	
Tgtp1	Sfn	
Ms4a6c	Cldn4	
Tceal7	Sned1	
B230206L02Rik	Selplg	
Tnnc1	Lgals3	
D130058E05Rik	Fhip1a	
Gm47283	Oas1a	
Pvt1	Clec12a	
Gm28967	H2-T24	
2600014E21Rik	Iigp1	
Ms4a4a	Fgfr3	
Snrpn	H2-Q5	
2310046K23Rik	Glipr1	
A230001M10Rik	Apol9a	
Gm47136	Trim30d	
Lilrb4b	Fcgr4	
Lilrb4a	H2-Q7	
Gm48427	B2m	
Gm50139	Cdh3	
ENSMUSG00000120082	H2-K1	
	Ifit3b	
	Ifi208	
	Oas1g	
	Phf11d	
	Apol9b	
	Ank3	
	Fbp1	
	Sp110	
	Rnf213	
	Slfn2	
	H2-Q6	
	H2-Ab1	
	Ifi213	
	Gm4951	
	Ifit3	
	Ly6a	
	Ass1	
	Trbc1	
	Trbc2	
	Zfp984	
	Zfp268	
	Slfn1	
	Igtp	
	Gm14322	
	Gm2026	
	Ifi47	
	Tgtp2	
	Ifi27l2a	
	Ccr5	
	Clec7a	
	Esrp2	
	Phf11b	
	Ly6g6c	
	Evi2b	
	BC147527	
	Psmb9	
	Gbp6	
	Gbp5	
	Gm56730	
	ENSMUSG00000121501	
