Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment
SRR24197676,RNA-Seq,276,10759270304,PRJNA956567,SAMN34226756,3478245489,A-673 (RRID:CVCL_0080),ewing sarcoma,"UMR1307 - CHILD, NANTES UNIVERSITY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19994464,NextSeq 500,GSM7180315,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-04T00:00:00Z,2023-04-17T22:33:00Z,1,GSM7180315,cell line,SRP433058,cell line,doxycyxline added
SRR24197677,RNA-Seq,278,8939073458,PRJNA956567,SAMN34226757,2853638452,A-673 (RRID:CVCL_0080),ewing sarcoma,"UMR1307 - CHILD, NANTES UNIVERSITY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19994463,NextSeq 500,GSM7180314,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-04T00:00:00Z,2023-04-17T22:28:00Z,1,GSM7180314,cell line,SRP433058,cell line,doxycyxline added
SRR24197678,RNA-Seq,268,10130964730,PRJNA956567,SAMN34226758,3242641919,A-673 (RRID:CVCL_0080),ewing sarcoma,"UMR1307 - CHILD, NANTES UNIVERSITY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19994462,NextSeq 500,GSM7180313,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-04T00:00:00Z,2023-04-17T22:32:00Z,1,GSM7180313,cell line,SRP433058,cell line,doxycyxline added
SRR24197679,RNA-Seq,278,10080652631,PRJNA956567,SAMN34226759,3232755233,A-673 (RRID:CVCL_0080),ewing sarcoma,"UMR1307 - CHILD, NANTES UNIVERSITY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19994461,NextSeq 500,GSM7180312,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-04T00:00:00Z,2023-04-17T22:32:00Z,1,GSM7180312,cell line,SRP433058,cell line,doxycyxline not added
SRR24197680,RNA-Seq,270,7926605486,PRJNA956567,SAMN34226760,2664832514,A-673 (RRID:CVCL_0080),ewing sarcoma,"UMR1307 - CHILD, NANTES UNIVERSITY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19994460,NextSeq 500,GSM7180311,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-04T00:00:00Z,2023-04-17T22:30:00Z,1,GSM7180311,cell line,SRP433058,cell line,doxycyxline not added
SRR24197681,RNA-Seq,270,8317094432,PRJNA956567,SAMN34226761,2795340928,A-673 (RRID:CVCL_0080),ewing sarcoma,"UMR1307 - CHILD, NANTES UNIVERSITY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19994459,NextSeq 500,GSM7180310,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-04T00:00:00Z,2023-04-17T22:32:00Z,1,GSM7180310,cell line,SRP433058,cell line,doxycyxline not added
SRR24197682,RNA-Seq,84,2667455616,PRJNA956567,SAMN34226762,954763342,U2OS (RRID:CVCL_0042),osteosarcoma,"UMR1307 - CHILD, NANTES UNIVERSITY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19994458,NextSeq 500,GSM7180309,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-04T00:00:00Z,2023-04-17T22:26:00Z,1,GSM7180309,cell line,SRP433058,cell line,
SRR24197683,RNA-Seq,84,2650068624,PRJNA956567,SAMN34226763,946730765,U2OS (RRID:CVCL_0042),osteosarcoma,"UMR1307 - CHILD, NANTES UNIVERSITY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19994457,NextSeq 500,GSM7180308,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-04T00:00:00Z,2023-04-17T22:26:00Z,1,GSM7180308,cell line,SRP433058,cell line,
SRR24197684,RNA-Seq,84,3015182772,PRJNA956567,SAMN34226764,1079652601,U2OS (RRID:CVCL_0042),osteosarcoma,"UMR1307 - CHILD, NANTES UNIVERSITY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19994456,NextSeq 500,GSM7180307,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-04T00:00:00Z,2023-04-17T22:28:00Z,1,GSM7180307,cell line,SRP433058,cell line,
SRR24197685,RNA-Seq,84,2812623156,PRJNA956567,SAMN34226765,1014181980,SaOS-2 (RRID:CVCL_0548),osteosarcoma,"UMR1307 - CHILD, NANTES UNIVERSITY",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19994455,NextSeq 500,GSM7180306,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-04T00:00:00Z,2023-04-17T22:28:00Z,1,GSM7180306,cell line,SRP433058,cell line,
