gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000163286.9	ENSG00000163286.9	1681.95410797449	-3.02490690301964	0.078889503235064	1444.00371755574	5.76013256250586e-316	8.5981498760525e-312	-3.02064607358184	2642.32495907708	81.8402905218808	10.1642090596261
ENSG00000019582.17	ENSG00000019582.17	1677.22519483375	3.27348180104398	0.0908695291697309	1245.34228244413	8.53703346341086e-273	6.3716149254167e-269	3.2685573081549	-2635.32411586587	18.3039747971306	170.125524499662
ENSG00000163220.11	ENSG00000163220.11	1497.94683514098	2.1150002416927	0.0772710921414885	733.950044986886	1.23962357082273e-161	6.16795368055697e-158	2.10950190846215	-1842.70272698541	110.19409010304	489.903983180075
ENSG00000073737.17	ENSG00000073737.17	517.889072179247	-3.29258086430969	0.144848122193693	512.854330451457	1.51774024699957e-113	5.66382716674064e-110	-3.27970324074466	829.846649798441	42.7534437051458	4.88273179298117
ENSG00000147027.4	ENSG00000147027.4	2764.44134610193	1.37488501648678	0.0615806280243854	489.695578640958	1.65978096024543e-108	4.9551100787167e-105	1.36976612814794	-2484.50378038816	24.4545645845407	65.5994597663167
ENSG00000116251.11	ENSG00000116251.11	4108.30421937353	1.52983759291075	0.0693556850089608	470.638879559239	2.32671963343016e-104	5.78849066136866e-101	1.52378284290506	-3873.39476941153	164.053473351334	478.152337936266
ENSG00000117525.14	ENSG00000117525.14	2107.24824986174	-1.52084205025784	0.0759029741225687	391.212432421138	4.50744351587376e-87	9.61180133734966e-84	-1.51334316664864	2066.02012956564	98.9210978076363	35.112478120267
ENSG00000118849.10	ENSG00000118849.10	1761.55611108344	1.70405284195453	0.0872885827477471	369.326612589803	2.62308142912366e-82	4.89434206156611e-79	1.69523609907471	-1906.93116091269	38.9451051517812	129.730360710971
ENSG00000160185.15	ENSG00000160185.15	149.14561531398	5.86780247274215	0.440495622515021	345.198001455968	4.70829003894823e-77	7.80896060126447e-74	5.80313359836645	-290.27933944198	0.13638790548512	9.20040533247059
ENSG00000164659.15	ENSG00000164659.15	279.533117293095	-3.02417492299618	0.171712797783753	326.299727040271	6.14787933205372e-73	8.34267225359689e-70	-3.00466828800393	436.454424939856	12.6193648750224	1.59980276837168
ENSG00000165272.16	ENSG00000165272.16	599.068737445422	1.97395459352478	0.111174783649911	312.630191864847	5.83798231394379e-70	7.26196350001991e-67	1.9616399940818	-713.395930482053	9.54931980362934	38.4819836348735
ENSG00000167779.9	ENSG00000167779.9	1150.78969572611	-1.45744760444315	0.0823470972675719	309.044418618866	3.52689624288359e-69	4.04969078596333e-66	-1.44835007976952	1063.98384341597	159.384225368966	57.5941276733622
ENSG00000134954.14	ENSG00000134954.14	1737.82796465741	-1.21619377969275	0.0743580305879005	263.748103461224	2.61541803170677e-59	2.44002155995543e-56	-1.20741612989289	1350.03386334129	32.0942548597066	13.427889285389
ENSG00000204287.14	ENSG00000204287.14	670.998874871958	1.70853336629907	0.110933625154422	233.496016339943	1.03025360538485e-52	7.68929778378982e-50	1.69449275945329	-732.545786486826	19.3762616703108	65.387926488832
ENSG00000163283.7	ENSG00000163283.7	254.710689363408	-2.53109769719111	0.166873401909057	232.266719551519	1.9099374939578e-52	1.3576017605861e-49	-2.50897376080087	353.332265709197	11.2287988498	1.91089840904932
ENSG00000107984.10	ENSG00000107984.10	1376.12528185118	-1.23950744121604	0.0811643095960375	229.883113591516	6.32169572912313e-52	4.28927055221004e-49	-1.22886296054621	1140.46706225081	98.8300932568591	41.0753726669163
ENSG00000122861.16	ENSG00000122861.16	1723.70971073417	-1.20659673805521	0.0796406181759215	226.029307165143	4.37841228462715e-51	2.84158957272302e-48	-1.19644594085735	1356.73422998385	72.33488275351	30.8519965028927
ENSG00000272602.6	ENSG00000272602.6	648.798739547212	1.68823456211792	0.111744222827633	224.149854857531	1.12520568730332e-50	6.99831053932358e-48	1.67383079924097	-670.837848212603	19.6578443140052	63.1888687788296
ENSG00000173175.16	ENSG00000173175.16	1421.2140472855	1.41415799886156	0.0938497589763247	222.125625821247	3.10985610324953e-50	1.85683288212823e-47	1.40213165699461	-1184.73583595964	9.89607233445202	25.4968632614563
ENSG00000231574.7	ENSG00000231574.7	503.462039069324	2.03543266235179	0.138080523131886	211.98296010849	5.07282128912455e-48	2.70435726367008e-45	2.01703092244012	-615.127565142441	6.02089439484428	26.3910876155441
ENSG00000092929.13	ENSG00000092929.13	1147.81225999158	-1.18625509390817	0.0833892242517678	200.444161865006	1.67073035045063e-45	8.04483611005696e-43	-1.17496093308949	859.526643694978	41.6033509112789	19.2703605103623
ENSG00000131771.14	ENSG00000131771.14	3247.95384279722	1.05066348651817	0.073903337259583	198.96117057093	3.51990232653854e-45	1.59216915237093e-42	1.04103627879636	-2278.00914694583	90.764521503586	191.410994628608
ENSG00000109321.11	ENSG00000109321.11	1015.59765435411	-1.45086865564737	0.101995442575978	198.220757078504	5.10635497955756e-45	2.24184002293693e-42	-1.43672747679896	882.645037827426	90.3527175565682	34.3255882806604
ENSG00000114353.17	ENSG00000114353.17	1674.91693659963	-1.07196998102351	0.0758729823505606	197.365338705311	7.84860731176824e-45	3.34731889550756e-42	-1.06174199615219	1205.01654818131	76.9503321795954	37.6726863397908
ENSG00000175592.9	ENSG00000175592.9	913.515830899928	-1.33721608009504	0.0957346590196045	192.520320238668	8.95814605980252e-44	3.61400665499114e-41	-1.32389112606943	832.660169952103	62.3850832470237	24.4309192500053
ENSG00000169248.13	ENSG00000169248.13	1152.50591775205	-1.14605778415976	0.0838329115962591	185.089301355746	3.75234497275484e-42	1.33360127162647e-39	-1.1342749125398	896.668610732214	79.9956864820875	35.7587357821448
ENSG00000125999.11	ENSG00000125999.11	521.427302347324	1.5184939074439	0.112426010870361	181.38082844232	2.42067046949877e-41	8.40310420888561e-39	1.50233313132897	-485.522728297731	11.9602843797385	34.6552320766818
ENSG00000008517.19	ENSG00000008517.19	944.176123406569	-1.20676286873364	0.0904571259846724	176.160077151234	3.34102943303605e-40	1.13344423515748e-37	-1.1936204036571	764.119939163817	128.028655688514	57.6286997363603
