gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000000003.15	ENSG00000000003.15	727.472040746176	-0.217761145393104	0.106783506025994	4.15562510120535	0.0414964543965435	0.315444139416979	-0.0921523811769984	-157.035929340114	15.7761885275356	17.9420811409165
ENSG00000000419.14	ENSG00000000419.14	3172.18019309632	-0.00464103713251415	0.0656559597777283	0.00506968676847919	0.943237202261685	0.983857271656656	-0.00225104957510676	157.35405166491	262.268938323068	248.906324659803
ENSG00000000457.14	ENSG00000000457.14	231.326136416601	-0.0229457802399772	0.155145209275441	0.0218769231217664	0.882414983300517	0.971139771845666	-0.00337066094476278	1.15862539174188	4.88403337740446	4.80275663954714
ENSG00000000460.17	ENSG00000000460.17	351.54926020532	0.141025370222302	0.150638023611768	0.876420851538484	0.349183856795748	0.743923168316318	0.0236444262604914	-10.7272405825967	11.1664557721932	10.878007585467
ENSG00000000971.17	ENSG00000000971.17	510.130267950075	-0.0348782477321879	0.144991605402146	0.059513971261083	0.807265784180331	0.950456336195249	-0.00575845342289295	54.5589128866308	15.0835961773881	12.9468081285083
ENSG00000001036.14	ENSG00000001036.14	1949.02544606719	0.0259548830435087	0.0672669357064826	0.148984951541152	0.699507268165125	0.912672398411792	0.0126796907172108	12.8243286784877	62.118043595477	57.9030995245153
ENSG00000001084.13	ENSG00000001084.13	1783.92566293716	0.12797632471888	0.100074581623473	1.63438014821138	0.201098281357388	0.612713205671207	0.0431288017523884	171.742811181017	46.9482938870695	42.3403820497079
ENSG00000001167.15	ENSG00000001167.15	481.571058602083	-0.0385929339384204	0.116466848272057	0.109812164125479	0.740358085653432	0.926752892831341	-0.007580974370881	-26.8105500150323	8.533600026389	8.52072700767925
ENSG00000001460.18	ENSG00000001460.18	228.917531995544	0.0477173493083913	0.157975525314901	0.0912365705283165	0.76261095924999	0.933468165899924	0.00984782812347551	2.59452226698619	7.81080823254189	7.16333877531273
ENSG00000001461.17	ENSG00000001461.17	986.999610086601	-0.0543612477608792	0.0935404869941126	0.337865710528703	0.561063772527776	0.858379651560565	-0.0179260822223033	-52.8247444503428	14.2293906651182	14.985203475498
ENSG00000001497.18	ENSG00000001497.18	938.569194811501	-0.0463268006757027	0.0862117507383975	0.2887393273584	0.591029533744869	0.873988410772404	-0.0165348119669028	-10.2690797054865	29.7714835576643	29.5436229786515
ENSG00000001561.7	ENSG00000001561.7	857.516353224427	0.0848359734884539	0.0942591764912655	0.8099548485594	0.368133600066188	0.757023139738347	0.0289708407718803	68.5333676864233	13.2368679852741	11.8950692412602
ENSG00000001617.12	ENSG00000001617.12	64.7120793056457	-0.124116278259717	0.315164218231524	0.159066078565985	0.690017814798293	NA	-0.00496042163895864	-9.92858796276718	1.51131381405667	1.68791007152499
ENSG00000001626.18	ENSG00000001626.18	744.32718664697	-0.0482903213792652	0.110988812392696	0.19030868021494	0.662659829773719	0.901779604790456	-0.0124246510433398	-65.016959112766	9.71882807226669	9.95671822418155
ENSG00000001629.10	ENSG00000001629.10	3571.47321073628	0.105999429766524	0.0693627217571241	2.33477938221935	0.126512913127313	0.514460928812117	0.0598519139795613	306.042104407752	45.7028242789434	38.4905673681887
ENSG00000001630.18	ENSG00000001630.18	8893.28333668875	0.0251603722285375	0.0521843194314855	0.232455603101883	0.629708983534256	0.890561515088003	0.0155717743930733	169.135376167946	247.535843737663	225.167464445373
ENSG00000001631.17	ENSG00000001631.17	1239.43005149018	0.238443392595154	0.0917964671435236	6.7428048743139	0.00941265194860943	0.143415826577801	0.158763602418546	145.148958540712	28.008525974864	23.3543192715304
ENSG00000002016.18	ENSG00000002016.18	138.010302196929	0.180731994351761	0.295815830822088	0.373562618289647	0.541068711385962	NA	0.00831304442870263	40.5348416794641	7.52284346349533	5.16473456441848
ENSG00000002330.14	ENSG00000002330.14	411.092697552105	-0.120314259655373	0.125900972004392	0.91304523644385	0.339307716922685	0.736214234911638	-0.0267123470376278	-45.0352333214633	39.0918600585375	40.0377592258028
ENSG00000002549.13	ENSG00000002549.13	1318.99910537721	-0.0112725628816985	0.0806517560619855	0.0196348283202639	0.888561756374117	0.972515470510766	-0.00438517189589257	-30.4630984749879	51.8270805544883	49.6634279616456
ENSG00000002586.20	ENSG00000002586.20	361.078065773326	-0.147379729916935	0.130904548039783	1.26713342198985	0.260305137583868	0.664330149836614	-0.0314493000061605	-48.4719120389859	26.5767879358388	28.1083103653106
ENSG00000002587.10	ENSG00000002587.10	1042.86553403361	-0.213226820846846	0.127465157305709	2.79470571070939	0.0945761289613507	0.459295838321197	-0.0558716074935057	-166.851648239277	15.7460288608339	18.3461324556591
ENSG00000002726.21	ENSG00000002726.21	412.378466670957	-0.22682821463852	0.119877224490642	3.5786142468247	0.0585279557722262	0.366804947018643	-0.0730982990466709	-60.8926746795764	10.7814774968996	12.2536395655072
ENSG00000002745.13	ENSG00000002745.13	17.2016014911577	-0.02721069163188	0.581735540404767	0.00316617074030745	0.95512772378661	NA	-0.000314371308331512	0.360081273461502	0.49975893297241	0.448486461294602
ENSG00000002746.15	ENSG00000002746.15	61.9073675471559	-0.305271458360519	0.33135672531912	0.84703164691161	0.357393428954118	NA	-0.0112484829318312	-7.85761617219242	3.32277955949464	3.73728419989486
ENSG00000002822.16	ENSG00000002822.16	408.126415821057	-0.00826591010467265	0.137719854553068	0.00445253826320169	0.946798766494198	0.98444895469513	-0.00145755689239614	19.8760565726099	15.2193441564794	13.7249518320002
ENSG00000002834.18	ENSG00000002834.18	18603.374939021	-0.0821462415430858	0.0463755312172011	3.13716765080309	0.0765265947085583	0.418382050126358	-0.0591444927565454	-1089.60988983508	324.300945932811	328.500659853255
ENSG00000002919.15	ENSG00000002919.15	1086.0958939863	-0.0597815068829625	0.098878736256561	0.365594435323572	0.545415526734491	0.85120667235891	-0.0182007640840687	-53.8887424498403	40.0775619593572	40.2107239061322
ENSG00000002933.9	ENSG00000002933.9	150.716526007481	-0.377470611703477	0.199974193108569	3.55995607201643	0.0591893052333948	0.369055299159529	-0.0423612887276405	-28.3011437255027	10.1150723712724	12.0996549504417
