gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000000003.15	ENSG00000000003.15	1041.04829511126	-0.00407744355964247	0.100668273700198	0.0016425734761043	0.967671646680703	0.985718965633418	-0.00216898004877567	8.53071988119495	20.3491216995475	21.1251592473927
ENSG00000000419.14	ENSG00000000419.14	2963.49656691795	0.0422960049944574	0.105798665144391	0.159826056979114	0.689316712346727	0.870159290770025	0.0221226286450204	257.47815233254	238.207842663769	225.100592145426
ENSG00000000457.14	ENSG00000000457.14	526.685464732611	0.103970382585155	0.123532276407542	0.708178736622202	0.40004909099869	0.691929207695112	0.0484550163423913	37.665213033934	11.4956625659446	10.7269720807919
ENSG00000000460.17	ENSG00000000460.17	519.310122820969	-0.196963361273141	0.125528837233165	2.45981482576934	0.116792550047852	0.384299957785614	-0.104188289960798	-63.091442958259	14.9868447763333	17.2330002407017
ENSG00000000971.17	ENSG00000000971.17	509.621300841325	0.314299601390036	0.129519826564666	5.88259590516251	0.0152912609019312	0.119355371570304	0.211954804221761	103.727498208695	14.4450011609412	11.7024955925489
ENSG00000001036.14	ENSG00000001036.14	1882.11582530789	-0.0664545698968846	0.0828900055381891	0.642654372292085	0.422751241862014	0.709250016208438	-0.0438394074253137	-72.9363102214268	54.0882122874104	56.8120201201011
ENSG00000001084.13	ENSG00000001084.13	862.204398643112	0.0284751936991061	0.109704241525246	0.0673957098725424	0.795167061868484	0.924866206378552	0.0144766171570724	16.96216967052	19.4457414600315	20.125199672504
ENSG00000001167.15	ENSG00000001167.15	502.822696813162	-0.216446239066709	0.128544559418881	2.83283498167928	0.092355195639656	0.34047620335597	-0.115337011974904	-113.037586249228	7.22377644682367	9.14853780398142
ENSG00000001460.18	ENSG00000001460.18	245.296751335061	0.0396187278078861	0.165441069070504	0.0573522705109397	0.810730812816601	0.93147875057883	0.0123592838926621	20.7654808948283	8.65317195238309	7.83638255402493
ENSG00000001461.17	ENSG00000001461.17	794.712725769715	-0.0980542964854468	0.115874960327548	0.715869640512878	0.397502093075082	0.690052237705556	-0.0491793234633661	-13.4692727607486	11.5939167477992	11.5309019489792
ENSG00000001497.18	ENSG00000001497.18	780.173368554502	0.0881983424294255	0.105802268752554	0.694853379746803	0.404518455965044	0.69593806609199	0.050891242612799	19.3133334067518	24.4905233893621	23.7349289470465
ENSG00000001561.7	ENSG00000001561.7	823.818136428817	-0.121199488240065	0.119436699383057	1.02932759136117	0.310316649445202	0.616842528825922	-0.0602875692577118	-44.8238627346889	11.1526660340785	11.7827783576249
ENSG00000001617.12	ENSG00000001617.12	126.353708526423	-0.411872363864378	0.222412909489671	3.42452873145804	0.0642345741815491	0.277292657004801	-0.111806154826145	-30.393205844709	2.60441877876273	3.29093530676002
ENSG00000001626.18	ENSG00000001626.18	446.3618680184	0.157809488990858	0.162747233748036	0.939853696967219	0.332315469891621	0.636984944828778	0.053784592504717	83.6207704193272	6.7748305087417	5.51656296895257
