gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000143384.14	ENSG00000143384.14	15627.582233822	1.1034123894885	0.0466378162185048	548.470562691655	2.70835579746546e-121	3.59398814323667e-117	1.09973803756264	11336.5859110908	378.263264542407	171.655991955976
ENSG00000164761.9	ENSG00000164761.9	6273.61870785877	1.27107271191254	0.0551134187852575	519.85497448889	4.55086674944823e-115	3.0195000882589e-111	1.26652121962077	5178.33094768886	320.118938477502	126.733750851142
ENSG00000138434.17	ENSG00000138434.17	22059.7881759811	1.05641730910074	0.0460816078327697	515.357134908668	4.33178914143934e-114	1.91609473023e-110	1.05271547740734	15232.4337248185	426.270260681057	198.815890259843
ENSG00000180398.13	ENSG00000180398.13	9838.9117841827	1.25508038375231	0.0551717292233756	504.510153379362	9.923403895173e-112	3.29208924222364e-108	1.25074655674517	8089.10964004383	260.094244297024	104.048602749814
ENSG00000149948.14	ENSG00000149948.14	5567.75699471518	1.23845963477191	0.0612769882714624	399.501648105562	7.07000566451981e-89	1.87637950336356e-85	1.23295548182406	4358.63955116473	145.272564413512	60.464445288029
ENSG00000141458.13	ENSG00000141458.13	4052.55945470574	-1.14722691403454	0.058019577322801	384.442944886571	1.34176639260736e-85	2.96754000498328e-82	-1.14156332542485	-3073.10022854317	50.2913862476411	108.158041485083
ENSG00000138623.10	ENSG00000138623.10	5496.6693174538	1.07753784351652	0.0578856891228761	340.790706842797	4.29209474381394e-76	6.32845525004567e-73	1.07170441382495	4020.85039961436	167.226118130739	77.2809758787768
ENSG00000198074.10	ENSG00000198074.10	3585.62775321694	-1.06087185784441	0.0651462265198039	261.174456115221	9.5173256985497e-59	7.89343200123466e-56	-1.05135395199081	-2572.82949683156	113.512670916237	229.140005611288
ENSG00000259207.10	ENSG00000259207.10	1925.55337027432	1.0391087955613	0.0659908390999439	245.923624476283	2.0098101056087e-55	1.56883412361338e-52	1.03137266696807	1323.34973978879	31.2203909421494	15.1222004878761
ENSG00000143248.13	ENSG00000143248.13	1671.59362740187	1.22724382161255	0.0801445672916149	231.036036254452	3.54325587364947e-52	2.35095027216643e-49	1.21726400404445	1410.87053306406	111.438815887192	45.4001992171768
ENSG00000187908.20	ENSG00000187908.20	394.336120234685	2.63800745709915	0.175841942586141	215.568098053362	8.37796000518115e-49	4.83371866385886e-46	2.61481885948824	552.743641469647	9.6051558139135	1.5686409197674
ENSG00000128951.14	ENSG00000128951.14	1659.92837430055	-1.09479491015072	0.0757431598116149	206.414868156841	8.31900464726043e-47	4.08863672848689e-44	-1.08472660567668	-1240.32983972284	76.0091820069331	163.850890009204
ENSG00000118785.15	ENSG00000118785.15	658.379713928147	1.69540615598004	0.119797660819909	196.47489046784	1.2277873781626e-44	5.25572209942507e-42	1.67889833670649	716.511036149107	52.0358940690203	15.4131883140913
ENSG00000197467.17	ENSG00000197467.17	685.157959482019	1.40251847591149	0.101087923395848	190.665249642416	2.27574039842561e-43	8.88208090797288e-41	1.38840862180829	616.43108028257	37.7327289661469	13.5953061770134
ENSG00000123124.14	ENSG00000123124.14	2144.85340297171	-1.02689760422743	0.0748079450291251	186.024433520898	2.34508474241412e-42	8.64424292550982e-40	-1.01655119421072	-1370.79573987391	26.9328102986472	52.3526740446468
ENSG00000137713.16	ENSG00000137713.16	1712.20044396406	1.09594063220204	0.0802901847303012	184.080627240991	6.23028125676454e-42	2.23448195343961e-39	1.08482976578747	1150.35245927936	49.6729235861431	23.9290843789354
ENSG00000022567.10	ENSG00000022567.10	1043.49693405819	1.25295663894875	0.0930563941809614	178.944492809249	8.23918064297718e-41	2.87720860874492e-38	1.23976355258904	917.363127021179	36.1985308441235	14.3135728949996
ENSG00000173530.6	ENSG00000173530.6	1235.55638376183	1.09595871164242	0.0818221544448905	177.864754694451	1.41790149562616e-40	4.58915923096565e-38	1.08441572303518	899.245733903017	33.4366014092288	15.1789875401423
ENSG00000054793.14	ENSG00000054793.14	1279.07258843316	1.06523681193808	0.0812895501745358	170.277207770015	6.43608583877477e-39	1.85667084957698e-36	1.05354905636624	903.707350151573	14.8056934160761	6.77841578877446
ENSG00000167767.14	ENSG00000167767.14	1726.90890860102	-1.13269573709974	0.0876188598587989	164.466548935898	1.19630605610762e-37	3.30728778428086e-35	-1.11966725648588	-1300.76308340346	19.6027165394119	42.2324486798833
ENSG00000111335.14	ENSG00000111335.14	908.174352357865	1.10310838494653	0.0876321317949085	157.53048548426	3.91952118192265e-36	9.81359360077614e-34	1.08994239313372	670.716507782543	21.3095596602016	9.66187074802357
ENSG00000121895.8	ENSG00000121895.8	972.308203187579	-1.18245419045468	0.0961290715711503	149.450274842252	2.28621985964327e-34	5.23071336852866e-32	-1.1673168664232	-779.404279188837	28.3286424910478	61.9929658623644
ENSG00000185127.7	ENSG00000185127.7	1120.63412543727	1.02394809012164	0.0834963269461389	149.3313281221	2.42726726848313e-34	5.36830610879518e-32	1.01116245234983	752.705080148864	24.5148346156934	11.5012895511469
ENSG00000112576.13	ENSG00000112576.13	1095.61236800997	1.29124400334958	0.104819499179039	148.969933309409	2.91147327698896e-34	6.33364760420385e-32	1.27488622517183	829.826036940375	71.1945377712105	30.8836732319154
ENSG00000197632.9	ENSG00000197632.9	915.875794596841	1.21914750838076	0.0997671213400731	147.50041285284	6.10013861365465e-34	1.30562644198705e-31	1.20351693049543	795.149695393526	51.8941009685759	20.419834590781
ENSG00000019505.8	ENSG00000019505.8	455.171368952578	1.45853521775115	0.122367814399029	141.199408633812	1.45525301051823e-32	2.88226976859358e-30	1.43859152046157	408.217652649159	8.65890035186808	3.23621934578408
ENSG00000165169.11	ENSG00000165169.11	981.331436251641	1.03740759623692	0.0884103311011016	136.766112226842	1.35658648251338e-31	2.57170037470752e-29	1.02324833855353	708.854848502077	47.199179124173	21.3140356745928
