gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000000003.15	ENSG00000000003.15	818.414190801046	0.0331676153971691	0.0990157276625709	0.112193890700667	0.73766011456248	0.862594201679343	0.0264526368822704	24.9007450797061	17.9420811409165	18.4270479172958
ENSG00000000419.14	ENSG00000000419.14	3443.87591288334	0.162551331800405	0.0622199830969327	6.82289356500959	0.00899966374279414	0.0438153883524749	0.150965677116198	-499.025193893885	248.906324659803	281.039390458688
ENSG00000000457.14	ENSG00000000457.14	275.497979688356	0.353378051019618	0.150515065340138	5.50368114125922	0.0189764857225266	0.0773939897213535	0.269370421652409	-54.624585801837	4.80275663954714	5.81376922650885
ENSG00000000460.17	ENSG00000000460.17	361.011928802497	0.0499405002284742	0.139188288941944	0.128742577379505	0.71973935667893	0.853136613765297	0.0330614774080432	-2.54367816218632	10.878007585467	11.3388465513026
ENSG00000000971.17	ENSG00000000971.17	538.78832899504	0.0979506374347806	0.129835646993656	0.569498000131091	0.450458466723775	0.668636921847385	0.0682661333117682	-47.6545167747445	12.9468081285083	14.9117423056305
ENSG00000001036.14	ENSG00000001036.14	2035.25579080473	0.0752818135124015	0.07139007375342	1.11174420200565	0.291703111806138	0.521030555214816	0.066707007771986	-35.0559359046306	57.9030995245153	60.5533301538502
ENSG00000001084.13	ENSG00000001084.13	1767.1636198947	0.0605285652230212	0.0815975996595109	0.55134342711888	0.457769289559923	0.67474619967836	0.051632460291821	-74.2271177591281	42.3403820497079	43.538019375688
ENSG00000001167.15	ENSG00000001167.15	503.074869827442	-0.0456070830866001	0.113573675083557	0.161286306847948	0.687974996199955	0.833487766275198	-0.0338593652317573	22.0436417515048	8.52072700767925	8.38892198200958
ENSG00000001460.18	ENSG00000001460.18	223.025604400763	-0.098089675027157	0.157357330039783	0.388584595784444	0.533044338033033	0.733200135334092	-0.0600745550367399	19.1645645554285	7.16333877531273	6.89068261286992
ENSG00000001461.17	ENSG00000001461.17	996.912684859036	-0.115274788818197	0.0903521407809046	1.62810364707728	0.201965541552529	0.412875084172292	-0.0963060629187716	86.070758072912	14.985203475498	13.4029625140368
ENSG00000001497.18	ENSG00000001497.18	936.148336527958	-0.141153308565564	0.0973662407767534	2.10153922143104	0.147150939491512	0.33546073104267	-0.116323602955634	55.0484097959373	29.5436229786515	27.743994602118
ENSG00000001561.7	ENSG00000001561.7	915.626590474502	0.196736399903627	0.0880522448409506	4.98893834072425	0.0255098553318108	0.0970401657843882	0.17117022961205	-109.078893950627	11.8950692412602	13.5071032367585
ENSG00000001617.12	ENSG00000001617.12	90.2988801777017	0.713898334649172	0.28023419179962	6.4544169793216	0.0110676854646611	0.0516272940409363	0.461105102097442	-39.208135258202	1.68791007152499	2.83145694718589
ENSG00000001626.18	ENSG00000001626.18	1054.43396683921	0.743455129720351	0.102696443110682	52.0480646197128	5.41585827733704e-13	2.57460243649076e-11	0.717850382433595	-526.930393190981	9.95671822418155	17.5318688349518
ENSG00000001629.10	ENSG00000001629.10	3519.72061204694	-0.0441181586080264	0.0567738929546839	0.603865409391929	0.437106986294815	0.659358014894982	-0.0406115586665994	135.791453051582	38.4905673681887	39.0376316368704
ENSG00000001630.18	ENSG00000001630.18	9481.80298984034	0.123739677603502	0.0492789951401282	6.30316433634303	0.0120522646276476	0.0551210311532416	0.117441942074632	-752.582611537062	225.167464445373	254.35420008634
ENSG00000001631.17	ENSG00000001631.17	1282.0775844129	0.24545640539806	0.0975618984312112	6.32332864896878	0.011915974117202	0.0545947653921037	0.21162983135955	-203.636001226381	23.3543192715304	28.2002007143379
ENSG00000002016.18	ENSG00000002016.18	142.120885449102	-0.128708174040635	0.294911248019495	0.191173900904118	0.661941380721216	0.818902756246345	-0.0386620379633038	-8.9620490289746	5.16473456441848	5.79206379055309
ENSG00000002330.14	ENSG00000002330.14	428.162190436488	-0.0173840203007024	0.126046214358345	0.0192400054442246	0.889680622152292	0.947034346920578	-0.0121027465648186	-5.60788075159553	40.0377592258028	42.1460287295521
ENSG00000002549.13	ENSG00000002549.13	1291.08277052658	-0.152266646039279	0.0852123854034404	3.19238542568228	0.0739819825923567	0.210548914043109	-0.131069543372447	144.929628215094	49.6634279616456	45.9612548555175
ENSG00000002586.20	ENSG00000002586.20	347.373619449286	-0.318586968413815	0.137551531587542	5.36235478414984	0.0205759722883232	0.0821982541870809	-0.249097788442403	77.7015390694559	28.1083103653106	23.1883377437472
ENSG00000002587.10	ENSG00000002587.10	962.099729919738	-0.783049252104447	0.101250722454749	59.3836483910474	1.29742671145541e-14	7.5947798125078e-13	-0.758946731407371	540.946018485956	18.3461324556591	10.1714839208116
ENSG00000002726.21	ENSG00000002726.21	375.987674127002	-0.598540710440002	0.127149660453784	22.1255063791137	2.55393748263783e-06	3.99608226450051e-05	-0.551215422079379	146.791226010493	12.2536395655072	8.30017923832338
ENSG00000002745.13	ENSG00000002745.13	16.0019965679001	-0.435401312525096	0.583466217449701	0.553695456960483	0.456811651495299	0.673730611784441	-0.0432904410922405	1.12732116512104	0.448486461294602	0.430725403110845
ENSG00000002746.15	ENSG00000002746.15	68.4075290042971	0.088126945052136	0.32578198447076	0.0899122986529477	0.764288679326211	0.880628106237156	0.0203995765659035	2.68607021996432	3.73728419989486	3.47091553121625
ENSG00000002822.16	ENSG00000002822.16	417.829930653042	-0.248468602078993	0.140796576775708	3.11204417421652	0.0777153656627012	0.21817890977001	-0.181073984161368	96.5285372669165	13.7249518320002	11.4149906569273
ENSG00000002834.18	ENSG00000002834.18	17233.9778427714	-0.399986698990908	0.0449115726540415	79.0947025504407	5.92028644231185e-19	5.59317188129044e-17	-0.39241436898158	4939.36792479993	328.500659853255	253.270994158033
ENSG00000002919.15	ENSG00000002919.15	1101.17092982589	-0.0761249173659041	0.0971821883261638	0.613708630251068	0.433394852608562	0.656673967199568	-0.0612996591252673	-0.180768814115027	40.2107239061322	41.5065206583517
ENSG00000002933.9	ENSG00000002933.9	141.953024888082	-0.658010827981945	0.206622960303075	10.1090299752612	0.00147544601742246	0.010093484281423	-0.530028966618423	52.6060618978021	12.0996549504417	8.03316546883061
ENSG00000003056.8	ENSG00000003056.8	2954.95542294466	-0.142646978602305	0.0648651682079578	4.8347219482681	0.0278921382899555	0.103749301832585	-0.130500109851013	303.124028023639	90.2520317989373	84.2886541491578
ENSG00000003096.15	ENSG00000003096.15	41.6510571221653	0.702089615862259	0.55676605475373	1.58107590048685	0.208605786771469	0.420511262351003	0.0774882055682525	-12.555561316527	0.59001725579576	0.972984389932763
ENSG00000003137.9	ENSG00000003137.9	252.965020891291	-0.618518900538159	0.202864681189317	9.23011870343927	0.00238066212982838	0.0148811321658075	-0.489034565394834	128.373565497509	7.10329379995159	4.59279874007674
ENSG00000003147.19	ENSG00000003147.19	1072.62351565934	0.32591096703793	0.0793441664036063	16.8557358905071	4.03312564460515e-05	0.000464883911173907	0.30294830169858	-232.540078115723	41.8530139780413	53.7381099176578
ENSG00000003249.15	ENSG00000003249.15	887.373073862918	0.213469898678259	0.0924086336777565	5.33159821463578	0.0209421728087319	0.0834500303032411	0.184384135508701	-96.0662346186459	27.6301201892338	31.9513169187793
ENSG00000003393.16	ENSG00000003393.16	1428.8475144756	-0.231153439845716	0.097728542120838	5.58599566281015	0.0181046384447356	0.0745923097059257	-0.197494082872799	168.459009560886	22.8944754169594	21.5721823207094
ENSG00000003400.16	ENSG00000003400.16	580.454604943395	-0.0260954425342953	0.101011839105872	0.0667656987474459	0.796105475569753	0.898642302564208	-0.0204063649020846	16.3277709391319	9.6078419766345	9.59994754915787
ENSG00000003402.21	ENSG00000003402.21	2813.31451594034	-0.273726773856429	0.0608625691329443	20.2146785023626	6.92197599172512e-06	9.72922181059142e-05	-0.260078611154349	481.788186094564	106.913423018269	92.8613729119469
ENSG00000003436.16	ENSG00000003436.16	2311.89685430197	0.0010761186838167	0.0663189645235955	0.000284713076524667	0.986537579217773	0.990186017010738	0.00101904199805766	22.648786251938	67.0731463375867	68.7216974221025
ENSG00000003509.16	ENSG00000003509.16	308.477034862853	-0.0592593524904635	0.165945450785228	0.127752014314275	0.720774309195668	0.853550028826953	-0.0341785789042575	32.8200936090304	12.9075571682422	12.3485671770314
ENSG00000003756.17	ENSG00000003756.17	989.521383557502	-0.213331080355814	0.107594837101694	3.92575760582196	0.0475517601308762	0.153570991664558	-0.174449384469088	180.304570727524	36.8614412009733	31.3987404202645
ENSG00000003987.14	ENSG00000003987.14	21.8303586012715	-0.419654626115274	0.549614016518974	0.583549347569829	0.444924443279977	0.66480757089388	-0.0464622589443241	-0.0398849652769471	0.276952492173283	0.27977516106543
ENSG00000003989.18	ENSG00000003989.18	952.512530655891	0.354260882095547	0.0956126373440479	13.7081411053419	0.000213526871145499	0.00196021869962415	0.32121260446124	-259.203518914339	7.00786887247586	9.59854526276061
ENSG00000004059.11	ENSG00000004059.11	1504.98748904414	-0.299992347868011	0.0763152424393413	15.4364064864737	8.53284834000803e-05	0.000888213578600417	-0.278500822548151	358.474184749045	154.774272840334	127.144792576469
ENSG00000004139.14	ENSG00000004139.14	662.110426654103	-0.0546401335077384	0.132415705128702	0.170362412258328	0.679789921125026	0.829157064277927	-0.0372076988517724	-7.05954713024471	11.5487350357256	12.100103404173
ENSG00000004142.12	ENSG00000004142.12	4410.69711181378	-0.111253742480633	0.0658836522709187	2.85039157597315	0.091351684349427	0.242630189696973	-0.098846752718786	541.742616855494	130.397849854209	120.097878319364
ENSG00000004399.13	ENSG00000004399.13	243.064228206704	0.542845420549973	0.258437055518001	4.3646719210673	0.0366915478718753	0.127329772171886	0.296504988005208	-110.748897495814	4.68806177256557	7.29413487109521
ENSG00000004455.18	ENSG00000004455.18	4996.8952594928	-0.0202216136192691	0.0578155537271622	0.122340590138251	0.726509665847317	0.856536591272641	-0.0185042618356239	20.6055125890798	269.400706280515	276.797926095407
ENSG00000004478.8	ENSG00000004478.8	6754.63759331227	-0.0298924344682867	0.0581663608949325	0.264145004768281	0.607286675018321	0.783346670108775	-0.027364357633606	277.93811906383	126.564393830172	124.900487003354
ENSG00000004487.18	ENSG00000004487.18	1771.41008061735	0.0343313100715282	0.0674845157998546	0.259091201189165	0.610745200204005	0.785445632444637	0.0306598444556948	-10.2450024634518	37.6464107057165	39.7851118688597
ENSG00000004534.15	ENSG00000004534.15	800.855916555649	-0.291822705616054	0.105072620288478	7.70774532276076	0.00549843856020675	0.0294792386126942	-0.25126243387478	136.066220912573	22.5140815006321	19.7224262804233
ENSG00000004660.15	ENSG00000004660.15	78.1519205324631	-0.59683020910533	0.279862127548252	4.54337474558254	0.0330463799377391	0.11758839411934	-0.3110471776798	29.2633774630468	1.69583487252014	1.22209644886787
ENSG00000004700.16	ENSG00000004700.16	1141.83125332221	0.20705451068648	0.0932336967000686	4.92732849266555	0.0264351547758443	0.0995201905016464	0.177447512168706	-201.909289005217	27.7047976027012	34.3184234255718
ENSG00000004766.17	ENSG00000004766.17	2118.03867391439	0.0604935577219644	0.0679819059217124	0.791966014327073	0.37350630725603	0.602269196258282	0.0544758636574763	-107.586235196592	57.8961086691909	62.836436534427
ENSG00000004777.19	ENSG00000004777.19	37.5884389529293	-0.219359770120542	0.494818042367275	0.202108980728944	0.653023895908479	0.813193066429547	-0.0285405559450058	11.0610604359096	1.37212680343532	1.01818914577188
ENSG00000004779.10	ENSG00000004779.10	2345.58013876238	0.00144368451398214	0.0645358885282032	0.000501724540100668	0.982129511743503	0.988185824602861	0.00134243530395814	-45.4322856404979	367.401504311413	373.518587073971
ENSG00000004799.8	ENSG00000004799.8	177.651217102755	0.728294091372879	0.180442259398122	16.2494206717399	5.552657035713e-05	0.000614414466805692	0.642676801978374	-89.8340112564489	2.48201638895914	4.1806032910892
ENSG00000004848.8	ENSG00000004848.8	27.9690517043733	-0.554256762790326	0.442058728710682	1.57184285275759	0.209939588545729	0.422226925117502	-0.0973238926935599	12.4267198200712	0.856959716054026	0.55057548782943
ENSG00000004864.14	ENSG00000004864.14	1899.66859174061	0.0865747107636621	0.0757356881850612	1.30634105316025	0.253058197675762	0.476463132783313	0.0757846752571444	-134.300235396601	44.562835007759	47.62605223981
ENSG00000004866.22	ENSG00000004866.22	638.13440130078	-0.156369919109433	0.114867849118463	1.85228092503546	0.173518342157981	0.375106197449991	-0.120486719038528	51.2931871194507	23.9435837388272	21.3109045422202
ENSG00000004897.12	ENSG00000004897.12	3886.87778826515	0.00803169627361412	0.0594250211007906	0.0185482901951701	0.8916694141918	0.948347053979552	0.00737353510700547	-4.01146110282434	86.6263506346055	90.1030488908887
ENSG00000004961.15	ENSG00000004961.15	874.92224456191	-0.0789931232164724	0.101798435388158	0.602250058669838	0.437720812288374	0.659852410122052	-0.0635135965870331	45.0315431910882	33.606581253807	33.0926793345105
