gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000104327.7	ENSG00000104327.7	2700.65462867129	5.68526755691641	0.11564345883456	2512.44060534998	0	0	5.68041835498162	5164.21688547059	298.748737427483	6.05193944439126
ENSG00000171747.9	ENSG00000171747.9	1987.4912070611	-4.95930597282627	0.115642105389216	1805.53677263572	0	0	-4.95408041346391	-3903.60368130981	8.73192167293228	302.673061317367
ENSG00000196188.12	ENSG00000196188.12	3015.83950888943	-3.79216129337963	0.0884267225766719	1670.37158920794	0	0	-3.78802576737093	-5271.16750770311	14.9325912363726	202.862902974119
ENSG00000102837.7	ENSG00000102837.7	12826.0894258407	3.68397298638698	0.089462749992993	1401.77560089711	8.6414650608911e-307	3.35850539591533e-303	3.67810575608611	21604.2235621076	549.057450587818	45.76247932816
ENSG00000019582.17	ENSG00000019582.17	1650.82123973177	4.21015283322004	0.115646076930707	1235.71118980506	1.05768257056474e-270	3.28854664839987e-267	4.20375694108539	2897.12830068036	170.125524499662	8.56164804029073
ENSG00000108602.18	ENSG00000108602.18	4370.16478170167	2.4264465911859	0.0723982781361733	1043.56466279408	6.09646278027323e-229	1.57959350636879e-225	2.42252430460324	6018.56892674934	346.447402207217	60.5324892841553
ENSG00000118849.10	ENSG00000118849.10	1534.72367786718	3.06863513782326	0.0930129698077595	1040.30878410722	3.10999903075621e-228	6.90686356173372e-225	3.06324130203055	2477.72600864183	129.730360710971	15.2825052940777
ENSG00000187908.20	ENSG00000187908.20	41392.5233459953	2.09934002438411	0.0627239305285243	1036.46814458671	2.1259162075428e-227	4.13118667030754e-224	2.09619857494029	51590.7934340551	692.627647817852	158.834177228652
ENSG00000163220.11	ENSG00000163220.11	1385.13423579242	3.11678703564895	0.0957479129121621	1021.05824962944	4.75344795339044e-224	8.21078909815641e-221	3.11115663772222	2187.0261304897	489.903983180075	53.61711999843
ENSG00000008517.19	ENSG00000008517.19	2036.6840796262	-2.59987021018982	0.0805936379917341	988.283349302053	6.32496906511426e-217	9.83279690862663e-214	-2.59498407230409	-2837.03898100389	57.6286997363603	329.871158921945
ENSG00000138449.11	ENSG00000138449.11	3011.52654466945	2.09276603492096	0.0670662493917411	932.290417884775	9.38442890382489e-205	1.32627574308056e-201	2.08876081527062	3719.859347393	104.329422911922	24.2660631182606
ENSG00000198074.10	ENSG00000198074.10	6183.49875504084	2.64218246855984	0.0827096165354374	922.303405565636	1.39121325176103e-202	1.80231676765642e-199	2.63723133331733	8747.27333975015	483.359702944867	80.8927015043738
ENSG00000131746.13	ENSG00000131746.13	3514.84116823446	-2.44405932046782	0.0777957215981899	918.894662728246	7.66293448134309e-202	9.1636907266892e-199	-2.43921047239162	-4815.61557739976	18.1770949678148	99.2626883808023
ENSG00000197632.9	ENSG00000197632.9	565.742207140326	-6.05919456103335	0.243046772014218	888.164866583864	3.66990960425898e-195	4.0751724791293e-192	-6.03909090956818	-1131.52325350121	0.698598334557256	42.3129459860653
ENSG00000085662.14	ENSG00000085662.14	8708.81575380876	1.64572877903713	0.054585234318654	872.808071944243	8.00054948348132e-192	8.29176948468004e-189	1.64271497703809	8676.17056919226	793.968926043428	254.332711148298
ENSG00000165376.12	ENSG00000165376.12	1929.44710504383	2.31886775182515	0.0772532431491522	866.824612123532	1.59919694713783e-190	1.55381973376279e-187	2.31400414065657	2598.66278796478	73.0383968588112	14.1895331835842
ENSG00000162344.4	ENSG00000162344.4	760.919946673316	3.42641296145626	0.119351029285459	839.81205555753	1.19251163339075e-184	1.09051681486427e-181	3.41837511073662	1228.45214457156	53.4872274790881	5.21935468940717
ENSG00000166741.8	ENSG00000166741.8	3821.02773730146	2.38484992391732	0.0801188652039121	823.036222171648	5.29248528026369e-181	4.57094312038774e-178	2.37976853767358	5117.81926999187	696.922892694812	133.457746996298
ENSG00000261780.3	ENSG00000261780.3	338.741776545669	5.50424860199727	0.245459417535278	771.360981954477	9.09580221879485e-170	7.44228112070446e-167	5.48351225407189	643.307406579266	38.5585624189786	0.843788800702871
ENSG00000125255.7	ENSG00000125255.7	329.203752050504	6.40726654092332	0.330525958182598	749.249576296274	5.84212457890455e-165	4.54108343518251e-162	6.37407016342688	639.357139651444	12.5900466889782	0.16716008306879
ENSG00000204287.14	ENSG00000204287.14	564.031642856139	3.81294572790331	0.143730295625898	748.503706579113	8.48691918098516e-165	6.28274502798073e-162	3.80242929201761	980.74752040009	65.387926488832	4.42075348548559
ENSG00000021355.13	ENSG00000021355.13	3887.72752843478	-1.66643298291219	0.0604762488503169	734.78680084179	8.15349571180522e-162	5.76155656071472e-159	-1.66231214965478	-4029.74773140685	67.5051879671481	210.47868605498
ENSG00000249859.14	ENSG00000249859.14	2550.7318893944	-1.90711147221893	0.0700641245985436	713.374396941843	3.69311278338436e-157	2.4962231013258e-154	-1.90224793379966	-2970.63908323814	126.810377087363	471.186746358513
ENSG00000007062.12	ENSG00000007062.12	2678.05957490049	1.79669668135621	0.0673451994889438	689.642177110341	5.3469322198796e-152	3.46347534542701e-149	1.79208032879883	2985.81723091814	76.1755171643756	21.6802745283232
ENSG00000214814.7	ENSG00000214814.7	390.028581799091	-5.55057916362395	0.249361413593137	678.743207058674	1.25381965850904e-149	7.79675216447261e-147	-5.52837520178525	-785.509855243791	0.172630016934397	8.19823868039986
ENSG00000184489.13	ENSG00000184489.13	2617.24451248305	-1.75802816048608	0.0666847259007972	674.505364753407	1.04671125061853e-148	6.25852811619836e-146	-1.75316126860425	-2863.74413861797	35.7950986687089	120.511171990111
ENSG00000117983.17	ENSG00000117983.17	2548.11041627052	2.79643391674396	0.102974683098448	671.225139044532	5.40971428702484e-148	3.11479327059586e-145	2.78936545568705	3881.08583906202	25.6332135498016	3.50361526462661
ENSG00000160182.3	ENSG00000160182.3	2245.624826685	-2.04953142797342	0.0796266044278189	634.184884569654	6.14684202838892e-140	3.41281450619051e-137	-2.04408788195707	-2823.15341428177	238.306688812962	991.560595177489
ENSG00000182985.18	ENSG00000182985.18	338.358611378572	5.34978662524932	0.25131095564297	608.179968724367	2.78362429333562e-134	1.49221459531709e-131	5.32678250863627	656.823538723569	13.5169099129215	0.329766806704477
ENSG00000148346.12	ENSG00000148346.12	41810.2015472264	1.3264636735025	0.0536259159133027	592.230518291819	8.19863147543227e-131	4.11148144893775e-128	1.32292112847665	36882.897666231	6762.80435728453	2577.80301133546
ENSG00000272602.6	ENSG00000272602.6	577.346764202127	3.08101461103575	0.126214101805715	592.246831737183	8.13191788414211e-131	4.11148144893775e-128	3.07107450179598	914.676222396786	63.1888687788296	7.14600959911433
