gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000022556.16	ENSG00000022556.16	1250.98155079896	-13.6306029664796	1.18096069821196	2657.43924783243	0	0	-15.0906060739701	2544.23772307721	52.0479262813327	0
ENSG00000026025.16	ENSG00000026025.16	1090.26496138567	6.36804193158607	0.188389048240244	1962.97917699689	0	0	6.35815424395732	-2125.0307775577	1.17412186989428	97.5487869536195
ENSG00000046604.14	ENSG00000046604.14	14307.4713348176	3.04928179385722	0.0475887178525705	3653.06536428483	0	0	3.04921752393502	-22468.0898106969	36.5219476930912	292.676390142751
ENSG00000051523.12	ENSG00000051523.12	6422.38527051052	-2.85176796116369	0.0551753622160091	2470.43439436157	0	0	-2.85027145832918	9756.58221131949	1913.20975888176	252.391926665426
ENSG00000057019.16	ENSG00000057019.16	36640.446497516	2.78069344781767	0.0496448146967327	2775.5269656084	0	0	2.78117438382449	-54570.1692898911	107.322857135746	717.65800242296
ENSG00000076706.17	ENSG00000076706.17	2252.77336018043	6.54619649766159	0.141717301934893	3184.29176663391	0	0	6.54128440989686	-4455.2092744332	1.14199283895736	106.098819929114
ENSG00000084207.18	ENSG00000084207.18	4720.70491950002	-5.23574881802974	0.0824195080830647	4039.66474213179	0	0	-5.23317158904274	8869.03385846089	1233.45126936927	30.3671279003291
ENSG00000086548.9	ENSG00000086548.9	24882.3086661669	-4.97773423409944	0.0632924280283268	4777.24041179834	0	0	-4.97910488299243	45444.1900892333	1283.42330355893	41.5849008208943
ENSG00000087077.14	ENSG00000087077.14	2313.69477166897	-9.10526128333175	0.315189100445716	3996.1292263433	0	0	-9.08385596729228	4597.16358393634	228.728762392832	0.339083073007567
ENSG00000087460.29	ENSG00000087460.29	9508.03608220528	-2.84687086334428	0.0646943440920141	1736.20757643293	0	0	-2.84442736530936	13977.6108626274	717.843703283275	96.9309212662599
