target_id	V3	V4	V5	V6	V7	V8	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval	log2FC	TPMa	TPMb	ensembl_id	gene_name	biotype	description2
1	ENSG00000206195.11	DUXAP8	DUXAP8-201	22	 15784968	 15819165	+	8	25.1358047363346	5.90186032887119e-26	6.08717874319774e-22	8.31708070147982	0.907104414477519	227.371823320916	ENSG00000206195	DUXAP8	lncRNA	double homeobox A pseudogene 8 
10	ENSG00000137959.17	IFI44L	IFI44L-201	1	 78620448	 78646145	+	13	62.140397765332	1.20786262117074e-23	6.22894753737752e-20	-2.11210385645738	185.470494534339	45.0586559142702	ENSG00000137959	IFI44L	protein_coding	interferon induced protein 44 like 
23	ENSG00000115232.14	ITGA4	ITGA4-201	2	181457428	181509805	+	9	29.1211530855045	8.39409828698471e-21	2.88589099106534e-17	-5.25545311643775	141.962941857948	3.18661650026807	ENSG00000115232	ITGA4	protein_coding	integrin subunit alpha 4 
32	ENSG00000140937.14	CDH11	CDH11-201	16	 64943753	 65122063	-	8	18.0676099632442	9.80379271454558e-19	2.52790795144558e-15	7.69957647800588	0.394494953251298	79.2093934307744	ENSG00000140937	CDH11	protein_coding	cadherin 11 
40	ENSG00000026508.21	CD44	CD44-201	11	 35139171	 35232402	+	17	70.5131328698757	3.29963296109757e-16	6.80648287215206e-13	1.54745939262866	120.870774642371	405.611653491523	ENSG00000026508	CD44	protein_coding	CD44 molecule (Indian blood group) 
57	ENSG00000185904.12	LINC00839	LINC00839-201	10	 42475628	 42495337	+	5	12.9786870908166	1.28572315586072e-14	2.21015810492458e-11	7.043376814242	0.285000890885368	31.7645439273156	ENSG00000185904	LINC00839	lncRNA	long intergenic non-protein coding RNA 839 
67	ENSG00000157601.15	MX1	MX1-201	21	 41426201	 41459199	+	10	52.1275139094357	3.39782365389723e-14	4.380644145787e-11	-1.36876472292248	389.067275648138	134.456733210362	ENSG00000157601	MX1	protein_coding	MX dynamin like GTPase 1 
77	ENSG00000154263.18	ABCA10	ABCA10-202	17	 69148592	 69225442	-	5	19.3098014939632	3.9860063774588e-14	4.56796330856778e-11	4.07144761680958	3.47399453342602	52.8100621403405	ENSG00000154263	ABCA10	protein_coding	ATP binding cassette subfamily A member 10 
82	ENSG00000010810.17	FYN	FYN-203	6	111661282	111793886	-	10	29.9766468894293	5.08953836281157e-14	5.24934986740386e-11	-3.13701732876789	107.849464147162	11.4835932028518	ENSG00000010810	FYN	protein_coding	FYN proto-oncogene, Src family tyrosine kinase 
92	ENSG00000074706.14	IPCEF1	IPCEF1-201	6	154154609	154356766	-	5	17.0933024308973	7.51359983203365e-14	7.04502442432682e-11	-3.42329863211948	45.6633679122885	4.55916488225408	ENSG00000074706	IPCEF1	protein_coding	interaction protein for cytohesin exchange factors 1 
97	ENSG00000134369.16	NAV1	NAV1-202	1	201648249	201826969	+	5	12.7740897691648	1.02673070788187e-13	8.14592347776431e-11	6.81644506028954	0.101433673614308	16.3982729996609	ENSG00000134369	NAV1	protein_coding	neuron navigator 1 
102	ENSG00000119772.19	DNMT3A	DNMT3A-202	2	 25227874	 25341925	-	7	22.9498475298076	9.67423628022297e-14	8.14592347776431e-11	-2.34305521608636	33.5077196662219	6.96616217272167	ENSG00000119772	DNMT3A	protein_coding	DNA methyltransferase 3 alpha 
109	ENSG00000168961.17	LGALS9	LGALS9-202	17	 27631148	 27649433	+	7	26.3788138179067	1.30838217002912e-13	9.63903835834309e-11	-4.3493177517943	189.19565738106	9.09021168456214	ENSG00000168961	LGALS9	protein_coding	galectin 9 
116	ENSG00000116667.15	C1orf21	C1orf21-201	1	184387029	184629019	+	4	9.59750255223659	3.24213832109297e-13	2.22929430958352e-10	10.8379808261058	0	29.2281001395181	ENSG00000116667	C1orf21	protein_coding	chromosome 1 open reading frame 21 
120	ENSG00000291100.1			20	 28563850	 28602773	-	6	22.993029605449	9.81558155736359e-13	6.32736926141551e-10	1.38944015591219	26.7013961199666	72.4453844900245	ENSG00000291100		lncRNA	novel transcript
125	ENSG00000078142.14	PIK3C3	PIK3C3-201	18	 41955234	 42087830	+	8	37.7805797222719	1.66588290183785e-12	1.01070095585621e-09	-1.27663314276795	196.29595502874	75.0994026844442	ENSG00000078142	PIK3C3	protein_coding	phosphatidylinositol 3-kinase catalytic subunit type 3 
