seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	911022	911581	560	*	Promoter	1	911232	918152	6921	1	284600	ENST00000756450.1	0	NA	LOC284600	uncharacterized LOC284600
chr1	938227	938964	738	*	Promoter	1	939275	944259	4985	1	148398	ENST00000455979.1	-311	ENSG00000187634	SAMD11	sterile alpha motif domain containing 11
chr1	1079387	1080362	976	*	Distal Intergenic	1	1082146	1084072	1927	2	54991	ENST00000464905.1	3710	ENSG00000131591	C1orf159	chromosome 1 open reading frame 159
chr1	1597507	1599189	1683	*	Promoter	1	1598012	1600135	2124	2	643988	ENST00000422725.4	946	ENSG00000228594	FNDC10	fibronectin type III domain containing 10
chr1	1617972	1619102	1131	*	Promoter	1	1617577	1630532	12956	1	142678	ENST00000506488.5	395	ENSG00000197530	MIB2	MIB E3 ubiquitin protein ligase 2
chr1	1898687	1900283	1597	*	Distal Intergenic	1	1785477	1892292	106816	2	2782	ENST00000703704.1	-6395	ENSG00000078369	GNB1	G protein subunit beta 1
chr1	1917970	1920735	2766	*	Promoter	1	1917590	1918797	1208	2	339456	ENST00000378602.3	0	ENSG00000178821	TMEM52	transmembrane protein 52
chr1	2475702	2481908	6207	*	Promoter	1	2476289	2505532	29244	1	9651	ENST00000378486.8	0	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	2482024	2483746	1723	*	Intron (ENST00000449969.5/9651, intron 4 of 21)	1	2479888	2505276	25389	1	9651	ENST00000278878.6	2136	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	2491392	2500812	9421	*	Promoter	1	2497782	2505528	7747	1	9651	ENST00000473964.5	0	ENSG00000149527	PLCH2	phospholipase C eta 2
chr1	2526594	2527163	570	*	Promoter	1	2508537	2526596	18060	2	55229	ENST00000378466.9	0	ENSG00000157881	PANK4	pantothenate kinase 4 (inactive)
chr1	2583166	2584263	1098	*	Exon (ENST00000424215.2/100996583, exon 3 of 4)	1	2586491	2589632	3142	1	127281	ENST00000493183.5	-2228	ENSG00000157870	PRXL2B	peroxiredoxin like 2B
chr1	2652793	2655011	2219	*	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2633101	2636623	3523	1	105378597	ENST00000723531.1	19692	ENSG00000237058	MMEL1-AS1	MMEL1 antisense RNA 1
chr1	2655542	2656362	821	*	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2633101	2636623	3523	1	105378597	ENST00000723531.1	22441	ENSG00000237058	MMEL1-AS1	MMEL1 antisense RNA 1
chr1	2777338	2777877	540	*	Exon (ENST00000648684.1/105378598, exon 2 of 3)	1	2773603	2776473	2871	1	105378598	ENST00000638002.1	3735	NA	LOC105378598	uncharacterized LOC105378598
chr1	3144688	3145814	1127	*	Intron (ENST00000511072.5/63976, intron 1 of 15)	1	3161276	3161957	682	2	105378606	ENST00000818385.1	16143	NA	LOC105378606	uncharacterized LOC105378606
chr1	3206335	3206965	631	*	Exon (ENST00000624175.1/ENST00000624175.1, exon 1 of 1)	1	3211011	3213146	2136	2	105378605	ENST00000818534.1	6181	NA	LOC105378605	uncharacterized LOC105378605
chr1	3312819	3313440	622	*	Promoter	1	3312741	3313762	1022	2	105378604	ENST00000818621.1	322	NA	LOC105378604	uncharacterized LOC105378604
chr1	3381481	3383969	2489	*	Intron (ENST00000511072.5/63976, intron 3 of 15)	1	3396491	3434293	37803	1	63976	ENST00000509860.1	-12522	ENSG00000142611	PRDM16	PR/SET domain 16
chr1	3501653	3502320	668	*	Exon (ENST00000356575.9/1953, exon 18 of 37)	1	3490925	3496717	5793	2	1953	ENST00000491842.1	-4936	ENSG00000162591	MEGF6	multiple EGF like domains 6
chr1	3604404	3605528	1125	*	Intron (ENST00000356575.9/1953, intron 1 of 36)	1	3490562	3611277	120716	2	1953	ENST00000485002.6	5749	ENSG00000162591	MEGF6	multiple EGF like domains 6
chr1	3799752	3800360	609	*	Distal Intergenic	1	3778559	3796498	17940	2	57470	ENST00000378251.3	-3254	ENSG00000130764	LRRC47	leucine rich repeat containing 47
chr1	3809323	3810120	798	*	Distal Intergenic	1	3815239	3816458	1220	2	9731	ENST00000484420.1	6338	ENSG00000116198	CEP104	centrosomal protein 104
chr1	3856525	3858054	1530	*	Promoter	1	3857267	3860490	3224	1	1677	ENST00000625756.2	0	ENSG00000169598	DFFB	DNA fragmentation factor subunit beta
chr1	4124525	4125284	760	*	Distal Intergenic	1	3976143	4011552	35410	1	105376673	ENST00000742918.1	148382	ENSG00000284668	LINC02780	long intergenic non-protein coding RNA 2780
chr1	4338255	4338837	583	*	Distal Intergenic	1	4412027	4424689	12663	1	284661	ENST00000635002.1	-73190	ENSG00000235054	LINC01777	long intergenic non-protein coding RNA 1777
chr1	4497407	4498167	761	*	Exon (ENST00000764213.1/ENST00000764213.1, exon 1 of 2)	1	4551735	4552145	411	2	124904578	ENST00000438791.2	53978	NA	LOC124904578	uncharacterized LOC124904578
chr1	4605276	4606049	774	*	Intron (ENST00000772751.1/ENST00000772751.1, intron 1 of 1)	1	4571548	4583421	11874	1	105376679	ENST00000420522.1	33728	ENSG00000232596	LINC01646	long intergenic non-protein coding RNA 1646
