seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	906048	906957	910	*	Promoter (1-2kb)	1	904865	916862	11998	1	284600	ENST00000756446.1	1183	NA	LOC284600	uncharacterized LOC284600
chr1	910548	911658	1111	*	Promoter (<=1kb)	1	910572	918155	7584	1	284600	ENST00000756448.1	0	NA	LOC284600	uncharacterized LOC284600
chr1	913228	914687	1460	*	Promoter (1-2kb)	1	911435	914948	3514	1	284600	ENST00000715286.1	1793	NA	LOC284600	uncharacterized LOC284600
chr1	921534	924119	2586	*	Promoter (<=1kb)	1	923923	944574	20652	1	148398	ENST00000616016.5	0	ENSG00000187634	SAMD11	sterile alpha motif domain containing 11
chr1	936851	940044	3194	*	Promoter (<=1kb)	1	939275	944259	4985	1	148398	ENST00000455979.1	0	ENSG00000187634	SAMD11	sterile alpha motif domain containing 11
chr1	975851	976717	867	*	Promoter (<=1kb)	1	975205	976641	1437	2	84808	ENST00000479361.1	0	ENSG00000187642	PERM1	PPARGC1 and ESRR induced regulator, muscle 1
chr1	1004980	1005689	710	*	Intron (ENST00000624697.4/9636, intron 1 of 2)	1	1001145	1014435	13291	1	9636	ENST00000624652.1	3835	ENSG00000187608	ISG15	ISG15 ubiquitin like modifier
chr1	1013272	1014663	1392	*	Promoter (<=1kb)	1	1013497	1014540	1044	1	9636	ENST00000649529.1	0	ENSG00000187608	ISG15	ISG15 ubiquitin like modifier
chr1	1021249	1025576	4328	*	Promoter (1-2kb)	1	1020123	1056118	35996	1	375790	ENST00000620552.4	1126	ENSG00000188157	AGRN	agrin
chr1	1035214	1039069	3856	*	Promoter (<=1kb)	1	1034867	1041397	6531	1	375790	ENST00000469403.1	347	ENSG00000188157	AGRN	agrin
chr1	1057926	1060079	2154	*	Promoter (<=1kb)	1	1058461	1066456	7996	1	100288175	ENST00000799554.1	0	ENSG00000291156	LOC100288175	uncharacterized LOC100288175
chr1	1061589	1063580	1992	*	Promoter (<=1kb)	1	1063055	1066441	3387	1	100288175	ENST00000799594.1	0	ENSG00000291156	LOC100288175	uncharacterized LOC100288175
chr1	1069777	1070719	943	*	Promoter (<=1kb)	1	1065634	1069347	3714	2	105378948	ENST00000799880.1	-430	NA	LOC105378948	uncharacterized LOC105378948
chr1	1071731	1074849	3119	*	Promoter (<=1kb)	1	1070967	1074306	3340	2	401934	ENST00000453464.3	0	ENSG00000237330	RNF223	ring finger protein 223
chr1	1079387	1080666	1280	*	Distal Intergenic	1	1082146	1084072	1927	2	54991	ENST00000464905.1	3406	ENSG00000131591	C1orf159	chromosome 1 open reading frame 159
chr1	1168634	1172652	4019	*	Promoter (<=1kb)	1	1169005	1169087	83	1	554210	ENST00000362106.1	0	ENSG00000198976	MIR429	microRNA 429
chr1	1207967	1209915	1949	*	Promoter (1-2kb)	1	1203508	1206592	3085	2	8784	ENST00000379268.7	-1375	ENSG00000186891	TNFRSF18	TNF receptor superfamily member 18
chr1	1269806	1271345	1540	*	Intron (ENST00000450390.6/118424, intron 1 of 7)	1	1267862	1273471	5610	2	118424	ENST00000488418.2	2126	ENSG00000160087	UBE2J2	ubiquitin conjugating enzyme E2 J2
chr1	1282893	1283528	636	*	Promoter (<=1kb)	1	1282164	1285597	3434	1	6339	ENST00000467651.2	729	ENSG00000162572	SCNN1D	sodium channel epithelial 1 subunit delta
chr1	1303748	1307165	3418	*	Promoter (<=1kb)	1	1292390	1305929	13540	2	116983	ENST00000492936.5	0	ENSG00000131584	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
chr1	1309165	1310828	1664	*	Promoter (<=1kb)	1	1298744	1309609	10866	2	116983	ENST00000472541.5	0	ENSG00000131584	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
chr1	1320817	1322249	1433	*	Promoter (<=1kb)	1	1315560	1320905	5346	2	54973	ENST00000525603.1	0	ENSG00000127054	INTS11	integrator complex subunit 11
chr1	1324243	1326267	2025	*	Promoter (<=1kb)	1	1311585	1324687	13103	2	54973	ENST00000540437.5	0	ENSG00000127054	INTS11	integrator complex subunit 11
