target_id	length	eff_length	est_counts	tpm
ENST00000631435.1	12	7.875	0	0
ENST00000434970.2	9	4.875	0	0
ENST00000448914.1	13	8.875	0	0
ENST00000415118.1	8	3.875	0	0
ENST00000632684.1	12	7.875	0	0
ENST00000604446.1	23	14	0	0
ENST00000603693.1	19	11.9091	0	0
ENST00000603935.1	31	11.931	0	0
ENST00000604102.1	31	11.931	0	0
ENST00000604838.1	17	9.90909	0	0
ENST00000439842.1	11	6.875	0	0
ENST00000390567.1	20	11.9167	0	0
ENST00000452198.1	18	10.9091	0	0
ENST00000390569.1	20	11.9167	0	0
ENST00000437320.1	19	11.9091	0	0
ENST00000390571.1	31	11.931	0	0
ENST00000390572.1	28	13.4	0	0
ENST00000390574.1	21	12	0	0
ENST00000450276.1	17	9.90909	0	0
ENST00000431870.1	16	9.8	0	0
ENST00000390577.1	37	11.4231	0	0
ENST00000390575.1	20	11.9167	0	0
ENST00000390578.1	31	11.931	0	0
ENST00000451044.1	17	9.90909	0	0
ENST00000390580.1	21	12	0	0
ENST00000390581.1	23	14	0	0
ENST00000431440.2	16	9.8	0	0
ENST00000390583.1	31	11.931	0	0
ENST00000390584.1	31	11.931	0	0
ENST00000390585.1	31	11.931	0	0
ENST00000430425.1	17	9.90909	0	0
ENST00000454691.1	18	10.9091	0	0
ENST00000390588.1	20	11.9167	0	0
ENST00000414852.1	16	9.8	0	0
ENST00000390590.1	31	11.931	0	0
ENST00000390591.1	31	11.931	0	0
ENST00000454908.1	17	9.90909	0	0
ENST00000632524.1	11	6.875	0	0
ENST00000633009.1	20	11.9167	0	0
ENST00000634070.1	18	10.9091	0	0
ENST00000632963.1	20	11.9167	0	0
ENST00000633030.1	19	11.9091	0	0
ENST00000633765.1	31	11.931	0	0
ENST00000632619.1	28	13.4	0	0
ENST00000633159.1	21	12	0	0
ENST00000632968.1	17	9.90909	0	0
ENST00000633010.1	16	9.8	0	0
ENST00000631871.1	20	11.9167	0	0
ENST00000633379.1	37	11.4231	0	0
ENST00000604642.1	23	14	0	0
ENST00000603326.1	19	11.9091	0	0
ENST00000604950.1	31	11.931	0	0
ENST00000603077.1	31	11.931	0	0
ENST00000605284.1	17	9.90909	0	0
ENST00000632473.1	31	11.931	0	0
ENST00000631884.1	17	9.90909	0	0
ENST00000632859.1	21	12	0	0
ENST00000631895.1	23	14	0	0
ENST00000634154.1	16	9.8	0	0
ENST00000632609.1	31	11.931	0	0
ENST00000632911.1	31	11.931	0	0
ENST00000633504.1	31	11.931	0	0
ENST00000632304.1	17	9.90909	0	0
ENST00000632542.1	18	10.9091	0	0
ENST00000633968.1	20	11.9167	0	0
ENST00000634085.1	16	9.8	0	0
ENST00000633353.1	31	11.931	0	0
ENST00000631803.1	31	11.931	0	0
ENST00000633210.1	17	9.90909	0	0
ENST00000631690.1	447	197.663	0	0
ENST00000542354.1	392	155.156	0	0
ENST00000390423.2	402	162.208	0	0
ENST00000390424.2	348	124.081	0	0
ENST00000390425.2	519	257.316	0	0
ENST00000390426.2	395	157.296	0	0
ENST00000390427.3	352	126.981	0	0
ENST00000390343.2	468	214.578	0	0
ENST00000390348.2	465	211.977	0	0
ENST00000390344.2	552	285.904	1	0.0958858
ENST00000426402.2	544	279.249	0	0
ENST00000390340.2	463	210.332	0	0
ENST00000444775.2	1735	1455.79	0	0
ENST00000390345.2	688	413.502	0	0
ENST00000390341.2	512	251.271	0	0
ENST00000390346.2	537	266.097	1	0.103023
ENST00000390428.3	404	163.797	0	0
ENST00000390429.3	337	116.803	0	0
ENST00000390430.2	473	218.544	0	0
ENST00000390431.3	338	117.58	0	0
ENST00000390432.2	379	145.472	0	0
ENST00000390433.1	340	119.042	0	0
ENST00000390434.3	566	299.53	0	0
ENST00000390435.1	341	119.697	0	0
ENST00000390436.2	360	132.531	0	0
ENST00000390437.2	445	196.029	0	0
ENST00000390438.2	469	215.3	0	0
ENST00000390439.2	410	168.459	0	0
ENST00000390440.2	425	179.764	0	0
ENST00000390441.2	394	156.682	0	0
ENST00000390442.3	399	160.083	0	0
ENST00000390443.3	561	294.991	0	0
ENST00000390444.1	329	111.464	0	0
ENST00000390445.2	484	227.445	0	0
ENST00000390446.3	440	191.99	18	2.57021
ENST00000390447.3	467	213.701	2	0.256565
ENST00000390448.3	406	165.417	0	0
ENST00000390449.3	343	121.06	0	0
ENST00000390450.3	464	211.21	0	0
ENST00000390451.2	409	167.725	0	0
ENST00000390452.2	365	135.633	0	0
ENST00000621643.1	102	54.1825	0	0
ENST00000390453.1	343	121.06	0	0
ENST00000390454.2	403	162.948	0	0
ENST00000390455.3	537	272.934	0	0
ENST00000390456.3	341	119.697	0	0
ENST00000390457.2	425	179.764	0	0
ENST00000390458.3	469	215.3	0	0
ENST00000557168.1	337	116.803	0	0
ENST00000390460.1	327	110.167	0	0
ENST00000390461.2	349	124.709	0	0
ENST00000390463.3	356	129.631	0	0
ENST00000390464.2	353	127.669	0	0
ENST00000390465.2	395	157.296	0	0
ENST00000390466.1	331	112.716	0	0
ENST00000390467.3	317	103.89	0	0
ENST00000390468.1	336	116.156	0	0
ENST00000535880.2	425	179.764	0	0
ENST00000390469.2	520	258.185	0	0
ENST00000379435.3	416	173.019	1	0.158446
ENST00000632828.1	421	176.575	0	0
ENST00000632422.1	391	154.384	0	0
ENST00000632713.1	373	141.16	0	0
ENST00000633384.1	652	379.422	0	0
ENST00000631557.1	401	161.492	0.5	0.0848777
ENST00000632308.1	380	146.23	1	0.187473
ENST00000632512.1	455	203.871	0	0
ENST00000632016.1	392	155.156	0	0
ENST00000631427.1	455	203.871	0	0
ENST00000632148.1	424	178.898	0	0
ENST00000631392.1	386	150.731	0	0
ENST00000455382.2	421	176.575	0	0
ENST00000390387.3	391	154.384	0	0
ENST00000390357.3	373	141.16	0	0
ENST00000390381.3	652	379.422	0	0
ENST00000390353.2	401	161.492	0.5	0.0848777
ENST00000547918.2	380	146.23	1	0.187473
ENST00000390392.3	455	203.871	0	0
ENST00000634383.1	424	178.898	0	0
ENST00000634605.1	394	156.682	0	0
ENST00000390360.3	365	135.633	0	0
ENST00000390361.3	397	158.687	0	0
ENST00000390362.1	343	121.06	0	0
ENST00000390363.2	390	153.635	0	0
ENST00000390364.3	412	169.986	0	0
ENST00000390367.3	364	134.865	0	0
ENST00000426318.2	395	157.296	0	0
ENST00000390368.2	410	168.459	0	0
ENST00000390369.2	347	123.424	0	0
ENST00000454561.2	544	279.249	0	0
ENST00000390371.3	388	152.274	0	0
ENST00000390372.3	350	125.458	0	0
ENST00000390373.2	344	121.712	0	0
ENST00000390374.3	392	155.156	0	0
ENST00000390375.2	384	149.345	0	0
ENST00000390376.2	341	119.697	0	0
ENST00000390377.1	347	123.424	0	0
ENST00000390378.1	343	121.06	0	0
ENST00000612787.1	347	123.424	0	0
ENST00000614171.1	374	141.845	0	0
ENST00000611462.1	368	137.812	0	0
ENST00000611787.1	392	155.156	0	0
ENST00000620569.1	409	167.725	0	0
ENST00000617347.1	406	165.417	0	0
ENST00000621184.1	411	169.15	0	0
ENST00000617639.1	406	165.417	0	0
ENST00000616518.1	421	176.575	0	0
ENST00000620773.1	347	123.424	0	0
ENST00000619103.1	344	121.712	0	0
ENST00000611520.1	428	182.23	0	0
ENST00000390393.3	552	286.692	0	0
ENST00000390394.3	413	170.812	0	0
ENST00000390396.1	347	123.424	0	0
ENST00000390397.2	381	147.049	0	0
ENST00000390398.3	381	147.049	12	2.23714
ENST00000390399.3	387	151.523	0	0
ENST00000390400.2	364	134.865	0	0
ENST00000422143.2	402	162.208	0	0
ENST00000417977.2	447	197.663	0	0
ENST00000633472.1	365	135.633	0	0
ENST00000631882.1	397	158.687	0	0
ENST00000634123.1	343	121.06	0	0
ENST00000633328.1	390	153.635	0	0
ENST00000632248.1	412	169.986	0	0
ENST00000634176.1	364	134.865	0	0
ENST00000633575.1	395	157.296	0	0
ENST00000633072.1	410	168.459	0	0
ENST00000633313.1	347	123.424	0	0
ENST00000633696.1	544	279.249	0	0
ENST00000633963.1	390	153.635	0	0
ENST00000632187.1	350	125.458	0	0
ENST00000631511.1	386	150.731	0	0
ENST00000633265.1	392	155.156	0	0
ENST00000632216.1	384	149.345	0	0
ENST00000632425.1	407	166.23	0	0
ENST00000631548.1	347	123.424	0	0
ENST00000633790.1	343	121.06	0	0
ENST00000634093.1	344	121.712	0	0
ENST00000632560.1	347	123.424	0	0
ENST00000631639.1	478	222.703	0	0
ENST00000632021.1	347	123.424	0	0
ENST00000633796.1	374	141.845	0	0
ENST00000631471.1	344	121.712	0	0
ENST00000634111.1	392	155.156	0	0
ENST00000633292.1	409	167.725	0	0
ENST00000631824.1	406	165.417	0	0
ENST00000632829.1	411	169.15	0	0
ENST00000632432.1	406	165.417	0	0
ENST00000631835.1	421	176.575	0	0
ENST00000633244.1	347	123.424	0	0
ENST00000631663.1	344	121.712	0	0
ENST00000631559.1	428	182.23	0	0
ENST00000632638.1	552	286.692	0	0
ENST00000633466.1	413	170.812	0	0
ENST00000633842.1	347	123.424	0	0
ENST00000633092.1	381	147.049	36	6.71142
ENST00000610439.4	381	147.049	12	2.23714
ENST00000633283.1	387	151.523	0	0
ENST00000619125.2	364	134.865	0	0
ENST00000634198.1	402	162.208	0	0
ENST00000627926.2	12809	12529.8	0	0
ENST00000630506.1	656	383.2	0	0
ENST00000630053.1	404	163.797	0	0
ENST00000626712.1	553	287.64	0	0
ENST00000619759.1	8003	7723.79	0	0
ENST00000502411.5	566	299.53	0	0
ENST00000496692.6	554	288.482	0	0
ENST00000466542.6	1070	790.786	0	0
ENST00000465075.6	769	533.971	2	0.10268
ENST00000473530.6	1632	1338.6	3.39323	0.069492
ENST00000473712.6	567	300.448	0	0
ENST00000482226.2	527	264.255	0	0
ENST00000467903.5	1101	821.786	0	0
ENST00000507374.5	553	287.64	0	0
ENST00000508651.1	542	277.53	0	0
ENST00000611236.1	958	678.848	0	0
ENST00000543859.5	1507	1228.53	1.14795	0.025616
ENST00000637675.1	546	281.185	0	0
ENST00000649376.1	279	80.4663	0	0
ENST00000641246.2	318	104.462	0	0
ENST00000616914.1	1295	1015.79	0	0
ENST00000621991.4	1256	976.786	0	0
ENST00000619816.1	677	402.973	0	0
ENST00000626647.1	2737	2457.79	0	0
ENST00000445557.1	926	646.907	0	0
ENST00000633377.1	1609	1329.79	0	0
ENST00000633062.1	1329	1049.79	0	0
ENST00000632233.1	1606	1326.79	0	0
ENST00000642324.1	3595	3229.66	2.00337	0.0170051
ENST00000438700.8	2528	2248.79	0	0
ENST00000622555.1	1720	1440.79	0	0
ENST00000607853.6	1684	1764.27	0	0
ENST00000619390.1	1504	1517.85	0.0254398	0.000459471
ENST00000419783.3	899	781.099	5966.3	209.398
ENST00000419349.2	1135	1085.56	52.6565	1.32976
ENST00000643797.1	708	550.11	40.656	2.02605
ENST00000646881.1	589	415.428	4.56239	0.301072
ENST00000496791.1	580	312.544	0	0
ENST00000651740.1	513	319.323	0	0
ENST00000651279.1	315	102.625	0	0
ENST00000620890.1	897	778.302	43.827	1.54372
ENST00000652053.1	1719	1940.11	2	0.0282604
ENST00000574062.5	1655	1375.79	0	0
ENST00000575319.1	1738	1848.65	0	0
ENST00000576465.1	573	306.007	0	0
ENST00000573762.1	564	297.788	0	0
ENST00000614621.4	1504	1224.79	0	0
ENST00000619036.2	1734	1454.79	0	0
ENST00000618719.2	692	504.081	6.24518	0.33964
ENST00000629682.2	1576	1557.57	0	0
ENST00000620741.3	1738	1754.21	0	0
ENST00000627911.2	1363	1373.51	4.9613	0.0990232
ENST00000625994.1	573	306.007	0	0
ENST00000628872.1	564	297.788	0	0
ENST00000617651.4	1734	1751.2	0	0
ENST00000616376.1	1504	1224.79	0	0
ENST00000615270.1	1295	1015.79	0	0
ENST00000610808.1	1322	1042.79	0	0
ENST00000621713.1	1240	960.786	0	0
ENST00000425829.2	947	667.907	0	0
ENST00000541415.2	2778	2498.79	0	0
ENST00000622436.1	921	641.964	0	0
ENST00000553765.2	945	607.271	1	0.0451432
ENST00000619141.4	900	621.214	0	0
ENST00000621830.1	677	402.973	0	0
ENST00000402588.6	937	775.361	7.43768	0.262971
ENST00000634759.1	1184	1024.03	15.7331	0.42119
ENST00000621118.4	1112	832.786	0	0
ENST00000611873.1	1112	832.786	0	0
ENST00000508166.5	2164	1884.79	0	0
ENST00000503442.1	1232	952.786	0	0
ENST00000511446.2	2018	1738.79	0	0
ENST00000504802.1	600	331.266	0	0
ENST00000508264.1	727	451.142	0	0
ENST00000613293.4	1233	953.786	0	0
ENST00000610628.4	2154	1874.79	0	0
ENST00000579578.6	1482	1217.75	0	0
ENST00000586762.2	590	321.914	0	0
ENST00000588823.1	622	351.1	0	0
ENST00000611850.4	1407	1168.41	1	0.0234627
ENST00000591655.3	1456	1195.8	0	0
ENST00000457194.6	1984	1709.3	10.7114	0.171792
ENST00000429712.5	1313	1247	3.29749	0.0724923
ENST00000493176.1	545	293.106	4.70097	0.439681
ENST00000651966.1	996	716.786	0	0
ENST00000420396.3	1240	960.786	0	0
ENST00000424348.1	959	679.848	0	0
ENST00000523857.5	3818	3538.79	0	0
ENST00000521053.5	3830	3550.79	0	0
ENST00000430863.5	4164	3884.79	0	0
ENST00000521161.5	613	342.959	0	0
ENST00000621837.1	4164	3884.79	0	0
ENST00000522175.7	1931	1651.79	0	0
ENST00000519951.2	2268	1988.79	0	0
ENST00000472952.3	1239	959.786	0	0
ENST00000651230.1	1074	794.786	0	0
ENST00000435101.1	692	417.391	0	0
ENST00000358097.8	1655	1375.79	0	0
ENST00000433992.2	1740	1851.28	0.0140213	0.000207631
ENST00000651010.1	3531	3828.33	1.89366	0.0135602
ENST00000610593.4	1363	1383.46	1.52878	0.0302937
ENST00000424775.1	573	306.007	0	0
ENST00000435688.1	564	297.788	0	0
ENST00000614967.4	1504	1224.79	0	0
ENST00000612115.1	1734	1454.79	0	0
ENST00000446393.2	4888	3877.75	0	0
ENST00000641506.1	4376	3343.78	11.0365	0.0904829
ENST00000641557.1	3409	3129.79	0	0
ENST00000641057.1	3463	3183.79	0	0
ENST00000514827.2	1712	1432.79	0	0
ENST00000534447.5	5330	5045.19	25.3678	0.137841
ENST00000534142.5	2012	1879.45	10.6321	0.155083
ENST00000533478.5	5669	6065.71	54.3507	0.24564
ENST00000525539.5	7379	7793.01	0	0
ENST00000530363.5	1608	1454.26	5.82433	0.109794
ENST00000299598.11	5818	6186.84	7.78818	0.0345098
ENST00000529079.1	574	306.938	0	0
ENST00000531391.5	1488	1310.26	49.3354	1.03223
ENST00000526632.5	2006	1726.79	0	0
ENST00000527937.1	4165	3924.38	55.9418	0.390786
ENST00000529791.1	552	303.788	4.16088	0.375482
ENST00000337114.8	3427	3147.79	0	0
ENST00000339924.12	1608	1328.79	0	0
ENST00000391729.1	677	402.973	0	0
ENST00000571766.2	994	714.786	0	0
ENST00000553483.3	931	651.907	0	0
ENST00000377712.3	765	515.011	3	0.15969
ENST00000568934.1	921	641.964	0	0
ENST00000439431.3	2898	2792.23	2	0.019636
ENST00000418689.1	945	665.907	0	0
ENST00000641465.1	2883	2603.79	0	0
ENST00000440231.1	985	705.817	0	0
ENST00000641710.1	606	336.678	0	0
ENST00000641031.1	462	209.564	0	0
ENST00000651881.1	462	209.564	0	0
ENST00000651677.1	606	336.678	0	0
ENST00000570683.3	948	668.907	0	0
ENST00000573400.1	939	659.907	0	0
ENST00000435756.2	944	664.907	0	0
ENST00000613512.4	1451	1171.79	0	0
ENST00000458137.5	1166	886.786	0	0
ENST00000375726.6	1306	1026.79	0	0
ENST00000447913.5	819	540.842	0	0
ENST00000446862.5	1196	916.786	0	0
ENST00000441710.5	1168	888.786	0	0
ENST00000433738.5	709	433.71	0	0
ENST00000448103.5	1071	791.786	0	0
ENST00000417998.5	1401	1121.79	0	0
ENST00000494737.5	961	681.848	0	0
ENST00000508062.1	774	496.779	0	0
ENST00000422698.6	1685	1405.79	0	0
ENST00000631283.1	936	656.907	0	0
ENST00000634967.1	1493	1213.79	0	0
ENST00000634680.1	1421	1141.79	0	0
ENST00000606380.2	1637	1357.79	0	0
ENST00000616270.4	1132	852.786	0	0
ENST00000622207.2	1030	750.786	0	0
ENST00000429239.1	925	645.907	0	0
ENST00000394191.3	1045	765.786	0	0
ENST00000615996.1	1563	1283.79	0	0
ENST00000613379.1	1322	1042.79	0	0
ENST00000627256.2	14829	14549.8	0	0
ENST00000628539.1	656	383.2	0	0
ENST00000626903.1	404	163.797	0	0
ENST00000629229.1	553	287.64	0	0
ENST00000621433.1	8003	7723.79	0	0
