seqnames	start	end	width	strand	V4	V5	V6	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	PeakID	log2FoldChange	padj
chr8	144495710	144499509	3800	*	peak_33806	1.8287110562673	7.36079670043062e-65	Promoter	8	144495618	144498980	3363	2	101928953	ENST00000528207.1	0	NA	LOC101928953	uncharacterized LOC101928953	NA	NA	NA
chr9	93669118	93670991	1874	*	peak_34366	2.06596172629387	8.52408224866352e-54	Intron (ENST00000359246.9/5253, intron 17 of 21)	9	93594841	93594894	54	1	100847045	ENST00000637016.1	74277	ENSG00000283146	MIR548AU	microRNA 548au	NA	NA	NA
chr22	30379214	30382143	2930	*	peak_23797	1.67966833197665	2.5410192017776e-51	Promoter	22	30377820	30379780	1961	2	200312	ENST00000630264.1	0	ENSG00000099999	RNF215	ring finger protein 215	NA	NA	NA
chr7	1465332	1469875	4544	*	peak_30633	1.5981257156916	2.5410192017776e-51	Exon (ENST00000609755.1/ENST00000609755.1, exon 1 of 1)	7	1471171	1471761	591	2	26173	ENST00000479671.1	1886	ENSG00000164880	INTS1	integrator complex subunit 1	NA	NA	NA
chr2	26556618	26559861	3244	*	peak_18570	1.59880019698211	3.72012765024336e-51	Promoter	2	26457203	26558756	101554	2	9381	ENST00000272371.7	0	ENSG00000115155	OTOF	otoferlin	NA	NA	NA
chr13	112492512	112493618	1107	*	peak_9226	3.36507697582523	2.30454885657763e-48	Intron (ENST00000261965.8/10426, intron 20 of 21)	13	112485844	112489823	3980	2	10426	ENST00000469302.1	-2689	ENSG00000126216	TUBGCP3	tubulin gamma complex component 3	NA	NA	NA
chr8	143467546	143470454	2909	*	peak_33674	1.55717776099361	5.29141205061092e-48	Exon (ENST00000262577.6/23144, exon 6 of 12)	8	143428064	143430732	2669	2	389692	ENST00000333480.3	-36814	ENSG00000182759	MAFA	MAF bZIP transcription factor A	NA	NA	NA
chr17	81453883	81455765	1883	*	peak_15857	2.65153766007157	8.35369250003023e-48	Promoter	17	81456158	81458361	2204	1	57597	ENST00000584330.2	-393	ENSG00000266074	BAHCC1	BAH domain and coiled-coil containing 1	NA	NA	NA
chr17	45263302	45265017	1716	*	peak_14432	1.56327378937342	2.78473642425811e-47	3' UTR	17	45262204	45268259	6056	1	100133991	ENST00000663374.1	1098	NA	MAP3K14-AS1	MAP3K14 antisense RNA 1	NA	NA	NA
chr2	240932811	240935925	3115	*	peak_20955	1.77853688692932	1.43290568039175e-45	Promoter	2	240932519	240933317	799	1	728763	ENST00000477311.1	292	ENSG00000226321	CROCC2	ciliary rootlet coiled-coil, rootletin family member 2	NA	NA	NA
chr22	19352784	19354541	1758	*	peak_23058	1.57340565919454	1.43290568039175e-45	3' UTR	22	19291969	19328901	36933	1	105372859	ENST00000664918.1	60815	NA	LOC105372859	uncharacterized LOC105372859	NA	NA	NA
chr10	43063902	43065488	1587	*	peak_3705	1.62087305586654	1.48228845343088e-45	Intron (ENST00000794440.1/ENST00000794440.1, intron 2 of 2)	10	43077064	43127435	50372	1	5979	ENST00000671844.1	-11576	ENSG00000165731	RET	ret proto-oncogene	NA	NA	NA
