target_id	length	eff_length	est_counts	tpm
ENST00000631435.1	12	6.63158	0	0
ENST00000434970.2	9	4.5	0	0
ENST00000448914.1	13	7.3	0	0
ENST00000415118.1	8	3.73333	0	0
ENST00000632684.1	12	6.63158	0	0
ENST00000604446.1	23	13.1724	0	0
ENST00000603693.1	19	11.5	0	0
ENST00000603935.1	31	12.6727	0	0
ENST00000604102.1	31	12.6727	0	0
ENST00000604838.1	17	10.8571	0	0
ENST00000439842.1	11	5.94444	0	0
ENST00000390567.1	20	12.5	0	0
ENST00000452198.1	18	10.5	0	0
ENST00000390569.1	20	12.5	0	0
ENST00000437320.1	19	11.5	0	0
ENST00000390571.1	31	12.6727	0	0
ENST00000390572.1	28	14.8108	0	0
ENST00000390574.1	21	12.5385	0	0
ENST00000450276.1	17	10.8571	0	0
ENST00000431870.1	16	9.85714	0	0
ENST00000390577.1	37	15.6087	0	0
ENST00000390575.1	20	12.5	0	0
ENST00000390578.1	31	12.6727	0	0
ENST00000451044.1	17	10.8571	0	0
ENST00000390580.1	21	12.5385	0	0
ENST00000390581.1	23	13.1724	0	0
ENST00000431440.2	16	9.85714	0	0
ENST00000390583.1	31	12.6727	0	0
ENST00000390584.1	31	12.6727	0	0
ENST00000390585.1	31	12.6727	0	0
ENST00000430425.1	17	10.8571	0	0
ENST00000454691.1	18	10.5	0	0
ENST00000390588.1	20	12.5	0	0
ENST00000414852.1	16	9.85714	0	0
ENST00000390590.1	31	12.6727	0	0
ENST00000390591.1	31	12.6727	0	0
ENST00000454908.1	17	10.8571	0	0
ENST00000632524.1	11	5.94444	0	0
ENST00000633009.1	20	12.5	0	0
ENST00000634070.1	18	10.5	0	0
ENST00000632963.1	20	12.5	0	0
ENST00000633030.1	19	11.5	0	0
ENST00000633765.1	31	12.6727	0	0
ENST00000632619.1	28	14.8108	0	0
ENST00000633159.1	21	12.5385	0	0
ENST00000632968.1	17	10.8571	0	0
ENST00000633010.1	16	9.85714	0	0
ENST00000631871.1	20	12.5	0	0
ENST00000633379.1	37	15.6087	0	0
ENST00000604642.1	23	13.1724	0	0
