seqnames	start	end	width	strand	V4	V5	V6	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	PeakID	log2FoldChange	padj
chr18	12769958	12771214	1257	*	peak_16227	-1.83082749671825	2.04566598140955e-41	Intron (ENST00000589930.4/100996324, intron 1 of 3)	18	12739493	12775119	35627	2	100996324	ENST00000733312.1	3905	NA	LINC01882	long intergenic non-protein coding RNA 1882	NA	NA	NA
chr5	20660549	20661258	710	*	peak_28173	-1.555247231639	8.27609595956267e-41	Exon (ENST00000665581.2/105374676, exon 2 of 4)	5	20670576	20682230	11655	1	105374676	ENST00000765459.1	-9318	ENSG00000251629	LINC02241	long intergenic non-protein coding RNA 2241	NA	NA	NA
chr8	133717057	133717572	516	*	peak_32961	-1.48176848777281	2.63565863058952e-39	Distal Intergenic	8	133663756	133684259	20504	2	105375773	ENST00000701552.2	-32798	NA	LINC03024	long intergenic non-protein coding RNA 3024	NA	NA	NA
chr2	20884705	20885412	708	*	peak_18447	-1.5727190710435	4.22806220145805e-38	Distal Intergenic	2	20859771	20861661	1891	1	101928271	ENST00000447260.1	24934	ENSG00000236436	LINC02850	long intergenic non-protein coding RNA 2850	NA	NA	NA
chr8	133997849	133998512	664	*	peak_32979	-1.49417864590107	8.59139138860573e-35	Intron (ENST00000846274.1/ENST00000846274.1, intron 1 of 2)	8	133886496	133902407	15912	1	101927822	ENST00000520149.2	111353	ENSG00000253593	LOC101927822	uncharacterized LOC101927822	NA	NA	NA
chr4	46212836	46213359	524	*	peak_27618	-1.77672555109572	1.97042701662789e-34	Distal Intergenic	4	46035769	46124054	88286	2	2565	ENST00000295452.5	-88782	ENSG00000163285	GABRG1	gamma-aminobutyric acid type A receptor subunit gamma1	NA	NA	NA
chr18	7150611	7151335	725	*	peak_16084	-1.5646433575994	7.57371198187428e-34	Distal Intergenic	18	6941742	7117797	176056	2	284217	ENST00000389658.4	-32814	ENSG00000101680	LAMA1	laminin subunit alpha 1	NA	NA	NA
chr8	132331755	132332316	562	*	peak_32877	-1.5305745600487	1.30897462146301e-33	Intron (ENST00000388996.10/3786, intron 1 of 14)	8	132129406	132321545	192140	2	3786	ENST00000638588.1	-10210	ENSG00000184156	KCNQ3	potassium voltage-gated channel subfamily Q member 3	NA	NA	NA
chr8	101854919	101855533	615	*	peak_32588	-1.62854562490687	2.21027851316873e-33	Intron (ENST00000311028.4/83988, intron 4 of 6)	8	101847256	101847360	105	2	124902079	ENST00000459507.1	-7559	ENSG00000238372	LOC124902079	small nucleolar RNA U13	NA	NA	NA
chr17	51651510	51652174	665	*	peak_14749	-1.36348753211126	6.14851439520656e-33	Intron (ENST00000570565.5/56934, intron 5 of 8)	17	51661593	51747788	86196	2	56934	ENST00000575097.1	95614	ENSG00000154975	CA10	carbonic anhydrase 10	NA	NA	NA
chr4	33715933	33716435	503	*	peak_27571	-1.54017541251425	3.21064468704873e-32	Distal Intergenic	4	33850591	33892149	41559	1	105374392	ENST00000504795.5	-134156	NA	LOC105374392	uncharacterized LOC105374392	NA	NA	NA
chr17	54776857	54777490	634	*	peak_14756	-1.68531661420475	3.2746260767889e-32	Distal Intergenic	17	54899387	54937316	37930	1	10040	ENST00000570371.5	-121897	ENSG00000141198	TOM1L1	target of myb1 like 1 membrane trafficking protein	NA	NA	NA
chr20	16939110	16940052	943	*	peak_21208	-1.71941306854412	4.53770940962692e-32	Distal Intergenic	20	17122165	17152540	30376	1	105372544	ENST00000785117.1	-182113	ENSG00000302234	LOC105372544	uncharacterized LOC105372544	NA	NA	NA
chr18	14826876	14827390	515	*	peak_16280	-1.56736307484853	1.30549195209569e-31	Intron (ENST00000690538.1/374860, intron 32 of 43)	18	14830166	14830242	77	1	100422907	ENST00000581101.1	-2776	ENSG00000265499	MIR3156-2	microRNA 3156-2	NA	NA	NA
chr7	64300491	64301342	852	*	peak_31350	-1.39073643375024	8.81746675348845e-31	Promoter (<=1kb)	7	64294505	64300605	6101	2	105375322	ENST00000752311.1	0	NA	LOC105375322	uncharacterized LOC105375322	NA	NA	NA
chr8	133753104	133753721	618	*	peak_32965	-1.1141135567224	1.4165811931865e-30	Distal Intergenic	8	133775551	133777352	1802	2	101927798	ENST00000517380.1	23631	ENSG00000253165	LOC101927798	uncharacterized LOC101927798	NA	NA	NA
chr8	121096558	121097013	456	*	peak_32690	-1.53214444682088	3.24072511790378e-30	Intron (ENST00000517739.1/ENST00000517739.1, intron 2 of 3)	8	121140049	121145077	5029	2	124902010	ENST00000721799.1	48064	ENSG00000294187	LOC124902010	uncharacterized LOC124902010	NA	NA	NA
chr14	72686098	72686557	460	*	peak_9740	-1.61256691828903	3.9859618556042e-30	Intron (ENST00000556509.6/8110, intron 7 of 10)	14	72671000	72679302	8303	2	8110	ENST00000556891.5	-6796	ENSG00000205683	DPF3	double PHD fingers 3	NA	NA	NA
chr2	2054111	2055060	950	*	peak_18035	-1.28924040232306	9.90120520894987e-29	5' UTR	2	1973304	1979777	6474	2	23040	ENST00000485348.3	-74334	ENSG00000186487	MYT1L	myelin transcription factor 1 like	NA	NA	NA
chr18	7879699	7880215	517	*	peak_16105	-1.24073417512858	1.11126533889047e-28	Intron (ENST00000332175.12/5797, intron 2 of 30)	18	7946870	8069712	122843	1	5797	ENST00000578916.2	-66655	ENSG00000173482	PTPRM	protein tyrosine phosphatase receptor type M	NA	NA	NA
chr7	27975131	27975625	495	*	peak_30889	-1.40724109054562	1.12129913554854e-28	Intron (ENST00000427814.5/221895, intron 1 of 3)	7	27830573	27992056	161484	2	221895	ENST00000427814.5	16431	ENSG00000153814	JAZF1	JAZF zinc finger 1	NA	NA	NA
chr12	39232278	39232975	698	*	peak_7946	-1.71908071845802	1.44090343591959e-28	Distal Intergenic	12	39293228	39312826	19599	2	55605	ENST00000547733.1	79851	ENSG00000139116	KIF21A	kinesin family member 21A	NA	NA	NA
chr1	191558222	191558690	469	*	peak_2913	-1.94122455009189	1.81627666106964e-28	Distal Intergenic	1	191823432	192010781	187350	1	107985457	ENST00000664489.1	-264742	NA	LINC02770	long intergenic non-protein coding RNA 2770	NA	NA	NA
chr8	123579529	123580391	863	*	peak_32727	-1.44623353355949	2.19435135078697e-28	Distal Intergenic	8	123613874	123667251	53378	1	105375738	ENST00000836609.1	-33483	NA	LOC105375738	uncharacterized LOC105375738	NA	NA	NA
chr17	58044305	58044906	602	*	peak_14828	-1.4136863577864	2.6413112483367e-28	Distal Intergenic	17	58050789	58060739	9951	2	105371840	ENST00000649559.1	15833	NA	LOC105371840	uncharacterized LOC105371840	NA	NA	NA
chr18	14961995	14962385	391	*	peak_16285	-1.36914418660649	5.30749327013578e-28	Exon (ENST00000584531.1/400644, exon 2 of 4)	18	14964260	14970122	5863	2	101927642	ENST00000737862.1	7737	ENSG00000264301	LINC01444	long intergenic non-protein coding RNA 1444	NA	NA	NA
chr14	61643370	61643926	557	*	peak_9542	-1.37230130707109	6.98958853455884e-28	Intron (ENST00000556347.1/5583, intron 3 of 3)	14	61647420	61654002	6583	1	400221	ENST00000556717.3	-3494	ENSG00000232774	LINC03033	long intergenic non-protein coding RNA 3033	NA	NA	NA
chr18	2515974	2516659	686	*	peak_16034	-1.06353657979602	1.00154813053593e-27	Promoter (<=1kb)	18	2506627	2516326	9700	2	124904235	ENST00000795578.1	0	NA	LOC124904235	uncharacterized LOC124904235	NA	NA	NA
chr2	126515466	126515831	366	*	peak_19886	-1.5185477413851	2.32454487599281e-27	Distal Intergenic	2	126656133	126658767	2635	1	2995	ENST00000484700.2	-140302	ENSG00000136732	GYPC	glycophorin C (Gerbich blood group)	NA	NA	NA
chr5	41748676	41749040	365	*	peak_28240	-1.9720122327324	4.39536862067363e-27	Intron (ENST00000196371.10/5019, intron 15 of 16)	5	41731739	41739721	7983	2	5019	ENST00000503374.1	-8955	ENSG00000083720	OXCT1	3-oxoacid CoA-transferase 1	NA	NA	NA
chr5	130715426	130715923	498	*	peak_28471	-1.46133876738414	5.45301824821727e-27	Intron (ENST00000661392.1/107986449, intron 4 of 5)	5	130668638	130817850	149213	2	107986449	ENST00000804527.1	101927	NA	LOC107986449	uncharacterized LOC107986449	NA	NA	NA
chr9	77807160	77807540	381	*	peak_34146	-1.79711521506438	8.70981190749483e-27	Intron (ENST00000286548.9/2776, intron 3 of 6)	9	77423079	77648322	225244	2	9630	ENST00000341700.7	-158838	ENSG00000156049	GNA14	G protein subunit alpha 14	NA	NA	NA
