Geneid	Chr	Start	End	Strand	log2FoldChange	padj	countsa	countsb
peak_9636	chr22	19352783	19354541	.	1.93647986218415	5.44148211120303e-67	2440	474
peak_3780	chr13	112492511	112493618	.	3.72761222428617	3.13056092865192e-66	658	50
peak_14099	chr8	142151708	142153841	.	1.78506358033222	3.02379973855786e-65	2502	550
peak_2060	chr10	102615012	102616983	.	1.96020397790238	9.23450312767788e-61	1512	282
peak_14153	chr8	142578696	142580611	.	1.82574510119417	5.22745942965685e-60	1974	424
peak_13997	chr8	141473817	141476556	.	1.65740017115778	5.72682161379571e-60	3032	708
peak_1754	chr10	71450302	71452638	.	1.65075979896058	3.2074263805669e-58	2070	496
peak_6023	chr17	58307450	58312764	.	1.47957475680703	3.2074263805669e-58	6518	1816
peak_9637	chr22	19356064	19358094	.	1.7084428800192	1.03147029258005e-56	2206	528
peak_9687	chr22	20105886	20109124	.	1.58644816911004	4.085881126955e-55	4142	1070
peak_14017	chr8	141597829	141599869	.	1.7151205943389	2.40844207662393e-54	2222	572
peak_14110	chr8	142223986	142228706	.	1.43719809740297	6.86696034001518e-53	4694	1400
peak_6336	chr17	79094909	79096904	.	1.74605724918099	1.23905549448179e-52	1694	380
peak_13979	chr8	141329147	141331369	.	1.87853536869473	1.60162809530704e-52	2186	454
peak_9667	chr22	19869898	19875416	.	1.29884879628597	2.85529648918642e-50	6852	2002
peak_6056	chr17	63529589	63532485	.	1.57617751918929	1.35487667350594e-48	3182	872
peak_9678	chr22	19998663	20000718	.	1.56582342884326	2.64836261854865e-48	2078	554
peak_14218	chr8	143524195	143530757	.	1.53829726085408	1.17450903753674e-47	7102	1708
peak_1796	chr10	72327918	72330275	.	1.56489532989679	2.97123017429587e-47	2006	540
peak_14126	chr8	142378521	142380703	.	1.55624926855807	1.56137375704268e-45	2514	682
peak_6338	chr17	79104944	79106579	.	2.00833247446997	1.81431266797294e-45	1530	284
peak_9829	chr22	23834608	23838213	.	1.78657880430175	1.88811685612455e-45	2446	536
peak_14228	chr8	143808426	143814650	.	1.36030276883749	2.71856121643758e-45	5990	1740
peak_4934	chr16	20610005	20615254	.	1.58818648706395	2.73590464544125e-45	5042	1262
peak_14074	chr8	141976666	141978819	.	1.45565417946319	3.24205860156747e-44	2424	732
peak_6647	chr18	14501739	14502863	.	2.26191492836492	7.38809488487949e-44	748	120
peak_7590	chr2	20989564	20990462	.	2.00916375196407	3.3499802489085e-43	906	192
peak_9996	chr22	35335019	35337057	.	1.36442511423468	1.29624912174611e-42	3012	926
peak_9405	chr20	63427565	63431352	.	1.50181633431034	1.33060302425447e-42	3904	972
peak_10748	chr3	52034356	52039470	.	1.16543686973746	2.58668526389212e-42	5274	1828
peak_2538	chr11	61778466	61782157	.	1.32122168225387	3.53092742684825e-42	2508	774
peak_14491	chr9	93034915	93038611	.	1.5239173790019	3.53092742684825e-42	2402	714
peak_6452	chr17	81526669	81529758	.	1.61801926508317	6.56810787966622e-42	2988	716
peak_8987	chr20	32449611	32451891	.	1.4544185601914	7.88072617129556e-42	1868	548
peak_9645	chr22	19525761	19527600	.	1.88649098883834	1.02172676816346e-41	1684	346
peak_2959	chr12	171767	174551	.	1.60634961085388	1.28985524352688e-41	2572	658
peak_14196	chr8	143147643	143149572	.	1.58926416051225	1.0782062922034e-40	1658	476
peak_6277	chr17	75569822	75572325	.	1.65405620033371	3.21417332175782e-40	1700	422
peak_3251	chr12	47980183	47984789	.	1.32946291847612	5.50775128586783e-40	2760	908
peak_10744	chr3	51962326	51963407	.	1.80938530420787	8.08041739901408e-40	974	204
peak_12775	chr7	2643391	2645829	.	1.35946130466282	8.23554940515029e-40	1922	578
peak_6337	chr17	79100629	79102805	.	1.91157670753329	1.27539125003419e-39	1604	326
peak_9836	chr22	24117608	24120412	.	1.26461631628477	7.47625999666129e-39	2346	730
peak_6392	chr17	79807350	79809757	.	1.50275564623152	8.32431471481701e-39	1982	604
peak_1691	chr10	70321221	70325123	.	1.17860094548401	9.08380012643669e-39	3374	1184
peak_14171	chr8	142818698	142821710	.	1.70223958143008	1.22123961035294e-38	2426	632
peak_10680	chr3	49896111	49899531	.	1.25504967719118	1.36432111937384e-38	3142	1058
