Geneid	Chr	Start	End	Strand	log2FoldChange	padj	countsa	countsb
peak_33806	chr8	144495709	144499509	.	1.8287110562673	7.36079670043062e-65	4026	618
peak_34366	chr9	93669117	93670991	.	2.06596172629387	8.52408224866352e-54	1254	170
peak_23797	chr22	30379213	30382143	.	1.67966833197665	2.5410192017776e-51	2356	408
peak_30633	chr7	1465331	1469875	.	1.5981257156916	2.5410192017776e-51	2874	522
peak_18570	chr2	26556617	26559861	.	1.59880019698211	3.72012765024336e-51	2776	516
peak_9226	chr13	112492511	112493618	.	3.36507697582523	2.30454885657763e-48	658	50
peak_33674	chr8	143467545	143470454	.	1.55717776099361	5.29141205061092e-48	2384	446
peak_15857	chr17	81453882	81455765	.	2.65153766007157	8.35369250003023e-48	1252	124
peak_14432	chr17	45263301	45265017	.	1.56327378937342	2.78473642425811e-47	2056	442
peak_20955	chr2	240932810	240935925	.	1.77853688692932	1.43290568039175e-45	1890	306
peak_23058	chr22	19352783	19354541	.	1.57340565919454	1.43290568039175e-45	2440	474
peak_3705	chr10	43063901	43065488	.	1.62087305586654	1.48228845343088e-45	1684	336
peak_23531	chr22	24160012	24162753	.	1.61123340447216	2.52106718579034e-45	2470	560
peak_15198	chr17	73582828	73585840	.	1.7052592428467	5.95620595156319e-45	2748	512
peak_24414	chr22	43295081	43296644	.	2.05604459220297	1.31046172102875e-44	1104	154
peak_23522	chr22	24132995	24134373	.	2.02428176497301	3.73941771701982e-43	1024	154
peak_25618	chr3	47404880	47410340	.	1.27297669725017	8.62151091918226e-43	3668	834
peak_15812	chr17	81128558	81132446	.	1.37180108367852	2.83462138626064e-42	3010	768
peak_14844	chr17	58307450	58312764	.	1.11855804628315	5.67499565876035e-42	6518	1816
peak_34750	chr9	129013071	129014236	.	2.58303568070172	8.34135672905606e-42	850	90
peak_33434	chr8	142151708	142153841	.	1.4233165112001	1.53316405132392e-41	2502	550
peak_16227	chr18	12769957	12771214	.	-1.83082749671825	2.04566598140955e-41	564	1516
peak_4987	chr10	102615012	102616983	.	1.59774521811766	2.3546962211028e-41	1512	282
peak_28173	chr5	20660548	20661258	.	-1.555247231639	8.27609595956267e-41	528	966
peak_23157	chr22	20105886	20109124	.	1.22624138549172	8.72733760141689e-41	4142	1068
peak_33533	chr8	142578696	142580611	.	1.46367624001675	1.98577602429993e-40	1974	424
peak_15193	chr17	73541824	73542764	.	1.72087637132087	6.12339171629217e-40	1266	224
peak_23254	chr22	20992848	20994615	.	1.68136700029	1.35684265976051e-39	1218	230
peak_32961	chr8	133717056	133717572	.	-1.48176848777281	2.63565863058952e-39	994	1606
peak_23612	chr22	25362575	25364633	.	1.54219194580961	4.19681655822434e-39	1756	358
peak_23847	chr22	31612834	31615891	.	1.48556051426831	9.54304498747182e-39	1932	404
