seqnames	start	end	width	strand	V4	V5	V6	V7	V8	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	PeakID	log2FoldChange	padj	countsa	countsb
chr22	19352784	19354541	1758	*	peak_9636	1.93647986218415	5.44148211120303e-67	2440	474	3' UTR	22	19291969	19328901	36933	1	105372859	ENST00000664918.1	60815	NA	LOC105372859	uncharacterized LOC105372859	NA	NA	NA	NA	NA
chr13	112492512	112493618	1107	*	peak_3780	3.72761222428617	3.13056092865192e-66	658	50	Intron (ENST00000261965.8/10426, intron 20 of 21)	13	112485844	112489823	3980	2	10426	ENST00000469302.1	-2689	ENSG00000126216	TUBGCP3	tubulin gamma complex component 3	NA	NA	NA	NA	NA
chr8	142151709	142153841	2133	*	peak_14099	1.78506358033222	3.02379973855786e-65	2502	550	Intron (ENST00000748267.1/105375792, intron 2 of 5)	8	142176339	142176418	80	1	100616268	ENST00000584349.1	-22498	ENSG00000265247	MIR4472-1	microRNA 4472-1	NA	NA	NA	NA	NA
chr10	102615013	102616983	1971	*	peak_2060	1.96020397790238	9.23450312767788e-61	1512	282	Exon (ENST00000369902.8/51684, exon 9 of 12)	10	102590809	102599543	8735	1	51684	ENST00000471000.1	24204	ENSG00000107882	SUFU	SUFU negative regulator of hedgehog signaling	NA	NA	NA	NA	NA
chr8	142578697	142580611	1915	*	peak_14153	1.82574510119417	5.22745942965685e-60	1974	424	Exon (ENST00000687693.2/ENST00000687693.2, exon 1 of 2)	8	142612065	142612702	638	2	23237	ENST00000581404.1	32091	ENSG00000198576	ARC	activity regulated cytoskeleton associated protein	NA	NA	NA	NA	NA
chr8	141473818	141476556	2739	*	peak_13997	1.65740017115778	5.72682161379571e-60	3032	708	3' UTR	8	141494911	141496759	1849	2	389690	ENST00000521161.5	20203	ENSG00000226807	MROH5	maestro heat like repeat family member 5 (gene/pseudogene)	NA	NA	NA	NA	NA
chr10	71450303	71452638	2336	*	peak_1754	1.65075979896058	3.2074263805669e-58	2070	496	Intron (ENST00000224721.12/64072, intron 3 of 69)	10	71439832	71717907	278076	1	64072	ENST00000442677.4	10471	ENSG00000107736	CDH23	cadherin related 23	NA	NA	NA	NA	NA
chr17	58307451	58312764	5314	*	peak_6023	1.47957475680703	3.2074263805669e-58	6518	1816	Promoter (<=1kb)	17	58301248	58312216	10969	2	9256	ENST00000580669.6	0	ENSG00000005379	TSPOAP1	TSPO associated protein 1	NA	NA	NA	NA	NA
chr22	19356065	19358094	2030	*	peak_9637	1.7084428800192	1.03147029258005e-56	2206	528	3' UTR	22	19291969	19328901	36933	1	105372859	ENST00000664918.1	64096	NA	LOC105372859	uncharacterized LOC105372859	NA	NA	NA	NA	NA
chr22	20105887	20109124	3238	*	peak_9687	1.58644816911004	4.085881126955e-55	4142	1070	Promoter (<=1kb)	22	20106182	20107575	1394	1	54487	ENST00000495351.1	0	ENSG00000128191	DGCR8	DGCR8 microprocessor complex subunit	NA	NA	NA	NA	NA
chr8	141597830	141599869	2040	*	peak_14017	1.7151205943389	2.40844207662393e-54	2222	572	Intron (ENST00000673717.1/ENST00000673717.1, intron 2 of 8)	8	141514671	141518729	4059	1	122455339	ENST00000643770.2	83159	ENSG00000226490	C8orf90	chromosome 8 open reading frame 90	NA	NA	NA	NA	NA
chr8	142223987	142228706	4720	*	peak_14110	1.43719809740297	6.86696034001518e-53	4694	1400	Intron (ENST00000524325.6/203062, intron 13 of 13)	8	142204636	142209003	4368	1	619434	ENST00000794970.1	19351	ENSG00000254008	LINC00051	long intergenic non-protein coding RNA 51	NA	NA	NA	NA	NA
chr17	79094910	79096904	1995	*	peak_6336	1.74605724918099	1.23905549448179e-52	1694	380	Promoter (<=1kb)	17	79091947	79096693	4747	2	146713	ENST00000582880.6	0	ENSG00000167281	RBFOX3	RNA binding fox-1 homolog 3	NA	NA	NA	NA	NA
