# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-B" "-C" "-F" "SAF" "-a" "purple.AM.union.saf" "-o" "counts_featureCounts.txt" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_1/human.30_120.bam" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_2/human.30_120.bam" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_3/human.30_120.bam" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_1/human.30_120.bam" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_2/human.30_120.bam" "/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_3/human.30_120.bam" 
Geneid	Chr	Start	End	Strand	Length	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_1/human.30_120.bam	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_2/human.30_120.bam	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_A_Untreated_FLAG_3/human.30_120.bam	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_1/human.30_120.bam	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_2/human.30_120.bam	/hpcdata/Mimir/adrian/research/004_keilir/results/nov25/bam/MITF_M_Untreated_FLAG_3/human.30_120.bam
peak_1	chr1	911021	911581	.	561	298	530	564	362	480	328
peak_2	chr1	938226	938964	.	739	336	856	932	418	688	426
peak_3	chr1	1079386	1080362	.	977	566	1324	1278	674	1062	690
peak_4	chr1	1597506	1599189	.	1684	524	818	840	260	374	290
peak_5	chr1	1617971	1619102	.	1132	490	690	710	266	348	268
peak_6	chr1	1898686	1900283	.	1598	566	996	1022	624	712	564
peak_7	chr1	1917969	1920735	.	2767	958	2910	2764	1012	1394	946
peak_8	chr1	2475701	2481908	.	6208	1788	3942	4272	1476	1844	1400
peak_9	chr1	2482023	2483746	.	1724	692	1278	1314	686	850	566
peak_10	chr1	2491391	2500812	.	9422	2564	4964	5256	1880	2196	1614
peak_11	chr1	2526593	2527163	.	571	330	572	628	320	464	342
peak_12	chr1	2583165	2584263	.	1099	380	558	668	390	460	344
peak_13	chr1	2652792	2655011	.	2220	768	1336	1348	1282	1660	1082
peak_14	chr1	2655541	2656362	.	822	348	520	672	514	768	472
peak_15	chr1	2777337	2777877	.	541	212	462	586	266	330	348
peak_16	chr1	3144687	3145814	.	1128	456	844	834	518	766	422
peak_17	chr1	3206334	3206965	.	632	248	432	408	244	322	256
peak_18	chr1	3312818	3313440	.	623	406	1112	854	542	848	660
peak_19	chr1	3381480	3383969	.	2490	808	1488	1468	648	722	496
peak_20	chr1	3501652	3502320	.	669	304	772	992	538	922	618
peak_21	chr1	3604403	3605528	.	1126	310	458	584	372	530	446
peak_22	chr1	3799751	3800360	.	610	236	438	440	308	392	296
peak_23	chr1	3809322	3810120	.	799	404	704	634	490	674	374
peak_24	chr1	3856524	3858054	.	1531	466	1204	1212	448	672	410
peak_25	chr1	4124524	4125284	.	761	250	564	604	410	538	376
peak_26	chr1	4338254	4338837	.	584	218	316	334	294	302	272
peak_27	chr1	4497406	4498167	.	762	254	352	336	288	538	330
peak_28	chr1	4605275	4606049	.	775	410	640	632	554	758	472
peak_29	chr1	4632009	4632535	.	527	212	314	312	252	254	242
peak_30	chr1	4666859	4667666	.	808	422	826	726	542	690	492
peak_31	chr1	4731497	4732917	.	1421	438	764	710	278	306	228
peak_32	chr1	4745557	4745896	.	340	230	304	380	296	344	212
peak_33	chr1	4747835	4748666	.	832	230	400	506	402	580	348
peak_34	chr1	4794071	4794682	.	612	236	318	376	216	272	230
peak_35	chr1	4851337	4851860	.	524	156	238	250	274	328	232
peak_36	chr1	4877460	4877917	.	458	114	162	188	276	264	182
peak_37	chr1	5101051	5101468	.	418	166	158	196	196	280	218
peak_38	chr1	5140796	5141300	.	505	92	140	154	208	310	198
peak_39	chr1	5257260	5258015	.	756	250	298	356	386	334	266
peak_40	chr1	5333195	5333789	.	595	182	286	212	330	422	322
peak_41	chr1	5611520	5612517	.	998	482	752	848	658	1102	734
peak_42	chr1	5638080	5638477	.	398	118	280	250	310	368	264
peak_43	chr1	5756113	5757209	.	1097	542	930	862	740	968	698
peak_44	chr1	5775913	5776414	.	502	154	234	350	218	264	216
peak_45	chr1	5795471	5796985	.	1515	680	1338	1396	854	1016	900
peak_46	chr1	5819166	5821251	.	2086	776	1432	1574	880	1038	740
peak_47	chr1	5834502	5835543	.	1042	336	560	670	270	376	270
peak_48	chr1	5843732	5845936	.	2205	878	1660	1858	1052	1348	986
peak_49	chr1	5853117	5853852	.	736	276	430	486	344	506	354
peak_50	chr1	5959355	5959964	.	610	300	586	512	520	680	456
peak_51	chr1	6016250	6016817	.	568	258	542	478	300	448	302
peak_52	chr1	6157204	6158071	.	868	350	712	742	356	718	428
peak_53	chr1	6378268	6378737	.	470	230	460	522	310	342	304
peak_54	chr1	6422854	6423241	.	388	250	348	400	280	384	278
peak_55	chr1	6600767	6601534	.	768	426	732	726	576	804	526
peak_56	chr1	6784962	6785468	.	507	360	1310	856	454	520	448
peak_57	chr1	6802212	6802413	.	202	76	138	164	202	132	168
peak_58	chr1	7128056	7128468	.	413	150	282	322	248	302	196
peak_59	chr1	7221701	7222302	.	602	136	304	352	250	268	222
peak_60	chr1	7471017	7471876	.	860	392	820	678	386	558	352
peak_61	chr1	7628340	7628970	.	631	260	534	590	392	476	340
peak_62	chr1	7690305	7691423	.	1119	488	936	1052	682	1042	682
peak_63	chr1	7698584	7698994	.	411	92	248	242	224	330	298
peak_64	chr1	7707559	7708114	.	556	280	450	396	480	624	408
peak_65	chr1	7899677	7900189	.	513	182	346	372	312	484	254
peak_66	chr1	9113028	9113701	.	674	324	624	644	392	546	354
peak_67	chr1	9117956	9118481	.	526	346	528	556	464	618	362
peak_68	chr1	9162540	9163519	.	980	458	914	818	488	628	380
peak_69	chr1	9196083	9197007	.	925	322	668	722	510	616	508
peak_70	chr1	9232902	9233507	.	606	430	752	820	468	658	396
peak_71	chr1	9275586	9276163	.	578	484	960	812	584	572	466
peak_72	chr1	9302623	9303451	.	829	474	952	912	692	824	540
peak_73	chr1	9315286	9316490	.	1205	688	1556	1534	1034	1680	1042
peak_74	chr1	9321468	9321986	.	519	358	594	586	480	706	418
peak_75	chr1	9344267	9345110	.	844	442	574	564	402	522	336
peak_76	chr1	9349655	9351033	.	1379	698	970	1166	738	956	662
peak_77	chr1	9438548	9439432	.	885	924	1620	1634	1158	1692	1238
peak_78	chr1	9448699	9449068	.	370	158	162	180	232	264	206
peak_79	chr1	9476737	9477374	.	638	516	914	740	746	1114	790
peak_80	chr1	9578737	9579231	.	495	208	340	350	366	340	250
peak_81	chr1	9671388	9671645	.	258	102	166	122	204	208	164
peak_82	chr1	9676824	9677399	.	576	366	580	642	564	572	448
peak_83	chr1	9683689	9684350	.	662	302	474	514	454	558	390
peak_84	chr1	9700211	9700718	.	508	380	718	748	436	580	452
peak_85	chr1	9835939	9836712	.	774	354	850	994	424	674	490
peak_86	chr1	9848344	9849633	.	1290	594	1160	1126	602	754	522
peak_87	chr1	9860693	9861169	.	477	296	526	512	384	404	290
peak_88	chr1	9863410	9864325	.	916	462	820	864	378	302	246
peak_89	chr1	9881832	9885263	.	3432	1862	3564	3704	1544	1920	1366
peak_90	chr1	9910012	9910739	.	728	394	2104	1534	474	790	582
peak_91	chr1	10507355	10507701	.	347	320	410	410	240	356	222
peak_92	chr1	10508428	10509256	.	829	486	892	846	424	592	396
peak_93	chr1	10685569	10689236	.	3668	1854	3568	3662	1352	1580	1156
peak_94	chr1	10731079	10731558	.	480	192	438	452	276	500	278
peak_95	chr1	10911183	10911637	.	455	328	516	432	430	476	302
peak_96	chr1	10975620	10976101	.	482	410	1006	974	592	774	496
peak_97	chr1	11316302	11317358	.	1057	504	924	848	354	374	286
peak_98	chr1	11319941	11321055	.	1115	586	854	876	416	502	388
peak_99	chr1	11375208	11376179	.	972	690	1132	1160	630	972	668
peak_100	chr1	11384179	11384841	.	663	326	420	424	510	502	386
peak_101	chr1	11444530	11445510	.	981	535	980	852	458	460	348
peak_102	chr1	11456018	11456722	.	705	306	520	668	516	600	426
peak_103	chr1	11478505	11481364	.	2860	998	2080	2414	1090	1352	1100
peak_104	chr1	11543623	11544267	.	645	440	834	718	646	884	608
peak_105	chr1	11633622	11634604	.	983	408	600	694	304	446	264
peak_106	chr1	11635913	11636799	.	887	436	772	846	360	346	320
peak_107	chr1	11645783	11647275	.	1493	802	1430	1328	798	984	602
peak_108	chr1	11708564	11708987	.	424	282	484	584	396	642	494
peak_109	chr1	11711250	11712649	.	1400	448	738	668	302	354	216
peak_110	chr1	11860162	11860880	.	719	388	448	490	476	540	424
peak_111	chr1	11901450	11901814	.	365	244	446	376	306	536	306
peak_112	chr1	11938997	11939555	.	559	368	694	946	436	630	426
peak_113	chr1	12019157	12020350	.	1194	604	1724	1724	756	1084	680
peak_114	chr1	12057357	12057792	.	436	162	300	292	266	394	280
peak_115	chr1	12143668	12144089	.	422	250	462	520	396	514	392
peak_116	chr1	12177853	12178769	.	917	560	1040	988	774	806	602
peak_117	chr1	12188028	12188414	.	387	344	506	544	486	538	418
peak_118	chr1	12549488	12550323	.	836	568	1210	1164	918	1266	740
