seqnames	start	end	width	strand	V4	V5	V6	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	PeakID	log2FoldChange	padj
chr18	12769958	12771214	1257	*	peak_6624	-1.47252789782813	5.62308516676644e-25	Intron (ENST00000589930.4/100996324, intron 1 of 3)	18	12739493	12775119	35627	2	100996324	ENST00000733312.1	3905	NA	LINC01882	long intergenic non-protein coding RNA 1882	NA	NA	NA
chr8	133717057	133717572	516	*	peak_13826	-1.11941935585886	2.4007600708916e-24	Distal Intergenic	8	133663756	133684259	20504	2	105375773	ENST00000701552.2	-32798	NA	LINC03024	long intergenic non-protein coding RNA 3024	NA	NA	NA
chr5	20660549	20661258	710	*	peak_11671	-1.19363913191857	6.54730687523002e-24	Exon (ENST00000665581.2/105374676, exon 2 of 4)	5	20670576	20682230	11655	1	105374676	ENST00000765459.1	-9318	ENSG00000251629	LINC02241	long intergenic non-protein coding RNA 2241	NA	NA	NA
chr4	46212836	46213359	524	*	peak_11415	-1.41420987900713	2.66723043764814e-22	Distal Intergenic	4	46035769	46124054	88286	2	2565	ENST00000295452.5	-88782	ENSG00000163285	GABRG1	gamma-aminobutyric acid type A receptor subunit gamma1	NA	NA	NA
chr2	20884705	20885412	708	*	peak_7588	-1.20926502131806	4.14257797025036e-22	Distal Intergenic	2	20859771	20861661	1891	1	101928271	ENST00000447260.1	24934	ENSG00000236436	LINC02850	long intergenic non-protein coding RNA 2850	NA	NA	NA
chr20	16939110	16940052	943	*	peak_8855	-1.35718402604232	3.13540592010933e-21	Distal Intergenic	20	17122165	17152540	30376	1	105372544	ENST00000785117.1	-182113	ENSG00000302234	LOC105372544	uncharacterized LOC105372544	NA	NA	NA
chr18	7150611	7151335	725	*	peak_6543	-1.20640836111443	5.81571167171932e-21	Distal Intergenic	18	6941742	7117797	176056	2	284217	ENST00000389658.4	-32814	ENSG00000101680	LAMA1	laminin subunit alpha 1	NA	NA	NA
chr8	133997849	133998512	664	*	peak_13839	-1.13168959111602	1.69661490025291e-20	Intron (ENST00000846274.1/ENST00000846274.1, intron 1 of 2)	8	133886496	133902407	15912	1	101927822	ENST00000520149.2	111353	ENSG00000253593	LOC101927822	uncharacterized LOC101927822	NA	NA	NA
chr17	54776857	54777490	634	*	peak_5973	-1.32402080164014	3.61938926959221e-20	Distal Intergenic	17	54899387	54937316	37930	1	10040	ENST00000570371.5	-121897	ENSG00000141198	TOM1L1	target of myb1 like 1 membrane trafficking protein	NA	NA	NA
chr8	132331755	132332316	562	*	peak_13777	-1.16809788011216	3.9472202335219e-20	Intron (ENST00000388996.10/3786, intron 1 of 14)	8	132129406	132321545	192140	2	3786	ENST00000638588.1	-10210	ENSG00000184156	KCNQ3	potassium voltage-gated channel subfamily Q member 3	NA	NA	NA
