Entry	Gene Names	Protein names	Subcellular location [CC]
A6BM72	MEGF11 KIAA1781 UNQ1949/PRO4432	Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17498693}; Single-pass type I membrane protein {ECO:0000269|PubMed:17498693}. Basolateral cell membrane {ECO:0000269|PubMed:17498693}; Single-pass type I membrane protein {ECO:0000269|PubMed:17498693}. Note=Forms an irregular, mosaic-like adhesion pattern in region of the cell that becomes firmely fixed to the substrate. Localized to protruding lamellipodia. Does not localize with MEGF10.
A6NNB3	IFITM5	Interferon-induced transmembrane protein 5 (Bone-restricted interferon-induced transmembrane protein-like protein) (BRIL) (Dispanin subfamily A member 1) (DSPA1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:24519609}; Multi-pass membrane protein {ECO:0000255}.
B6A8C7	TARM1	T-cell-interacting, activating receptor on myeloid cells protein 1 (OSCAR-like transcript-2 protein) (OLT-2)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26311901}; Single-pass type I membrane protein {ECO:0000305}.
D3W0D1	KLRF2	Killer cell lectin-like receptor subfamily F member 2 (Lectin-like receptor F2) (Activating coreceptor NKp65)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20194751}; Single-pass type II membrane protein {ECO:0000269|PubMed:20194751}.
O00161	SNAP23	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)	SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein. Cell membrane; Lipid-anchor. Synapse, synaptosome. Note=Mainly localized to the plasma membrane.
O00168	FXYD1 PLM	Phospholemman (FXYD domain-containing ion transport regulator 1) (Sodium/potassium-transporting ATPase subunit FXYD1)	SUBCELLULAR LOCATION: Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P56513}; Single-pass type I membrane protein {ECO:0000255}. Apical cell membrane {ECO:0000250|UniProtKB:O08589}; Single-pass type I membrane protein {ECO:0000255}. Membrane, caveola {ECO:0000250|UniProtKB:O08589}. Cell membrane, sarcolemma, T-tubule {ECO:0000250|UniProtKB:O08589}. Note=Detected in the apical cell membrane in brain. In myocytes, localizes to sarcolemma, t-tubules and intercalated disks. {ECO:0000250|UniProtKB:O08589}.
O00254	F2RL2 PAR3	Proteinase-activated receptor 3 (PAR-3) (Coagulation factor II receptor-like 2) (Thrombin receptor-like 2)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
O00337	SLC28A1 CNT1	Sodium/nucleoside cotransporter 1 (Concentrative nucleoside transporter 1) (CNT 1) (hCNT1) (Na(+)/nucleoside cotransporter 1) (Sodium-coupled nucleoside transporter 1) (Solute carrier family 28 member 1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21998139}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q62674}. Apical cell membrane {ECO:0000269|PubMed:21998139}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q62674}.
O00478	BTN3A3 BTF3	Butyrophilin subfamily 3 member A3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21918970, ECO:0000269|PubMed:22767497}; Single-pass type I membrane protein {ECO:0000269|PubMed:21918970, ECO:0000269|PubMed:22767497}.
O00591	GABRP	Gamma-aminobutyric acid receptor subunit pi (GABA(A) receptor subunit pi) (GABAAR subunit pi)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein {ECO:0000255}. Apical cell membrane {ECO:0000250|UniProtKB:O09028}; Multi-pass membrane protein {ECO:0000255}. Note=Located on the apical plasma membrane of alveolar epithelial type II cells. {ECO:0000250|UniProtKB:O09028}.
O00624	SLC17A2 NPT3	Sodium-dependent phosphate transport protein 3 (Na(+)/PI cotransporter 3) (Sodium/phosphate cotransporter 3) (Solute carrier family 17 member 2)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q5SZA1}; Multi-pass membrane protein {ECO:0000255}.
O14638	ENPP3 PDNP3	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (NPP3) (Alkaline phosphodiesterase I) (EC 3.1.4.1) (Dinucleoside polyphosphatase) (EC 3.6.1.-) (Nucleotide diphosphatase) (Nucleotide pyrophosphatase) (NPPase) (EC 3.6.1.9) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11342463, ECO:0000269|PubMed:12846830}; Single-pass type II membrane protein {ECO:0000305|PubMed:29717535}. Apical cell membrane {ECO:0000269|PubMed:15072822}; Single-pass type II membrane protein {ECO:0000305|PubMed:29717535}. Secreted {ECO:0000269|PubMed:15072822}. Note=Detected at the cell surface of basophils (PubMed:11342463). Detected at the apical plasma membrane of bile duct cells (PubMed:15072822). Located to the apical surface in intestinal and kidney epithelial cells. Secreted in serum, and in lumen of epithelial cells. {ECO:0000269|PubMed:11342463, ECO:0000269|PubMed:15072822}.
O14804	TAAR5 PNR	Trace amine-associated receptor 5 (TaR-5) (Trace amine receptor 5) (hTaar5) (Putative neurotransmitter receptor)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23393561, ECO:0000269|PubMed:37225986}; Multi-pass membrane protein {ECO:0000269|PubMed:23393561}.
O14843	FFAR3 GPR41	Free fatty acid receptor 3 (G-protein coupled receptor 41)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18801738}; Multi-pass membrane protein {ECO:0000269|PubMed:18801738}.
O14910	LIN7A MALS1 VELI1	Protein lin-7 homolog A (Lin-7A) (hLin-7) (Mammalian lin-seven protein 1) (MALS-1) (Tax interaction protein 33) (TIP-33) (Vertebrate lin-7 homolog 1) (Veli-1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q8JZS0}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q8JZS0}. Basolateral cell membrane {ECO:0000250|UniProtKB:Q8JZS0}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q8JZS0}. Cell junction {ECO:0000250|UniProtKB:Q8JZS0}. Postsynaptic density membrane {ECO:0000250|UniProtKB:Q8JZS0}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q8JZS0}. Cell junction, tight junction {ECO:0000250|UniProtKB:Q8JZS0}. Note=Mainly basolateral in renal epithelial cells. {ECO:0000250|UniProtKB:Q8JZS0}.
O14939	PLD2	Phospholipase D2 (PLD 2) (hPLD2) (EC 3.1.4.4) (Choline phosphatase 2) (PLD1C) (Phosphatidylcholine-hydrolyzing phospholipase D2)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P97813}; Lipid-anchor {ECO:0000250|UniProtKB:P97813}.
O15245	SLC22A1 OCT1	Solute carrier family 22 member 1 (Organic cation transporter 1) (hOCT1)	SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000269|PubMed:12719534}; Multi-pass membrane protein {ECO:0000305}. Apical cell membrane {ECO:0000269|PubMed:15817714, ECO:0000269|PubMed:19536068, ECO:0000269|PubMed:23680637}; Multi-pass membrane protein {ECO:0000305}. Lateral cell membrane {ECO:0000269|PubMed:16263091}; Multi-pass membrane protein {ECO:0000305}. Basal cell membrane {ECO:0000269|PubMed:35307651}; Multi-pass membrane protein {ECO:0000305}. Cell membrane {ECO:0000269|PubMed:35469921}; Multi-pass membrane protein {ECO:0000305}. Note=Localized to the sinusoidal/basolateral membrane of hepatocytes (By similarity). Mainly localized to the basolateral membrane of renal proximal tubular cells (By similarity). However, also identified at the apical side of proximal tubular cells (PubMed:19536068). Mainly expressed at the lateral membrane of enterocytes (PubMed:16263091). Also observed at the apical side of enterocytes (PubMed:23680637). Localized to the luminal/apical membrane of ciliated epithelial cells in bronchi (PubMed:15817714). Localized to the basal membrane of Sertoli cells (PubMed:35307651). {ECO:0000250|UniProtKB:Q63089, ECO:0000269|PubMed:15817714, ECO:0000269|PubMed:16263091, ECO:0000269|PubMed:19536068, ECO:0000269|PubMed:23680637, ECO:0000269|PubMed:35307651}.
